active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,8,-12,MEMPHIS GRIZZLIES,HOME,NEW YORK KNICKS,WIN,1120,4,6,0,2,0,0,2,4,0,0,0,1,4,5.4
True,2022-10-21,4,-16,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,WIN,885,1,2,0,0,2,4,1,3,2,0,1,2,2,3.1
True,2022-10-22,8,-2,MEMPHIS GRIZZLIES,AWAY,DALLAS MAVERICKS,LOSS,1007,4,7,0,0,0,0,0,3,1,0,1,1,2,5.2
True,2022-10-24,13,-10,MEMPHIS GRIZZLIES,HOME,BROOKLYN NETS,WIN,1004,4,5,0,0,5,6,0,2,2,0,0,1,4,10.1
True,2022-10-27,16,11,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,WIN,1353,6,8,0,1,4,5,0,3,3,2,1,1,0,17.1
True,2022-10-29,8,-6,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,897,4,6,0,0,0,0,2,1,1,1,1,2,4,5.9
True,2022-10-31,8,-9,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,959,4,7,0,0,0,2,2,3,1,0,0,0,1,6.5
True,2022-11-02,6,9,MEMPHIS GRIZZLIES,AWAY,PORTLAND TRAIL BLAZERS,WIN,840,3,6,0,0,0,0,0,3,0,0,1,1,2,2.8
True,2022-11-04,13,9,MEMPHIS GRIZZLIES,HOME,CHARLOTTE HORNETS,WIN,955,4,7,0,0,5,5,1,1,2,0,3,1,3,12.0
True,2022-11-06,16,5,MEMPHIS GRIZZLIES,HOME,WASHINGTON WIZARDS,WIN,1284,7,8,0,0,2,2,0,5,1,0,2,1,2,15.0
True,2022-11-07,10,-6,MEMPHIS GRIZZLIES,HOME,BOSTON CELTICS,LOSS,1840,5,8,0,2,0,0,1,7,1,0,0,2,3,6.7
True,2022-11-09,6,-4,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,WIN,929,1,2,0,0,4,5,1,3,2,0,0,3,4,3.0
True,2022-11-11,15,7,MEMPHIS GRIZZLIES,HOME,MINNESOTA TIMBERWOLVES,WIN,1166,6,6,0,0,3,4,0,1,3,1,1,0,3,15.7
True,2022-11-13,4,-8,MEMPHIS GRIZZLIES,AWAY,WASHINGTON WIZARDS,LOSS,918,1,7,0,0,2,4,3,2,0,0,1,1,2,0.3
True,2022-11-15,15,-12,MEMPHIS GRIZZLIES,AWAY,NEW ORLEANS PELICANS,LOSS,1997,6,12,1,1,2,2,4,9,3,0,3,2,1,16.3
True,2022-11-18,2,-4,MEMPHIS GRIZZLIES,HOME,OKLAHOMA CITY THUNDER,WIN,1362,1,2,0,0,0,0,0,5,0,1,1,0,1,3.8
True,2022-11-20,2,-20,MEMPHIS GRIZZLIES,AWAY,BROOKLYN NETS,LOSS,1003,1,4,0,0,0,0,1,2,1,0,0,1,0,0.6
True,2022-11-22,6,-5,MEMPHIS GRIZZLIES,HOME,SACRAMENTO KINGS,LOSS,1077,3,5,0,0,0,0,1,1,2,0,1,0,1,6.4
True,2022-11-25,12,9,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS PELICANS,WIN,1270,5,7,0,0,2,2,1,9,1,0,1,1,3,11.7
True,2022-11-27,9,3,MEMPHIS GRIZZLIES,AWAY,NEW YORK KNICKS,WIN,1007,3,7,0,0,3,3,2,2,0,1,1,1,2,7.2
True,2022-11-30,4,-4,MEMPHIS GRIZZLIES,AWAY,MINNESOTA TIMBERWOLVES,LOSS,940,2,5,0,0,0,2,1,1,1,0,1,2,4,-0.7
True,2022-12-02,10,9,MEMPHIS GRIZZLIES,HOME,PHILADELPHIA 76ERS,WIN,869,5,8,0,0,0,0,2,2,0,1,1,0,1,9.7
True,2022-12-04,14,5,MEMPHIS GRIZZLIES,AWAY,DETROIT PISTONS,WIN,1789,6,9,0,0,2,4,4,10,2,0,0,2,3,13.3
True,2022-12-05,11,10,MEMPHIS GRIZZLIES,HOME,MIAMI HEAT,WIN,1209,5,7,0,0,1,1,0,4,0,1,0,3,2,6.5
True,2022-12-07,17,11,MEMPHIS GRIZZLIES,HOME,OKLAHOMA CITY THUNDER,WIN,1489,8,10,0,0,1,1,0,8,1,0,1,1,3,14.8
True,2022-12-09,17,-4,MEMPHIS GRIZZLIES,HOME,DETROIT PISTONS,WIN,1437,7,8,0,0,3,7,2,5,2,1,0,1,4,15.3
True,2022-12-12,11,25,MEMPHIS GRIZZLIES,HOME,ATLANTA HAWKS,WIN,1396,5,5,0,0,1,2,1,5,2,1,1,2,4,10.8
True,2022-12-15,12,25,MEMPHIS GRIZZLIES,HOME,MILWAUKEE BUCKS,WIN,922,6,6,0,0,0,0,1,5,0,0,0,0,2,11.6
True,2022-12-17,10,-13,MEMPHIS GRIZZLIES,AWAY,OKLAHOMA CITY THUNDER,LOSS,1162,3,4,0,0,4,4,0,8,1,0,1,1,2,10.4
True,2022-12-20,10,-10,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,963,4,7,0,0,2,3,2,3,0,0,1,0,3,8.1
True,2022-12-23,24,12,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,WIN,1272,7,10,0,0,10,10,5,5,0,2,0,1,1,25.4
True,2022-12-25,9,-16,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,LOSS,1608,4,5,0,0,1,2,1,6,1,1,0,0,1,10.5
True,2022-12-27,8,-11,MEMPHIS GRIZZLIES,HOME,PHOENIX SUNS,LOSS,930,3,6,0,0,2,2,4,4,3,2,0,2,3,9.9
True,2022-12-29,4,-4,MEMPHIS GRIZZLIES,AWAY,TORONTO RAPTORS,WIN,944,2,2,0,0,0,0,1,5,0,0,0,2,2,2.8
True,2022-12-31,12,16,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS PELICANS,WIN,1163,4,7,0,0,4,4,3,2,0,1,1,0,5,11.1
True,2023-01-14,11,18,MEMPHIS GRIZZLIES,AWAY,INDIANA PACERS,WIN,1169,4,4,0,0,3,4,0,2,2,3,0,1,2,12.6
True,2023-01-16,13,14,MEMPHIS GRIZZLIES,HOME,PHOENIX SUNS,WIN,1072,6,8,0,0,1,3,2,4,1,0,0,0,2,11.5
True,2023-01-18,7,9,MEMPHIS GRIZZLIES,HOME,CLEVELAND CAVALIERS,WIN,1173,3,7,0,0,1,1,4,3,1,3,1,0,3,10.2
True,2023-01-20,20,3,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES LAKERS,LOSS,1328,7,7,0,0,6,10,5,5,0,1,2,1,4,21.1
True,2023-01-22,4,-3,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,LOSS,927,2,4,0,0,0,2,2,4,2,0,1,1,0,4.9
True,2023-01-23,6,-8,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,LOSS,759,3,5,0,0,0,0,1,1,0,1,0,3,4,1.1
True,2023-01-25,19,-5,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,LOSS,1921,8,10,0,0,3,4,1,7,2,1,0,1,4,17.4
True,2023-01-27,15,-3,MEMPHIS GRIZZLIES,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1669,5,9,0,0,5,5,3,4,3,3,0,2,2,16.3
True,2023-01-29,13,2,MEMPHIS GRIZZLIES,HOME,INDIANA PACERS,WIN,1050,5,5,0,0,3,5,0,2,2,1,2,1,5,12.1
True,2023-02-01,8,-19,MEMPHIS GRIZZLIES,HOME,PORTLAND TRAIL BLAZERS,LOSS,1010,3,6,0,0,2,2,5,2,2,0,0,0,3,9.3
True,2023-02-02,10,-28,MEMPHIS GRIZZLIES,AWAY,CLEVELAND CAVALIERS,LOSS,1257,5,7,0,0,0,0,2,1,0,0,1,1,1,8.1
True,2023-02-05,6,-3,MEMPHIS GRIZZLIES,HOME,TORONTO RAPTORS,LOSS,954,2,5,0,0,2,2,0,5,3,0,0,0,2,6.1
True,2023-02-07,13,16,MEMPHIS GRIZZLIES,HOME,CHICAGO BULLS,WIN,1482,5,9,0,0,3,3,2,11,0,0,0,1,0,12.4
True,2023-02-10,14,9,MEMPHIS GRIZZLIES,HOME,MINNESOTA TIMBERWOLVES,WIN,1161,6,7,0,0,2,3,2,2,4,1,0,2,2,14.1
True,2023-02-12,14,-12,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,LOSS,1406,7,8,0,0,0,3,0,2,0,0,0,0,1,10.2
True,2023-02-15,8,-5,MEMPHIS GRIZZLIES,HOME,UTAH JAZZ,WIN,1870,4,8,0,0,0,0,5,5,3,3,3,0,3,15.0
True,2023-02-23,2,-3,MEMPHIS GRIZZLIES,AWAY,PHILADELPHIA 76ERS,LOSS,926,1,3,0,0,0,0,1,2,3,0,1,0,4,2.8
True,2023-02-25,8,3,MEMPHIS GRIZZLIES,HOME,DENVER NUGGETS,WIN,1110,4,6,0,0,0,0,3,6,1,0,0,2,0,8.0
True,2023-02-28,6,2,MEMPHIS GRIZZLIES,HOME,LOS ANGELES LAKERS,WIN,871,3,4,0,0,0,0,1,4,2,0,0,0,1,7.3
True,2023-03-01,6,9,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,WIN,1196,2,5,0,0,2,2,3,4,2,1,0,0,4,7.4
True,2023-03-03,1,0,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,127,0,1,0,0,1,2,1,0,0,0,0,0,0,0.6
