active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-15,7,-6,MEMPHIS GRIZZLIES,AWAY,NEW ORLEANS PELICANS,LOSS,1502,3,14,0,7,1,2,2,4,0,0,5,2,1,1.7
True,2022-11-18,25,9,MEMPHIS GRIZZLIES,HOME,OKLAHOMA CITY THUNDER,WIN,1494,7,16,3,6,8,11,5,7,0,2,3,2,2,22.3
True,2022-11-22,22,15,MEMPHIS GRIZZLIES,HOME,SACRAMENTO KINGS,LOSS,1648,8,14,1,5,5,7,0,3,1,2,5,0,4,20.1
True,2022-11-25,20,18,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS PELICANS,WIN,1308,6,7,2,3,6,7,0,4,0,1,3,1,4,18.8
True,2022-11-27,21,0,MEMPHIS GRIZZLIES,AWAY,NEW YORK KNICKS,WIN,1818,8,19,3,8,2,2,2,3,0,1,0,0,2,13.4
True,2022-11-30,16,-4,MEMPHIS GRIZZLIES,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1487,5,10,1,4,5,6,4,7,0,0,2,4,5,10.9
True,2022-12-02,22,-2,MEMPHIS GRIZZLIES,HOME,PHILADELPHIA 76ERS,WIN,1572,7,12,2,5,6,7,3,6,0,1,4,3,5,18.7
True,2022-12-04,22,5,MEMPHIS GRIZZLIES,AWAY,DETROIT PISTONS,WIN,1789,7,13,2,4,6,7,3,0,0,0,1,2,2,15.3
True,2022-12-07,12,12,MEMPHIS GRIZZLIES,HOME,OKLAHOMA CITY THUNDER,WIN,1545,5,9,2,4,0,0,0,3,1,2,5,1,2,13.0
True,2022-12-09,20,7,MEMPHIS GRIZZLIES,HOME,DETROIT PISTONS,WIN,1777,8,12,3,5,1,4,1,4,0,2,4,2,3,17.1
