active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,5,-2,MEMPHIS GRIZZLIES,HOME,NEW YORK KNICKS,WIN,752,1,2,1,2,2,2,1,1,1,1,1,0,2,6.6
True,2022-10-21,12,-4,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,WIN,910,4,7,3,4,1,1,2,3,0,0,1,1,3,9.5
True,2022-10-22,6,-10,MEMPHIS GRIZZLIES,AWAY,DALLAS MAVERICKS,LOSS,1346,2,6,2,5,0,0,0,2,0,0,0,1,5,0.2
True,2022-10-24,0,-4,MEMPHIS GRIZZLIES,HOME,BROOKLYN NETS,WIN,663,0,2,0,0,0,0,1,1,0,0,0,0,2,-1.2
True,2022-10-27,13,24,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,WIN,1790,5,6,3,4,0,0,2,7,1,1,0,0,5,14.0
True,2022-11-04,4,-9,MEMPHIS GRIZZLIES,HOME,CHARLOTTE HORNETS,WIN,1150,1,4,0,2,2,2,1,8,0,0,0,1,0,3.7
True,2022-11-06,6,6,MEMPHIS GRIZZLIES,HOME,WASHINGTON WIZARDS,WIN,970,2,3,2,3,0,0,0,1,1,0,0,0,2,4.9
True,2022-11-07,6,7,MEMPHIS GRIZZLIES,HOME,BOSTON CELTICS,LOSS,1476,2,4,2,4,0,0,0,3,1,1,0,1,2,4.8
True,2022-11-09,6,-12,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,WIN,1004,3,4,0,1,0,0,0,0,0,1,0,1,3,3.2
True,2022-11-11,0,1,MEMPHIS GRIZZLIES,HOME,MINNESOTA TIMBERWOLVES,WIN,728,0,4,0,4,0,0,2,0,1,1,0,1,1,-1.1
True,2022-11-13,2,-9,MEMPHIS GRIZZLIES,AWAY,WASHINGTON WIZARDS,LOSS,1553,1,5,0,2,0,0,0,5,3,1,1,3,2,0.4
True,2022-11-18,2,-2,MEMPHIS GRIZZLIES,HOME,OKLAHOMA CITY THUNDER,WIN,568,1,3,0,2,0,0,0,1,1,0,0,0,2,0.5
True,2022-11-20,11,-4,MEMPHIS GRIZZLIES,AWAY,BROOKLYN NETS,LOSS,1731,4,12,3,9,0,0,1,3,3,1,0,2,1,6.5
True,2022-11-22,0,1,MEMPHIS GRIZZLIES,HOME,SACRAMENTO KINGS,LOSS,592,0,1,0,1,0,0,0,0,2,1,0,1,0,0.7
True,2022-11-25,3,-15,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS PELICANS,WIN,1572,1,5,1,4,0,0,2,2,0,0,0,1,2,0.1
True,2022-11-27,6,-2,MEMPHIS GRIZZLIES,AWAY,NEW YORK KNICKS,WIN,920,2,2,2,2,0,0,1,0,2,1,0,2,1,6.1
True,2022-12-12,0,-5,MEMPHIS GRIZZLIES,HOME,ATLANTA HAWKS,WIN,247,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7
True,2022-12-15,2,-5,MEMPHIS GRIZZLIES,HOME,MILWAUKEE BUCKS,WIN,720,1,2,0,1,0,0,2,0,1,1,0,0,2,3.3
True,2022-12-20,0,4,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-23,0,-4,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,WIN,280,0,0,0,0,0,0,0,1,1,0,0,0,2,0.2
True,2022-12-27,1,7,MEMPHIS GRIZZLIES,HOME,PHOENIX SUNS,LOSS,432,0,1,0,1,1,2,0,0,0,0,0,0,0,-0.1
True,2022-12-31,0,-2,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS PELICANS,WIN,89,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2023-01-01,0,-2,MEMPHIS GRIZZLIES,HOME,SACRAMENTO KINGS,WIN,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-14,5,2,MEMPHIS GRIZZLIES,AWAY,INDIANA PACERS,WIN,866,2,4,1,3,0,0,0,1,3,0,1,2,4,2.5
True,2023-01-16,0,-4,MEMPHIS GRIZZLIES,HOME,PHOENIX SUNS,WIN,237,0,2,0,2,0,0,0,0,0,1,0,0,0,-0.4
True,2023-01-23,0,-12,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,LOSS,327,0,0,0,0,0,0,0,1,0,1,0,0,0,1.3
True,2023-01-27,6,-9,MEMPHIS GRIZZLIES,AWAY,MINNESOTA TIMBERWOLVES,LOSS,764,2,3,1,2,1,2,0,2,0,0,0,0,0,4.9
True,2023-01-29,0,-2,MEMPHIS GRIZZLIES,HOME,INDIANA PACERS,WIN,325,0,2,0,2,0,0,0,0,0,0,0,0,1,-1.8
True,2023-02-02,0,1,MEMPHIS GRIZZLIES,AWAY,CLEVELAND CAVALIERS,LOSS,419,0,2,0,2,0,0,0,1,0,0,0,1,4,-3.7
True,2023-02-10,0,0,MEMPHIS GRIZZLIES,HOME,MINNESOTA TIMBERWOLVES,WIN,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-25,0,-10,MEMPHIS GRIZZLIES,HOME,DENVER NUGGETS,WIN,255,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-03-03,3,2,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,157,1,2,1,2,0,0,1,0,0,0,0,0,0,2.7
True,2023-03-18,0,-6,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,WIN,180,0,2,0,2,0,0,0,0,0,0,0,0,1,-1.8
True,2023-03-29,6,1,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,LOSS,1290,2,4,2,4,0,0,2,1,0,0,0,0,1,5.3
True,2023-04-02,0,0,MEMPHIS GRIZZLIES,AWAY,CHICAGO BULLS,LOSS,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
