active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,4,-9,MEMPHIS GRIZZLIES,AWAY,DALLAS MAVERICKS,LOSS,534,2,4,0,1,0,1,0,1,1,0,0,0,3,1.4
True,2022-10-27,0,0,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,WIN,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-31,5,4,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,280,2,5,0,0,1,2,1,0,0,0,0,0,0,2.6
True,2022-11-25,2,-10,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS PELICANS,WIN,283,1,3,0,0,0,0,0,1,2,0,0,1,0,1.0
True,2022-12-12,4,-5,MEMPHIS GRIZZLIES,HOME,ATLANTA HAWKS,WIN,247,2,2,0,0,0,0,0,1,1,0,0,0,0,4.4
True,2023-01-01,0,-2,MEMPHIS GRIZZLIES,HOME,SACRAMENTO KINGS,WIN,58,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-01-23,2,-12,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,LOSS,327,0,2,0,1,2,2,0,0,0,0,0,1,1,-0.8
True,2023-02-10,0,0,MEMPHIS GRIZZLIES,HOME,MINNESOTA TIMBERWOLVES,WIN,99,0,1,0,0,0,0,0,1,0,0,0,0,1,-0.8
True,2023-02-25,2,-10,MEMPHIS GRIZZLIES,HOME,DENVER NUGGETS,WIN,255,1,2,0,1,0,0,0,0,1,1,0,0,0,2.7
True,2023-02-28,0,0,MEMPHIS GRIZZLIES,HOME,LOS ANGELES LAKERS,WIN,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-03,0,2,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,157,0,1,0,0,0,0,0,0,2,0,0,0,0,0.7
True,2023-03-09,3,3,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,WIN,103,1,1,1,1,0,0,0,0,1,0,0,0,1,3.0
True,2023-03-13,2,-3,MEMPHIS GRIZZLIES,AWAY,DALLAS MAVERICKS,WIN,156,1,3,0,0,0,0,2,1,0,0,0,0,1,1.6
True,2023-03-15,10,9,MEMPHIS GRIZZLIES,AWAY,MIAMI HEAT,LOSS,720,4,6,2,2,0,0,1,2,2,0,0,1,3,7.9
True,2023-03-17,11,5,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,WIN,811,4,6,1,2,2,4,3,4,1,0,1,2,2,9.5
True,2023-03-18,2,-6,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,WIN,180,1,3,0,2,0,0,1,0,0,0,0,0,1,0.6
True,2023-03-22,5,3,MEMPHIS GRIZZLIES,HOME,HOUSTON ROCKETS,WIN,826,2,3,0,0,1,2,1,3,2,0,0,0,4,4.7
True,2023-03-24,11,-2,MEMPHIS GRIZZLIES,HOME,HOUSTON ROCKETS,WIN,600,5,9,1,1,0,0,0,2,3,2,1,0,1,11.7
True,2023-03-29,3,-2,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,LOSS,549,1,4,0,0,1,2,1,3,1,0,0,1,1,1.1
True,2023-04-02,0,0,MEMPHIS GRIZZLIES,AWAY,CHICAGO BULLS,LOSS,89,0,0,0,0,0,0,0,1,0,0,0,2,1,-2.1
True,2023-04-04,3,-6,MEMPHIS GRIZZLIES,HOME,PORTLAND TRAIL BLAZERS,WIN,222,1,2,0,1,1,1,0,1,0,0,0,0,0,2.3
True,2023-04-05,6,8,MEMPHIS GRIZZLIES,AWAY,NEW ORLEANS PELICANS,LOSS,1369,3,9,0,1,0,1,3,2,3,1,0,1,3,4.1
True,2023-04-07,3,2,MEMPHIS GRIZZLIES,AWAY,MILWAUKEE BUCKS,WIN,184,1,1,1,1,0,0,0,1,0,0,0,1,2,1.2
True,2023-04-09,42,-17,MEMPHIS GRIZZLIES,AWAY,OKLAHOMA CITY THUNDER,LOSS,2421,17,25,0,2,8,12,6,8,0,1,0,2,3,34.1
