active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,4,1,MEMPHIS GRIZZLIES,HOME,NEW YORK KNICKS,WIN,949,2,5,0,0,0,0,2,4,1,0,2,1,1,4.6
True,2022-10-21,0,-17,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,WIN,399,0,2,0,1,0,0,1,1,0,0,0,0,1,-0.8
True,2022-10-22,7,-9,MEMPHIS GRIZZLIES,AWAY,DALLAS MAVERICKS,LOSS,534,3,4,1,2,0,0,1,1,1,0,0,1,0,6.1
True,2022-10-29,4,-9,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,648,2,3,0,0,0,0,1,1,1,0,0,1,0,3.4
True,2022-10-31,8,-2,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,1027,3,4,0,0,2,7,3,2,0,0,0,1,1,5.7
True,2022-11-04,2,-9,MEMPHIS GRIZZLIES,HOME,CHARLOTTE HORNETS,WIN,621,1,2,0,0,0,0,0,1,1,0,0,1,0,1.0
True,2022-11-06,1,-8,MEMPHIS GRIZZLIES,HOME,WASHINGTON WIZARDS,WIN,265,0,1,0,0,1,2,2,0,0,0,0,2,3,-1.9
True,2022-11-07,2,3,MEMPHIS GRIZZLIES,HOME,BOSTON CELTICS,LOSS,1039,1,2,0,1,0,0,1,2,2,0,0,0,2,2.9
True,2022-11-20,2,5,MEMPHIS GRIZZLIES,AWAY,BROOKLYN NETS,LOSS,159,1,1,0,0,0,1,0,0,0,1,0,0,0,2.3
True,2022-12-04,6,5,MEMPHIS GRIZZLIES,AWAY,DETROIT PISTONS,WIN,1091,2,4,1,1,1,2,2,2,1,2,2,0,4,8.1
True,2022-12-05,4,2,MEMPHIS GRIZZLIES,HOME,MIAMI HEAT,WIN,863,2,5,0,1,0,0,2,2,1,1,1,0,1,5.3
True,2022-12-07,0,0,MEMPHIS GRIZZLIES,HOME,OKLAHOMA CITY THUNDER,WIN,140,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
True,2022-12-09,0,-2,MEMPHIS GRIZZLIES,HOME,DETROIT PISTONS,WIN,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-12,10,5,MEMPHIS GRIZZLIES,HOME,ATLANTA HAWKS,WIN,1217,5,6,0,0,0,0,2,2,0,1,1,0,2,10.7
True,2022-12-15,8,-5,MEMPHIS GRIZZLIES,HOME,MILWAUKEE BUCKS,WIN,720,3,3,0,0,2,2,0,1,0,0,1,0,1,7.7
True,2022-12-20,2,4,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,112,1,1,0,0,0,0,0,2,0,0,0,0,0,2.3
True,2022-12-23,2,-3,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,WIN,273,1,1,0,0,0,0,1,0,0,0,0,0,0,2.4
