active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,0,-3,MEMPHIS GRIZZLIES,AWAY,DALLAS MAVERICKS,LOSS,376,0,2,0,2,0,0,0,0,0,0,0,0,2,-2.2
True,2022-10-31,2,4,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,280,1,3,0,2,0,0,1,2,1,1,0,0,0,3.3
True,2022-11-04,0,-9,MEMPHIS GRIZZLIES,HOME,CHARLOTTE HORNETS,WIN,443,0,1,0,1,0,0,0,0,1,1,1,0,2,0.9
True,2022-11-20,2,5,MEMPHIS GRIZZLIES,AWAY,BROOKLYN NETS,LOSS,159,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2022-11-25,3,-10,MEMPHIS GRIZZLIES,HOME,NEW ORLEANS PELICANS,WIN,283,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
True,2022-12-05,0,2,MEMPHIS GRIZZLIES,HOME,MIAMI HEAT,WIN,835,0,3,0,2,0,0,0,2,0,2,0,0,1,0.1
True,2023-01-01,0,-2,MEMPHIS GRIZZLIES,HOME,SACRAMENTO KINGS,WIN,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-04,0,-5,MEMPHIS GRIZZLIES,AWAY,CHARLOTTE HORNETS,WIN,224,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2023-01-23,0,-9,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,LOSS,255,0,2,0,1,0,0,1,1,0,0,0,1,1,-1.8
True,2023-02-28,0,0,MEMPHIS GRIZZLIES,HOME,LOS ANGELES LAKERS,WIN,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-03,3,2,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,157,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
True,2023-04-02,0,0,MEMPHIS GRIZZLIES,AWAY,CHICAGO BULLS,LOSS,89,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-04-05,2,2,MEMPHIS GRIZZLIES,AWAY,NEW ORLEANS PELICANS,LOSS,36,1,2,0,1,0,0,0,0,0,0,0,0,0,1.0
True,2023-04-07,3,4,MEMPHIS GRIZZLIES,AWAY,MILWAUKEE BUCKS,WIN,158,1,2,1,2,0,0,0,0,0,0,0,0,1,1.6
True,2023-04-09,15,-15,MEMPHIS GRIZZLIES,AWAY,OKLAHOMA CITY THUNDER,LOSS,2880,6,21,1,14,2,2,2,6,1,2,1,4,5,3.3
