active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-12-07,4,15,MEMPHIS GRIZZLIES,HOME,OKLAHOMA CITY THUNDER,WIN,1124,2,9,0,4,0,0,1,5,3,2,0,0,3,3.6
True,2022-12-09,2,-12,MEMPHIS GRIZZLIES,HOME,DETROIT PISTONS,WIN,990,1,3,0,2,0,0,0,4,0,0,0,2,0,-0.5
True,2022-12-12,4,-3,MEMPHIS GRIZZLIES,HOME,ATLANTA HAWKS,WIN,1255,1,7,0,4,2,2,0,3,2,1,1,3,1,0.1
True,2022-12-15,11,9,MEMPHIS GRIZZLIES,HOME,MILWAUKEE BUCKS,WIN,1326,5,11,1,5,0,0,1,4,2,0,1,1,0,8.3
True,2022-12-17,2,-8,MEMPHIS GRIZZLIES,AWAY,OKLAHOMA CITY THUNDER,LOSS,789,1,3,0,1,0,0,0,3,1,0,0,0,2,1.1
True,2022-12-20,2,12,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,992,1,3,0,2,0,0,0,4,4,0,0,2,1,1.9
True,2022-12-23,6,-3,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,WIN,1387,3,5,0,1,0,0,0,2,2,1,0,3,5,1.7
True,2022-12-25,3,-14,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,LOSS,881,1,5,1,4,0,0,0,3,0,0,0,0,2,0.0
True,2022-12-27,7,-27,MEMPHIS GRIZZLIES,HOME,PHOENIX SUNS,LOSS,1073,3,6,1,3,0,0,0,1,0,1,0,0,4,3.7
True,2022-12-29,5,-3,MEMPHIS GRIZZLIES,AWAY,TORONTO RAPTORS,WIN,450,2,2,1,1,0,0,0,0,0,0,0,2,2,1.6
True,2023-01-04,5,-10,MEMPHIS GRIZZLIES,AWAY,CHARLOTTE HORNETS,WIN,394,1,5,1,1,2,2,3,3,0,0,0,4,3,-0.3
True,2023-01-05,16,13,MEMPHIS GRIZZLIES,AWAY,ORLANDO MAGIC,WIN,848,6,7,3,4,1,1,0,1,0,0,0,1,2,12.0
True,2023-01-08,9,-5,MEMPHIS GRIZZLIES,HOME,UTAH JAZZ,WIN,1069,3,7,1,4,2,2,0,2,0,1,0,0,1,6.5
True,2023-01-09,11,4,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,WIN,1362,4,9,1,4,2,3,1,4,0,0,1,1,1,7.1
True,2023-01-11,9,7,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,WIN,1556,4,8,1,3,0,0,0,0,1,1,0,1,3,4.5
True,2023-01-14,13,14,MEMPHIS GRIZZLIES,AWAY,INDIANA PACERS,WIN,1665,6,9,1,3,0,0,0,2,2,1,1,1,2,11.0
True,2023-01-16,3,14,MEMPHIS GRIZZLIES,HOME,PHOENIX SUNS,WIN,1038,1,3,1,3,0,0,1,2,0,0,0,0,3,1.4
True,2023-01-18,3,-8,MEMPHIS GRIZZLIES,HOME,CLEVELAND CAVALIERS,WIN,999,1,3,0,1,1,2,0,0,1,0,0,0,1,1.2
True,2023-01-20,2,-2,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES LAKERS,LOSS,1066,1,6,0,3,0,0,1,2,2,0,0,0,5,-1.1
True,2023-01-22,16,5,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,LOSS,1558,6,11,3,6,1,2,1,4,0,0,0,3,2,8.4
True,2023-01-23,9,-22,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,LOSS,1015,3,10,1,6,2,3,1,1,2,1,0,0,2,5.4
True,2023-01-25,2,-19,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,LOSS,1419,1,7,0,6,0,0,0,2,0,1,1,1,3,-2.4
True,2023-01-27,7,-7,MEMPHIS GRIZZLIES,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1580,3,5,1,2,0,0,0,2,0,2,0,3,0,4.3
True,2023-01-29,7,9,MEMPHIS GRIZZLIES,HOME,INDIANA PACERS,WIN,1220,3,6,1,3,0,0,0,2,0,0,0,0,1,4.2
True,2023-02-01,5,-2,MEMPHIS GRIZZLIES,HOME,PORTLAND TRAIL BLAZERS,LOSS,1130,2,5,1,4,0,0,0,1,0,0,0,0,1,2.2
True,2023-02-02,2,6,MEMPHIS GRIZZLIES,AWAY,CLEVELAND CAVALIERS,LOSS,213,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2023-02-05,2,-3,MEMPHIS GRIZZLIES,HOME,TORONTO RAPTORS,LOSS,665,1,3,0,1,0,0,1,1,2,0,0,1,1,1.3
True,2023-02-10,0,0,MEMPHIS GRIZZLIES,HOME,MINNESOTA TIMBERWOLVES,WIN,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-25,0,-10,MEMPHIS GRIZZLIES,HOME,DENVER NUGGETS,WIN,255,0,1,0,1,0,0,1,0,0,0,0,1,1,-1.4
True,2023-02-28,0,0,MEMPHIS GRIZZLIES,HOME,LOS ANGELES LAKERS,WIN,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-01,0,-9,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,WIN,271,0,3,0,1,0,0,0,0,0,0,0,0,0,-2.1
True,2023-03-05,0,-3,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,LOSS,332,0,0,0,0,0,0,0,0,0,1,0,0,3,-0.2
True,2023-03-07,2,-1,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES LAKERS,LOSS,317,1,3,0,1,0,0,0,1,1,0,0,1,1,-0.1
True,2023-03-09,5,-11,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,WIN,402,2,2,1,1,0,0,2,0,0,0,0,3,0,2.8
True,2023-03-13,0,-3,MEMPHIS GRIZZLIES,AWAY,DALLAS MAVERICKS,WIN,156,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-03-15,12,9,MEMPHIS GRIZZLIES,AWAY,MIAMI HEAT,LOSS,720,5,8,1,3,1,1,1,1,1,1,0,2,1,8.7
True,2023-04-09,24,-7,MEMPHIS GRIZZLIES,AWAY,OKLAHOMA CITY THUNDER,LOSS,1959,9,19,3,8,3,4,1,3,9,0,1,1,1,21.1
