active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,12,-15,MIAMI HEAT,HOME,CHICAGO BULLS,LOSS,2040,5,15,0,0,2,3,1,8,2,0,1,5,4,1.7
True,2022-10-21,19,20,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,2093,8,11,0,0,3,4,3,5,5,2,0,5,4,16.6
True,2022-10-22,10,5,MIAMI HEAT,HOME,TORONTO RAPTORS,WIN,2142,4,6,0,1,2,2,0,7,1,0,0,3,3,6.0
True,2022-10-24,14,5,MIAMI HEAT,HOME,TORONTO RAPTORS,LOSS,2261,4,14,0,0,6,6,4,6,3,1,2,3,1,11.5
True,2022-10-26,18,17,MIAMI HEAT,AWAY,PORTLAND TRAIL BLAZERS,WIN,1701,6,11,0,1,6,7,3,5,3,1,0,3,3,14.8
True,2022-10-27,26,-12,MIAMI HEAT,AWAY,GOLDEN STATE WARRIORS,LOSS,2264,10,13,0,0,6,8,4,4,1,4,3,5,2,25.1
True,2022-10-29,23,6,MIAMI HEAT,AWAY,SACRAMENTO KINGS,LOSS,2263,9,16,0,0,5,6,2,4,4,0,2,1,6,18.4
True,2022-11-01,19,0,MIAMI HEAT,HOME,GOLDEN STATE WARRIORS,WIN,2231,8,15,0,0,3,3,1,6,6,3,1,2,4,18.5
True,2022-11-02,20,2,MIAMI HEAT,HOME,SACRAMENTO KINGS,WIN,1926,9,16,0,0,2,2,2,9,6,0,0,4,5,14.7
True,2022-11-04,18,3,MIAMI HEAT,AWAY,INDIANA PACERS,LOSS,2032,7,14,0,1,4,4,3,7,4,1,0,5,4,12.4
True,2022-11-07,16,2,MIAMI HEAT,HOME,PORTLAND TRAIL BLAZERS,LOSS,2002,8,14,0,0,0,1,2,3,3,1,1,1,1,13.7
True,2022-11-10,18,9,MIAMI HEAT,HOME,CHARLOTTE HORNETS,WIN,2316,6,15,0,1,6,6,2,12,4,2,0,5,5,12.7
True,2022-11-12,24,19,MIAMI HEAT,HOME,CHARLOTTE HORNETS,WIN,1984,11,18,0,0,2,3,1,14,4,1,1,5,4,18.2
True,2022-11-14,30,12,MIAMI HEAT,HOME,PHOENIX SUNS,WIN,2174,9,18,0,1,12,14,6,4,1,1,0,3,2,23.5
True,2022-11-20,21,-20,MIAMI HEAT,AWAY,CLEVELAND CAVALIERS,LOSS,1618,7,14,0,0,7,7,2,4,3,0,1,3,2,15.6
True,2022-11-21,17,-11,MIAMI HEAT,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2099,7,18,0,2,3,6,4,10,5,0,2,1,5,13.7
