active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,2,MIAMI HEAT,HOME,CHICAGO BULLS,LOSS,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-21,0,-9,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,264,0,2,0,2,0,0,0,2,0,0,0,0,0,-0.8
True,2022-10-24,0,-4,MIAMI HEAT,HOME,TORONTO RAPTORS,LOSS,629,0,2,0,1,0,0,0,1,0,2,0,2,1,-1.5
True,2022-10-26,2,-5,MIAMI HEAT,AWAY,PORTLAND TRAIL BLAZERS,WIN,337,1,1,0,0,0,0,0,1,0,1,0,0,0,3.0
True,2022-11-04,0,-5,MIAMI HEAT,AWAY,INDIANA PACERS,LOSS,387,0,1,0,1,0,0,0,0,0,0,0,1,0,-1.7
True,2022-11-12,0,0,MIAMI HEAT,HOME,CHARLOTTE HORNETS,WIN,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-18,12,-2,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,LOSS,2515,5,17,1,7,1,2,4,10,2,2,0,1,1,9.5
True,2022-11-20,0,-23,MIAMI HEAT,AWAY,CLEVELAND CAVALIERS,LOSS,1718,0,3,0,2,0,2,1,3,0,1,0,0,2,-1.1
True,2022-11-21,12,7,MIAMI HEAT,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1193,4,7,2,3,2,2,2,3,0,0,0,4,3,5.8
True,2022-11-23,5,16,MIAMI HEAT,HOME,WASHINGTON WIZARDS,WIN,2268,2,7,1,4,0,0,0,8,1,1,0,0,0,5.0
True,2022-11-25,6,4,MIAMI HEAT,HOME,WASHINGTON WIZARDS,WIN,2012,2,6,1,2,1,4,2,5,1,0,1,1,1,4.3
True,2022-11-27,0,1,MIAMI HEAT,AWAY,ATLANTA HAWKS,WIN,1388,0,3,0,2,0,0,1,2,2,1,1,1,2,0.5
True,2022-11-30,16,-14,MIAMI HEAT,AWAY,BOSTON CELTICS,LOSS,1532,6,9,4,6,0,0,3,5,2,0,2,0,1,18.1
True,2022-12-02,2,12,MIAMI HEAT,AWAY,BOSTON CELTICS,WIN,1677,1,5,0,2,0,0,0,5,1,1,1,0,0,2.8
True,2022-12-05,6,-4,MIAMI HEAT,AWAY,MEMPHIS GRIZZLIES,LOSS,844,2,5,2,4,0,0,2,4,0,3,1,1,0,8.6
True,2022-12-06,0,-24,MIAMI HEAT,HOME,DETROIT PISTONS,LOSS,1664,0,3,0,1,0,0,1,2,1,0,0,1,3,-2.3
True,2022-12-08,0,-5,MIAMI HEAT,HOME,LOS ANGELES CLIPPERS,WIN,223,0,0,0,0,0,0,0,1,0,0,0,0,3,-0.9
True,2022-12-14,0,14,MIAMI HEAT,AWAY,OKLAHOMA CITY THUNDER,WIN,1091,0,2,0,1,0,0,1,2,3,2,0,1,2,2.2
True,2022-12-15,8,2,MIAMI HEAT,AWAY,HOUSTON ROCKETS,WIN,1802,3,9,2,4,0,0,3,4,3,2,0,0,3,9.1
True,2022-12-17,3,-1,MIAMI HEAT,AWAY,SAN ANTONIO SPURS,WIN,1090,1,1,0,0,1,4,1,4,0,0,1,0,3,2.9
True,2022-12-20,18,-6,MIAMI HEAT,HOME,CHICAGO BULLS,LOSS,2441,7,10,4,4,0,0,1,1,2,4,0,2,3,17.0
True,2022-12-23,10,-4,MIAMI HEAT,HOME,INDIANA PACERS,LOSS,1380,5,7,0,1,0,0,1,2,2,2,1,0,1,12.1
True,2022-12-26,3,7,MIAMI HEAT,HOME,MINNESOTA TIMBERWOLVES,WIN,1323,1,4,0,3,1,2,0,2,1,0,1,2,1,-0.2
True,2022-12-28,0,0,MIAMI HEAT,HOME,LOS ANGELES LAKERS,WIN,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-30,7,-2,MIAMI HEAT,AWAY,DENVER NUGGETS,LOSS,1263,3,6,1,3,0,0,1,1,0,2,0,3,2,3.2
True,2022-12-31,6,-9,MIAMI HEAT,AWAY,UTAH JAZZ,WIN,1025,3,4,0,1,0,0,1,0,0,0,0,0,4,3.5
True,2023-01-06,0,9,MIAMI HEAT,AWAY,PHOENIX SUNS,WIN,1627,0,6,0,4,0,0,1,6,0,2,0,2,0,-1.7
True,2023-01-08,10,-14,MIAMI HEAT,HOME,BROOKLYN NETS,LOSS,1069,4,4,2,2,0,0,2,1,0,0,1,1,4,8.6
True,2023-01-10,5,-1,MIAMI HEAT,HOME,OKLAHOMA CITY THUNDER,WIN,1446,2,7,1,4,0,0,3,2,0,1,0,3,3,0.4
