active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,7,-7,MIAMI HEAT,HOME,CHICAGO BULLS,LOSS,1717,3,9,1,3,0,0,1,3,3,2,0,0,2,6.8
True,2022-10-21,4,0,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,1726,2,7,0,1,0,0,3,4,0,1,0,0,2,3.4
True,2022-10-22,8,17,MIAMI HEAT,HOME,TORONTO RAPTORS,WIN,1327,3,8,0,2,2,2,2,3,2,1,0,1,4,5.7
True,2022-10-26,16,19,MIAMI HEAT,AWAY,PORTLAND TRAIL BLAZERS,WIN,1762,7,8,2,2,0,0,4,4,3,4,0,2,3,20.1
True,2022-10-27,8,-1,MIAMI HEAT,AWAY,GOLDEN STATE WARRIORS,LOSS,1768,3,10,2,4,0,0,1,0,1,1,0,1,1,3.2
True,2022-10-29,9,-4,MIAMI HEAT,AWAY,SACRAMENTO KINGS,LOSS,1556,3,9,1,2,2,2,1,3,1,2,0,0,3,7.0
True,2022-11-01,5,-18,MIAMI HEAT,HOME,GOLDEN STATE WARRIORS,WIN,1163,2,4,1,2,0,0,1,3,0,0,0,1,1,3.2
True,2022-11-02,8,5,MIAMI HEAT,HOME,SACRAMENTO KINGS,WIN,1776,3,7,0,1,2,2,2,1,2,1,0,1,2,6.6
True,2022-11-04,6,8,MIAMI HEAT,AWAY,INDIANA PACERS,LOSS,1670,3,5,0,1,0,0,1,3,2,0,1,2,3,4.2
True,2022-11-07,10,-4,MIAMI HEAT,HOME,PORTLAND TRAIL BLAZERS,LOSS,2085,5,11,0,5,0,0,3,2,1,1,0,0,0,8.7
True,2022-11-10,9,4,MIAMI HEAT,HOME,CHARLOTTE HORNETS,WIN,1845,3,8,2,4,1,2,2,2,2,1,0,1,2,6.8
True,2022-11-12,7,27,MIAMI HEAT,HOME,CHARLOTTE HORNETS,WIN,2026,3,8,0,1,1,3,2,2,4,1,0,2,3,4.4
True,2022-11-14,15,10,MIAMI HEAT,HOME,PHOENIX SUNS,WIN,2196,5,8,5,6,0,0,2,3,3,2,2,0,0,19.2
True,2022-11-16,14,-1,MIAMI HEAT,AWAY,TORONTO RAPTORS,LOSS,2300,6,10,2,4,0,0,2,7,3,0,2,3,3,12.2
True,2022-11-18,12,1,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,LOSS,2821,3,12,2,5,4,4,1,4,3,2,1,3,1,8.1
True,2022-11-20,17,-12,MIAMI HEAT,AWAY,CLEVELAND CAVALIERS,LOSS,2055,7,12,1,5,2,2,2,1,2,0,0,2,2,11.7
True,2022-11-21,8,-1,MIAMI HEAT,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2406,3,7,0,2,2,4,3,3,3,3,1,1,2,10.5
True,2022-11-23,24,-2,MIAMI HEAT,HOME,WASHINGTON WIZARDS,WIN,2429,10,17,4,9,0,0,4,5,4,2,1,0,2,25.1
True,2022-11-25,20,13,MIAMI HEAT,HOME,WASHINGTON WIZARDS,WIN,2304,7,11,2,4,4,5,0,4,1,1,0,2,2,14.8
True,2022-11-27,20,9,MIAMI HEAT,AWAY,ATLANTA HAWKS,WIN,2452,8,12,2,3,2,2,1,8,4,2,1,1,2,21.6
True,2022-11-30,10,-7,MIAMI HEAT,AWAY,BOSTON CELTICS,LOSS,1453,4,9,2,5,0,0,1,5,1,0,0,2,1,5.8
True,2022-12-02,10,-13,MIAMI HEAT,AWAY,BOSTON CELTICS,WIN,1561,4,9,1,3,1,2,0,1,0,0,0,0,1,4.8
True,2022-12-05,16,-4,MIAMI HEAT,AWAY,MEMPHIS GRIZZLIES,LOSS,2036,6,10,4,8,0,0,0,0,0,0,0,1,0,10.4
True,2022-12-06,3,-6,MIAMI HEAT,HOME,DETROIT PISTONS,LOSS,1925,1,7,1,4,0,0,1,2,1,1,0,3,3,-2.7
True,2022-12-08,17,18,MIAMI HEAT,HOME,LOS ANGELES CLIPPERS,WIN,2424,6,13,4,8,1,2,1,7,2,2,0,1,4,13.5
True,2022-12-10,14,-3,MIAMI HEAT,HOME,SAN ANTONIO SPURS,LOSS,2186,4,9,3,6,3,3,0,3,1,1,1,0,4,11.0
True,2022-12-12,9,-4,MIAMI HEAT,AWAY,INDIANA PACERS,WIN,2384,3,8,1,3,2,2,2,4,1,1,0,1,2,7.1
True,2022-12-14,3,-12,MIAMI HEAT,AWAY,OKLAHOMA CITY THUNDER,WIN,2011,1,6,1,5,0,0,2,2,5,1,0,3,1,2.3
True,2022-12-15,13,11,MIAMI HEAT,AWAY,HOUSTON ROCKETS,WIN,1848,5,9,0,3,3,3,1,1,0,0,0,2,2,6.9
True,2022-12-23,0,8,MIAMI HEAT,HOME,INDIANA PACERS,LOSS,1145,0,1,0,0,0,0,1,3,3,1,2,1,0,4.4
True,2022-12-26,8,-3,MIAMI HEAT,HOME,MINNESOTA TIMBERWOLVES,WIN,1695,3,12,1,6,1,2,3,5,1,0,0,1,0,3.7
True,2022-12-28,13,25,MIAMI HEAT,HOME,LOS ANGELES LAKERS,WIN,1850,5,6,3,4,0,0,0,6,2,1,0,0,1,14.6
True,2023-01-02,2,-15,MIAMI HEAT,AWAY,LOS ANGELES CLIPPERS,WIN,844,1,4,0,3,0,0,0,3,1,0,1,0,3,0.7
True,2023-01-04,8,5,MIAMI HEAT,AWAY,LOS ANGELES LAKERS,LOSS,1273,3,8,1,2,1,2,1,4,1,0,0,0,3,4.6
True,2023-01-16,7,3,MIAMI HEAT,AWAY,ATLANTA HAWKS,LOSS,1538,3,5,1,1,0,0,2,4,1,2,0,2,5,6.0
True,2023-01-18,10,23,MIAMI HEAT,AWAY,NEW ORLEANS PELICANS,WIN,2108,3,7,2,4,2,2,0,3,0,3,0,2,1,7.8
True,2023-01-20,7,-22,MIAMI HEAT,AWAY,DALLAS MAVERICKS,LOSS,1958,2,6,1,3,2,2,0,6,1,0,1,2,2,4.0
True,2023-01-22,4,-5,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,1603,1,9,0,6,2,2,1,4,0,1,0,1,1,-0.4
True,2023-01-24,5,-7,MIAMI HEAT,HOME,BOSTON CELTICS,WIN,665,1,5,1,2,2,2,0,0,0,0,0,1,5,-1.1
