active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-12-06,9,-12,MIAMI HEAT,HOME,DETROIT PISTONS,LOSS,1112,3,9,1,4,2,4,0,2,2,0,0,0,1,4.7
True,2022-12-08,6,3,MIAMI HEAT,HOME,LOS ANGELES CLIPPERS,WIN,1250,3,8,0,3,0,0,0,2,2,0,0,0,0,3.6
True,2022-12-10,11,-12,MIAMI HEAT,HOME,SAN ANTONIO SPURS,LOSS,1402,4,7,2,5,1,2,0,3,3,0,0,1,6,6.9
True,2022-12-12,5,8,MIAMI HEAT,AWAY,INDIANA PACERS,WIN,1130,2,5,1,3,0,0,1,3,4,1,0,2,0,5.7
True,2022-12-14,12,18,MIAMI HEAT,AWAY,OKLAHOMA CITY THUNDER,WIN,1868,4,8,2,5,2,3,0,4,3,3,0,2,4,10.3
True,2022-12-17,7,-2,MIAMI HEAT,AWAY,SAN ANTONIO SPURS,WIN,2024,3,7,1,4,0,0,0,2,3,5,0,2,4,7.4
True,2022-12-20,14,-14,MIAMI HEAT,HOME,CHICAGO BULLS,LOSS,2054,4,13,2,8,4,4,2,2,2,2,0,1,4,9.3
True,2022-12-23,5,-9,MIAMI HEAT,HOME,INDIANA PACERS,LOSS,1677,2,7,1,2,0,0,0,0,3,1,0,1,4,1.4
True,2022-12-26,7,5,MIAMI HEAT,HOME,MINNESOTA TIMBERWOLVES,WIN,1166,2,6,0,3,3,3,0,2,4,2,0,2,0,7.0
True,2022-12-28,4,0,MIAMI HEAT,HOME,LOS ANGELES LAKERS,WIN,1560,1,7,0,4,2,2,1,1,1,3,2,1,0,4.6
True,2022-12-31,23,4,MIAMI HEAT,AWAY,UTAH JAZZ,WIN,2073,7,15,4,9,5,7,0,5,5,3,1,2,4,19.6
