active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,5,8,MIAMI HEAT,HOME,CHICAGO BULLS,LOSS,654,2,4,1,3,0,0,1,3,3,0,0,0,1,6.3
True,2022-10-21,0,-5,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,367,0,0,0,0,0,0,1,0,1,0,0,0,0,1.4
True,2022-10-22,8,-2,MIAMI HEAT,HOME,TORONTO RAPTORS,WIN,878,3,5,2,3,0,0,0,3,0,0,0,0,3,5.4
True,2022-10-24,12,-6,MIAMI HEAT,HOME,TORONTO RAPTORS,LOSS,934,4,8,3,6,1,1,0,1,0,0,0,0,4,6.7
True,2022-10-26,5,12,MIAMI HEAT,AWAY,PORTLAND TRAIL BLAZERS,WIN,1146,2,7,1,5,0,0,0,3,3,0,0,1,2,2.1
True,2022-10-27,3,-4,MIAMI HEAT,AWAY,GOLDEN STATE WARRIORS,LOSS,789,1,7,1,5,0,0,0,1,1,0,0,0,1,-0.9
True,2022-10-29,2,-8,MIAMI HEAT,AWAY,SACRAMENTO KINGS,LOSS,278,0,2,0,0,2,2,1,1,0,0,0,0,2,0.8
True,2022-11-01,17,19,MIAMI HEAT,HOME,GOLDEN STATE WARRIORS,WIN,1541,6,10,5,8,0,0,0,2,3,0,0,2,3,11.9
True,2022-11-02,4,-8,MIAMI HEAT,HOME,SACRAMENTO KINGS,WIN,1492,1,6,1,5,1,1,0,6,1,0,0,0,1,2.3
True,2022-11-04,0,-13,MIAMI HEAT,AWAY,INDIANA PACERS,LOSS,1000,0,7,0,6,0,0,0,3,0,0,0,0,1,-4.4
True,2022-11-07,9,2,MIAMI HEAT,HOME,PORTLAND TRAIL BLAZERS,LOSS,1711,3,9,3,9,0,0,0,4,3,0,0,1,2,5.4
True,2022-11-10,14,0,MIAMI HEAT,HOME,CHARLOTTE HORNETS,WIN,1354,5,10,2,6,2,3,0,0,1,0,0,0,3,8.1
True,2022-11-12,5,5,MIAMI HEAT,HOME,CHARLOTTE HORNETS,WIN,1389,2,9,0,6,1,1,0,1,2,1,0,1,1,0.8
True,2022-11-14,10,-7,MIAMI HEAT,HOME,PHOENIX SUNS,WIN,1242,3,7,2,6,2,2,0,0,0,0,0,2,0,4.3
True,2022-11-16,0,-3,MIAMI HEAT,AWAY,TORONTO RAPTORS,LOSS,872,0,2,0,1,0,0,1,2,3,0,0,2,2,-0.8
