active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-18,14,-2,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,LOSS,1932,6,10,0,2,2,3,1,6,0,1,1,1,5,10.2
True,2022-11-20,0,4,MIAMI HEAT,AWAY,CLEVELAND CAVALIERS,LOSS,473,0,3,0,1,0,0,1,1,1,1,0,0,0,0.6
True,2022-12-15,9,11,MIAMI HEAT,AWAY,HOUSTON ROCKETS,WIN,2131,3,7,0,2,3,4,1,5,3,3,2,2,4,10.0
True,2022-12-17,2,0,MIAMI HEAT,AWAY,SAN ANTONIO SPURS,WIN,267,1,1,0,0,0,0,0,1,1,0,0,0,0,2.7
True,2022-12-20,2,4,MIAMI HEAT,HOME,CHICAGO BULLS,LOSS,81,1,1,0,0,0,0,1,0,1,0,0,0,0,3.1
True,2022-12-23,0,-4,MIAMI HEAT,HOME,INDIANA PACERS,LOSS,616,0,2,0,0,0,0,1,2,0,0,0,1,2,-1.9
True,2022-12-26,15,4,MIAMI HEAT,HOME,MINNESOTA TIMBERWOLVES,WIN,1605,7,9,0,0,1,1,7,2,4,1,1,1,5,18.5
True,2022-12-28,0,-10,MIAMI HEAT,HOME,LOS ANGELES LAKERS,WIN,525,0,2,0,0,0,0,1,1,1,0,0,0,1,-0.1
True,2022-12-30,13,-1,MIAMI HEAT,AWAY,DENVER NUGGETS,LOSS,1066,4,5,0,0,5,6,2,3,0,0,1,0,2,12.9
True,2022-12-31,2,-3,MIAMI HEAT,AWAY,UTAH JAZZ,WIN,715,1,3,0,0,0,0,1,2,1,0,0,1,2,0.5
True,2023-01-02,6,-1,MIAMI HEAT,AWAY,LOS ANGELES CLIPPERS,WIN,667,3,5,0,0,0,0,3,3,0,0,0,0,1,6.3
True,2023-01-04,0,-2,MIAMI HEAT,AWAY,LOS ANGELES LAKERS,LOSS,213,0,0,0,0,0,0,0,0,0,1,0,1,1,-0.4
True,2023-01-08,6,24,MIAMI HEAT,HOME,BROOKLYN NETS,LOSS,1181,3,4,0,0,0,0,2,7,2,0,0,1,0,8.3
True,2023-01-10,4,1,MIAMI HEAT,HOME,OKLAHOMA CITY THUNDER,WIN,1467,2,2,0,0,0,0,1,5,0,1,1,1,5,4.3
True,2023-01-12,4,-2,MIAMI HEAT,HOME,MILWAUKEE BUCKS,WIN,831,2,4,0,0,0,0,1,4,0,1,0,0,1,4.5
True,2023-01-14,4,-2,MIAMI HEAT,HOME,MILWAUKEE BUCKS,WIN,1022,2,4,0,0,0,0,5,3,1,0,1,1,1,6.4
True,2023-01-16,0,-14,MIAMI HEAT,AWAY,ATLANTA HAWKS,LOSS,710,0,1,0,0,0,0,0,1,1,0,0,0,2,-0.5
True,2023-01-18,10,10,MIAMI HEAT,AWAY,NEW ORLEANS PELICANS,WIN,1046,4,7,0,0,2,2,2,2,1,2,0,0,5,9.4
True,2023-01-20,0,-2,MIAMI HEAT,AWAY,DALLAS MAVERICKS,LOSS,658,0,0,0,0,0,2,0,5,0,0,0,1,2,-1.1
True,2023-01-22,1,6,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,805,0,1,0,0,1,2,1,2,1,0,0,0,1,1.5
True,2023-01-24,5,0,MIAMI HEAT,HOME,BOSTON CELTICS,WIN,640,1,1,0,0,3,4,1,4,0,0,1,0,1,6.5
True,2023-01-27,0,1,MIAMI HEAT,HOME,ORLANDO MAGIC,WIN,688,0,1,0,0,0,0,1,3,0,0,1,1,1,0.2
True,2023-01-29,2,-10,MIAMI HEAT,AWAY,CHARLOTTE HORNETS,LOSS,722,0,1,0,0,2,2,2,1,0,1,0,1,1,2.6
True,2023-01-31,3,9,MIAMI HEAT,AWAY,CLEVELAND CAVALIERS,WIN,641,1,4,0,0,1,1,2,1,1,0,2,0,1,4.0
True,2023-02-08,2,3,MIAMI HEAT,HOME,INDIANA PACERS,WIN,666,1,2,0,0,0,0,2,0,1,0,0,0,1,2.7
True,2023-02-10,0,-19,MIAMI HEAT,HOME,HOUSTON ROCKETS,WIN,842,0,0,0,0,0,0,0,3,0,0,1,1,4,-1.0
True,2023-02-11,3,-9,MIAMI HEAT,AWAY,ORLANDO MAGIC,WIN,577,1,1,0,0,1,2,2,2,1,0,0,1,1,3.6
True,2023-02-13,6,2,MIAMI HEAT,HOME,DENVER NUGGETS,LOSS,814,3,3,0,0,0,0,2,4,0,0,0,0,2,6.9
True,2023-02-15,0,3,MIAMI HEAT,AWAY,BROOKLYN NETS,LOSS,239,0,2,0,0,0,0,1,1,0,0,0,0,0,-0.4
True,2023-04-07,3,14,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,LOSS,973,1,2,0,0,1,2,3,2,2,0,0,1,1,4.3
True,2023-04-09,0,12,MIAMI HEAT,HOME,ORLANDO MAGIC,WIN,693,0,1,0,1,0,0,1,2,2,0,0,0,0,2.0
