active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,2,7,MIAMI HEAT,HOME,CHICAGO BULLS,LOSS,963,1,4,0,1,0,0,0,0,3,0,0,4,1,-2.7
True,2022-10-21,17,-6,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,1446,7,13,3,5,0,0,0,0,2,1,0,2,3,9.9
True,2022-10-22,9,0,MIAMI HEAT,HOME,TORONTO RAPTORS,WIN,1424,3,7,1,5,2,2,0,7,4,0,0,3,2,6.4
True,2022-10-24,3,-18,MIAMI HEAT,HOME,TORONTO RAPTORS,LOSS,1552,1,3,0,1,1,2,0,1,4,1,1,2,1,3.3
True,2022-10-26,8,11,MIAMI HEAT,AWAY,PORTLAND TRAIL BLAZERS,WIN,1216,2,5,0,2,4,4,1,0,7,0,0,1,0,9.9
True,2022-10-27,9,-3,MIAMI HEAT,AWAY,GOLDEN STATE WARRIORS,LOSS,1077,3,8,1,4,2,3,0,1,3,1,0,0,3,6.4
True,2022-10-29,3,-14,MIAMI HEAT,AWAY,SACRAMENTO KINGS,LOSS,1184,1,4,1,2,0,0,0,1,1,0,0,0,4,0.0
True,2022-11-01,4,29,MIAMI HEAT,HOME,GOLDEN STATE WARRIORS,WIN,1859,2,7,0,4,0,0,3,5,3,2,0,2,4,4.0
True,2022-11-02,10,8,MIAMI HEAT,HOME,SACRAMENTO KINGS,WIN,1729,3,12,2,7,2,3,0,1,4,1,0,0,4,4.9
True,2022-11-04,15,1,MIAMI HEAT,AWAY,INDIANA PACERS,LOSS,1532,6,10,3,6,0,0,0,3,0,3,0,1,5,11.3
True,2022-11-07,15,-5,MIAMI HEAT,HOME,PORTLAND TRAIL BLAZERS,LOSS,2129,5,13,3,9,2,3,0,1,3,2,1,3,3,8.4
True,2022-11-10,12,2,MIAMI HEAT,HOME,CHARLOTTE HORNETS,WIN,2269,3,11,2,7,4,4,0,4,2,1,0,0,4,7.5
True,2022-11-12,20,-6,MIAMI HEAT,HOME,CHARLOTTE HORNETS,WIN,1829,7,13,3,8,3,3,0,0,2,1,0,0,1,15.7
True,2022-11-14,10,-13,MIAMI HEAT,HOME,PHOENIX SUNS,WIN,1498,4,9,2,5,0,0,0,4,4,0,0,2,2,6.5
True,2022-11-16,16,-8,MIAMI HEAT,AWAY,TORONTO RAPTORS,LOSS,1924,6,11,3,8,1,1,0,2,5,0,0,2,4,11.2
True,2022-11-23,2,9,MIAMI HEAT,HOME,WASHINGTON WIZARDS,WIN,1136,1,9,0,6,0,0,0,1,4,0,0,0,0,-0.8
True,2022-11-30,10,-3,MIAMI HEAT,AWAY,BOSTON CELTICS,LOSS,1162,4,7,2,4,0,0,0,0,1,1,0,1,5,5.4
True,2022-12-02,3,5,MIAMI HEAT,AWAY,BOSTON CELTICS,WIN,1526,1,6,1,5,0,0,1,2,4,2,0,1,1,3.9
True,2022-12-05,0,-10,MIAMI HEAT,AWAY,MEMPHIS GRIZZLIES,LOSS,852,0,2,0,2,0,0,0,1,0,0,0,2,2,-3.9
True,2022-12-26,11,-4,MIAMI HEAT,HOME,MINNESOTA TIMBERWOLVES,WIN,1065,5,11,1,4,0,0,1,1,0,1,0,0,2,6.5
True,2022-12-28,12,16,MIAMI HEAT,HOME,LOS ANGELES LAKERS,WIN,1853,5,9,2,5,0,0,2,0,2,1,0,1,3,9.3
True,2022-12-30,3,-1,MIAMI HEAT,AWAY,DENVER NUGGETS,LOSS,960,1,6,1,4,0,0,0,1,2,0,0,3,2,-2.9
True,2022-12-31,5,8,MIAMI HEAT,AWAY,UTAH JAZZ,WIN,1423,2,6,1,4,0,0,1,2,4,0,0,0,4,4.1
True,2023-01-02,5,8,MIAMI HEAT,AWAY,LOS ANGELES CLIPPERS,WIN,1111,2,5,1,3,0,0,0,2,1,0,0,0,4,2.0
True,2023-01-04,2,0,MIAMI HEAT,AWAY,LOS ANGELES LAKERS,LOSS,1013,1,2,0,1,0,1,0,1,1,1,0,0,0,2.6
True,2023-01-06,6,-6,MIAMI HEAT,AWAY,PHOENIX SUNS,WIN,1602,2,10,2,8,0,0,0,4,3,0,0,0,1,2.7
True,2023-01-08,3,-2,MIAMI HEAT,HOME,BROOKLYN NETS,LOSS,1095,1,1,1,1,0,0,1,0,2,0,1,4,1,1.1
True,2023-01-10,13,2,MIAMI HEAT,HOME,OKLAHOMA CITY THUNDER,WIN,2366,3,12,1,6,6,6,0,4,4,1,0,7,2,3.0
True,2023-01-12,28,11,MIAMI HEAT,HOME,MILWAUKEE BUCKS,WIN,2462,10,17,5,11,3,3,2,1,6,2,0,1,2,26.2
