active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2023-02-24,10,-5,MIAMI HEAT,AWAY,MILWAUKEE BUCKS,LOSS,978,4,5,0,0,2,2,3,1,3,0,0,1,2,10.8
True,2023-02-25,4,2,MIAMI HEAT,AWAY,CHARLOTTE HORNETS,LOSS,889,2,4,0,0,0,0,2,1,0,1,1,1,4,2.8
True,2023-02-27,5,9,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,WIN,946,2,3,0,0,1,4,0,1,0,0,2,0,3,3.0
True,2023-03-01,5,-5,MIAMI HEAT,HOME,PHILADELPHIA 76ERS,LOSS,935,0,1,0,0,5,6,0,3,1,0,0,0,2,4.7
True,2023-03-03,3,-6,MIAMI HEAT,HOME,NEW YORK KNICKS,LOSS,570,1,1,0,0,1,1,2,0,0,0,0,2,1,1.7
True,2023-03-04,13,-8,MIAMI HEAT,HOME,ATLANTA HAWKS,WIN,748,4,4,0,0,5,6,2,0,0,0,0,1,4,10.2
True,2023-03-06,2,3,MIAMI HEAT,HOME,ATLANTA HAWKS,WIN,715,1,4,0,0,0,0,2,2,1,0,0,0,1,1.9
True,2023-03-08,3,0,MIAMI HEAT,HOME,CLEVELAND CAVALIERS,LOSS,1158,1,1,0,0,1,2,1,7,1,1,0,2,3,3.6
True,2023-03-10,0,0,MIAMI HEAT,HOME,CLEVELAND CAVALIERS,WIN,641,0,5,0,0,0,0,4,2,0,0,1,1,3,-1.6
True,2023-03-11,2,-5,MIAMI HEAT,AWAY,ORLANDO MAGIC,LOSS,225,0,1,0,1,2,2,0,2,0,0,0,0,0,1.9
True,2023-03-28,6,-8,MIAMI HEAT,AWAY,TORONTO RAPTORS,LOSS,688,2,3,0,0,2,2,1,6,0,0,0,2,2,4.4
True,2023-03-29,2,-3,MIAMI HEAT,AWAY,NEW YORK KNICKS,LOSS,756,1,2,0,0,0,2,3,2,1,0,0,1,1,2.2
True,2023-04-01,20,-1,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,1717,9,13,0,1,2,3,3,5,0,1,0,0,2,17.9
True,2023-04-07,17,-24,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,LOSS,1311,8,10,0,0,1,1,1,4,1,0,0,3,3,11.6
True,2023-04-09,6,3,MIAMI HEAT,HOME,ORLANDO MAGIC,WIN,720,2,2,0,0,2,4,1,3,2,0,0,0,2,6.8
