active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-20,21,13,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,WIN,2165,9,16,1,3,2,5,0,13,8,1,3,1,4,22.2
True,2022-10-22,44,23,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,1658,17,21,2,3,8,13,2,10,3,0,0,4,2,35.8
True,2022-10-26,43,5,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,WIN,2272,16,25,1,4,10,14,2,12,5,1,3,7,4,33.3
True,2022-10-28,30,27,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,WIN,2335,11,22,1,6,7,11,0,14,9,1,1,2,0,27.6
True,2022-10-29,34,-10,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,WIN,1957,11,22,1,1,11,19,5,12,4,0,1,2,4,26.8
True,2022-10-31,31,-1,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,1904,12,23,0,4,7,9,2,5,2,0,2,4,5,18.6
True,2022-11-02,32,12,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,1771,11,24,0,4,10,12,5,7,4,5,2,1,1,32.2
True,2022-11-04,26,25,MILWAUKEE BUCKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2015,7,17,2,4,10,20,0,14,11,0,0,4,3,19.6
True,2022-11-07,25,-22,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,1607,9,20,0,1,7,8,1,6,2,2,1,5,3,14.6
True,2022-11-14,27,-13,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,LOSS,1855,8,21,0,3,11,18,1,7,4,1,0,8,6,8.9
True,2022-11-16,16,10,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1892,6,18,0,2,4,11,2,10,8,0,0,2,1,10.6
True,2022-11-18,25,-12,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,LOSS,2056,10,22,1,5,4,15,0,14,4,1,1,5,4,11.3
True,2022-11-21,37,19,MILWAUKEE BUCKS,HOME,PORTLAND TRAIL BLAZERS,WIN,2105,16,24,0,1,5,12,2,5,6,2,0,1,3,30.7
True,2022-11-23,36,5,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,LOSS,2040,15,27,0,2,6,9,3,8,7,0,0,8,5,21.3
True,2022-11-25,38,15,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1858,13,20,2,3,10,14,3,6,6,0,2,3,3,32.9
True,2022-11-27,30,16,MILWAUKEE BUCKS,HOME,DALLAS MAVERICKS,WIN,1764,11,19,0,2,8,10,3,8,4,1,0,3,5,23.6
True,2022-11-30,37,-5,MILWAUKEE BUCKS,AWAY,NEW YORK KNICKS,WIN,2197,13,25,2,8,9,12,4,9,7,0,1,3,6,29.2
True,2022-12-02,40,2,MILWAUKEE BUCKS,HOME,LOS ANGELES LAKERS,LOSS,2106,16,23,0,3,8,11,3,4,5,0,1,3,2,32.8
True,2022-12-05,34,-4,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1992,12,21,2,4,8,11,1,12,5,1,2,4,4,27.5
True,2022-12-07,35,11,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,WIN,1963,12,19,2,2,9,10,1,5,7,1,0,3,4,29.6
True,2022-12-09,28,-2,MILWAUKEE BUCKS,AWAY,DALLAS MAVERICKS,WIN,2108,10,20,1,1,7,10,4,6,3,1,0,7,6,15.1
True,2022-12-11,16,-11,MILWAUKEE BUCKS,AWAY,HOUSTON ROCKETS,LOSS,2206,7,17,0,2,2,6,1,17,4,1,2,3,5,11.3
True,2022-12-13,30,17,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,1792,9,26,1,6,11,17,3,9,5,1,1,4,4,17.4
True,2022-12-15,19,-29,MILWAUKEE BUCKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1536,5,13,1,3,8,13,1,5,5,1,0,1,2,14.8
True,2022-12-19,42,1,MILWAUKEE BUCKS,AWAY,NEW ORLEANS PELICANS,WIN,2036,12,17,1,3,17,22,1,9,1,0,1,2,4,34.1
True,2022-12-21,45,3,MILWAUKEE BUCKS,AWAY,CLEVELAND CAVALIERS,LOSS,2376,17,27,0,1,11,16,4,10,4,1,2,5,4,35.3
True,2022-12-23,26,-20,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,LOSS,2153,9,13,0,1,8,11,3,10,7,2,0,7,3,23.1
True,2022-12-25,27,-27,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,LOSS,2119,9,22,1,5,8,12,1,8,3,0,0,3,3,14.6
