active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,0,0,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-02,0,-1,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,337,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-11-04,0,-1,MILWAUKEE BUCKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,32,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-11-05,0,0,MILWAUKEE BUCKS,HOME,OKLAHOMA CITY THUNDER,WIN,58,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0
True,2022-11-07,0,4,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,231,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2022-11-11,0,-7,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,LOSS,346,0,1,0,0,0,0,1,2,0,0,0,1,1,-0.8
True,2022-11-14,0,0,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,LOSS,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-16,0,0,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,115,0,0,0,0,0,0,1,1,1,0,0,1,0,0.7
True,2022-11-25,0,-7,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,183,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-11-27,0,-3,MILWAUKEE BUCKS,HOME,DALLAS MAVERICKS,WIN,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
