active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,2,-2,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,134,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2022-10-29,3,1,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,WIN,408,1,1,1,1,0,0,0,0,0,0,0,2,1,0.3
True,2022-10-31,0,-3,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,220,0,2,0,1,0,0,0,1,0,0,1,0,0,-0.4
True,2022-11-02,3,12,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,966,0,3,0,3,3,4,1,3,1,2,0,2,2,2.0
True,2022-11-04,14,2,MILWAUKEE BUCKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1103,6,10,2,4,0,1,0,5,0,0,0,2,2,7.7
True,2022-11-05,2,12,MILWAUKEE BUCKS,HOME,OKLAHOMA CITY THUNDER,WIN,1488,1,9,0,6,0,0,3,2,0,1,0,2,6,-4.6
True,2022-11-07,4,4,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,633,1,4,1,4,1,2,0,2,0,0,0,0,1,1.4
True,2022-11-09,19,14,MILWAUKEE BUCKS,AWAY,OKLAHOMA CITY THUNDER,WIN,1795,7,13,5,8,0,0,3,5,0,2,0,2,5,14.3
True,2022-11-11,8,-24,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,LOSS,2063,4,13,0,6,0,0,1,3,2,1,0,0,2,3.7
True,2022-11-14,20,-14,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,LOSS,2051,7,9,3,4,3,3,2,6,1,0,1,2,2,18.3
True,2022-11-16,2,7,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1598,1,8,0,3,0,0,4,1,1,0,0,2,2,-2.2
True,2022-11-18,0,-4,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,LOSS,875,0,3,0,1,0,0,0,2,1,0,0,1,1,-2.2
True,2022-11-21,0,-9,MILWAUKEE BUCKS,HOME,PORTLAND TRAIL BLAZERS,WIN,312,0,1,0,0,0,0,0,0,0,1,0,1,1,-1.1
True,2022-11-25,2,-7,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,183,1,1,0,0,0,0,0,0,0,0,0,1,1,0.3
True,2022-11-27,0,-5,MILWAUKEE BUCKS,HOME,DALLAS MAVERICKS,WIN,118,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2022-12-13,3,-4,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,298,1,4,1,1,0,0,2,1,0,0,0,1,1,0.9
True,2022-12-15,12,-8,MILWAUKEE BUCKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1312,4,9,1,6,3,5,2,1,2,2,0,0,1,11.2
True,2022-12-17,18,17,MILWAUKEE BUCKS,HOME,UTAH JAZZ,WIN,1163,5,9,4,7,4,4,0,3,2,1,0,1,3,14.8
True,2022-12-19,6,6,MILWAUKEE BUCKS,AWAY,NEW ORLEANS PELICANS,WIN,953,2,4,2,4,0,0,0,3,1,1,0,2,0,4.6
True,2022-12-21,11,0,MILWAUKEE BUCKS,AWAY,CLEVELAND CAVALIERS,LOSS,1212,4,7,3,5,0,0,1,0,0,0,0,1,4,5.8
True,2022-12-23,6,4,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,LOSS,918,2,6,2,5,0,0,0,0,0,0,0,0,2,1.8
True,2022-12-25,5,-2,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,LOSS,221,2,3,1,2,0,0,0,0,0,0,0,0,0,3.7
True,2022-12-28,0,-7,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,LOSS,97,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
True,2022-12-30,5,4,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,896,2,6,0,3,1,2,1,1,1,1,0,1,3,1.7
True,2023-01-01,11,-14,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,LOSS,1500,4,12,2,9,1,2,3,1,0,1,0,2,2,4.4
True,2023-01-03,4,8,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,WIN,945,2,4,0,0,0,0,2,0,1,1,0,0,1,4.7
True,2023-01-04,10,-7,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,WIN,1320,4,6,2,3,0,0,2,2,2,0,0,3,3,6.6
True,2023-01-06,6,-14,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,LOSS,1399,2,6,0,3,2,2,0,2,2,0,0,1,2,2.8
True,2023-01-09,8,5,MILWAUKEE BUCKS,AWAY,NEW YORK KNICKS,WIN,676,3,6,2,4,0,0,2,3,1,0,0,0,3,6.8
True,2023-01-11,8,7,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,1280,3,9,2,7,0,0,0,1,4,0,0,0,0,6.0
True,2023-01-12,0,-5,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,LOSS,1081,0,3,0,2,0,0,1,1,0,1,0,2,1,-2.5
True,2023-01-14,0,4,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,LOSS,623,0,4,0,3,0,0,1,0,0,0,0,0,0,-2.1
True,2023-01-23,7,-11,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,WIN,453,3,6,1,2,0,0,0,0,1,0,0,1,1,3.3
True,2023-01-29,0,-2,MILWAUKEE BUCKS,HOME,NEW ORLEANS PELICANS,WIN,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-06,5,-5,MILWAUKEE BUCKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,808,2,4,1,3,0,0,0,4,0,0,0,1,2,2.4
True,2023-02-09,3,-8,MILWAUKEE BUCKS,AWAY,LOS ANGELES LAKERS,WIN,327,1,4,1,4,0,0,0,1,0,0,0,2,2,-1.9
True,2023-02-10,10,-6,MILWAUKEE BUCKS,AWAY,LOS ANGELES CLIPPERS,WIN,957,4,7,1,3,1,2,0,0,2,2,1,0,1,10.0
True,2023-02-16,2,-8,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,WIN,1329,0,3,0,1,2,2,2,2,1,1,1,0,1,3.9
True,2023-02-24,0,-6,MILWAUKEE BUCKS,HOME,MIAMI HEAT,WIN,278,0,1,0,1,0,0,0,2,0,0,0,0,1,-0.5
True,2023-02-28,0,-1,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,WIN,215,0,2,0,1,0,0,0,0,0,0,0,1,0,-2.4
True,2023-03-01,0,-1,MILWAUKEE BUCKS,HOME,ORLANDO MAGIC,WIN,273,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2023-03-16,0,0,MILWAUKEE BUCKS,HOME,INDIANA PACERS,LOSS,133,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
