active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2023-02-24,9,9,MILWAUKEE BUCKS,HOME,MIAMI HEAT,WIN,962,3,5,2,2,1,2,0,3,0,1,0,1,1,6.8
True,2023-02-26,7,6,MILWAUKEE BUCKS,HOME,PHOENIX SUNS,WIN,1477,2,3,2,3,1,2,1,2,2,1,0,1,4,6.4
True,2023-02-28,2,13,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,WIN,934,1,2,0,1,0,0,0,2,2,1,0,0,1,3.6
True,2023-03-01,6,4,MILWAUKEE BUCKS,HOME,ORLANDO MAGIC,WIN,1225,2,6,2,6,0,0,1,3,2,0,0,0,4,4.0
True,2023-03-04,2,-5,MILWAUKEE BUCKS,HOME,PHILADELPHIA 76ERS,LOSS,775,1,3,0,2,0,0,1,0,0,0,1,1,2,-0.1
True,2023-03-05,2,-10,MILWAUKEE BUCKS,AWAY,WASHINGTON WIZARDS,WIN,861,1,3,0,2,0,0,1,4,1,0,0,0,0,2.9
True,2023-03-07,15,3,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1406,5,9,2,5,3,3,1,4,2,2,1,0,2,15.9
True,2023-03-09,6,8,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,WIN,1171,2,5,2,5,0,0,3,8,2,0,2,0,0,10.6
True,2023-03-11,2,3,MILWAUKEE BUCKS,AWAY,GOLDEN STATE WARRIORS,LOSS,886,0,1,0,1,2,2,1,2,1,0,0,1,0,2.3
True,2023-03-13,4,-2,MILWAUKEE BUCKS,AWAY,SACRAMENTO KINGS,WIN,1161,2,5,0,2,0,0,1,3,2,0,0,0,2,3.5
True,2023-03-14,11,4,MILWAUKEE BUCKS,AWAY,PHOENIX SUNS,WIN,1475,3,4,3,4,2,2,1,4,1,0,0,0,0,12.0
True,2023-03-27,2,-1,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,WIN,725,1,2,0,1,0,0,1,2,1,0,0,1,1,1.6
True,2023-03-30,0,-17,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,LOSS,957,0,1,0,0,0,0,0,1,2,0,0,0,2,0.2
True,2023-04-02,0,-3,MILWAUKEE BUCKS,HOME,PHILADELPHIA 76ERS,WIN,1024,0,5,0,2,0,0,0,0,1,1,1,0,1,-1.5
True,2023-04-04,19,16,MILWAUKEE BUCKS,AWAY,WASHINGTON WIZARDS,WIN,1412,7,11,4,5,1,1,3,6,0,1,0,1,3,16.8
True,2023-04-05,0,-5,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,WIN,1002,0,5,0,3,0,0,1,4,2,1,1,0,1,1.1
True,2023-04-07,24,-15,MILWAUKEE BUCKS,HOME,MEMPHIS GRIZZLIES,LOSS,1444,10,12,4,5,0,0,1,0,0,2,0,1,2,20.5
True,2023-04-09,13,-8,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,LOSS,1484,5,12,3,6,0,0,0,4,6,2,0,0,1,13.6
