active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,12,-9,CHICAGO BULLS,AWAY,MIAMI HEAT,WIN,1130,4,8,4,5,0,2,0,0,2,2,0,1,2,8.8
True,2022-10-21,7,22,CHICAGO BULLS,AWAY,WASHINGTON WIZARDS,LOSS,1397,3,8,1,3,0,0,2,0,5,0,0,0,4,5.9
True,2022-10-22,4,-16,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,685,2,4,0,1,0,0,0,2,3,0,0,1,1,3.3
True,2022-10-24,7,21,CHICAGO BULLS,HOME,BOSTON CELTICS,WIN,1032,2,7,0,1,3,4,0,0,6,0,0,0,1,6.3
True,2022-10-26,13,19,CHICAGO BULLS,HOME,INDIANA PACERS,WIN,946,5,9,3,3,0,0,0,2,5,0,0,2,1,10.4
True,2022-10-28,9,6,CHICAGO BULLS,AWAY,SAN ANTONIO SPURS,LOSS,1309,3,8,1,3,2,2,0,3,5,0,0,2,1,6.6
True,2022-10-29,2,-12,CHICAGO BULLS,HOME,PHILADELPHIA 76ERS,LOSS,805,1,6,0,2,0,0,0,1,1,0,0,0,2,-1.6
True,2022-11-01,15,7,CHICAGO BULLS,AWAY,BROOKLYN NETS,WIN,1170,4,8,4,6,3,4,0,2,2,0,1,1,0,12.3
True,2022-11-02,16,14,CHICAGO BULLS,HOME,CHARLOTTE HORNETS,WIN,916,6,9,2,4,2,2,0,3,3,0,1,3,1,12.4
True,2022-11-04,5,-6,CHICAGO BULLS,AWAY,BOSTON CELTICS,LOSS,1165,2,9,1,4,0,0,0,1,2,0,1,1,0,0.9
True,2022-11-06,16,1,CHICAGO BULLS,AWAY,TORONTO RAPTORS,LOSS,1247,6,10,4,6,0,0,2,0,2,0,0,2,3,11.0
True,2022-11-07,10,18,CHICAGO BULLS,HOME,TORONTO RAPTORS,WIN,1502,4,9,0,2,2,2,2,3,2,1,0,2,2,7.2
True,2022-11-09,14,9,CHICAGO BULLS,HOME,NEW ORLEANS PELICANS,LOSS,1533,6,11,1,5,1,1,2,0,6,0,0,2,0,12.3
True,2022-11-13,11,-2,CHICAGO BULLS,HOME,DENVER NUGGETS,LOSS,1358,5,10,1,2,0,0,0,1,6,1,0,3,2,7.7
True,2022-11-16,6,-6,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,1225,3,7,0,2,0,2,0,2,7,0,0,2,2,4.2
True,2022-11-18,1,4,CHICAGO BULLS,HOME,ORLANDO MAGIC,LOSS,989,0,2,0,1,1,2,0,2,4,0,0,0,1,2.2
True,2022-11-21,0,-3,CHICAGO BULLS,HOME,BOSTON CELTICS,WIN,431,0,1,0,0,0,0,0,0,0,1,0,1,0,-0.7
True,2022-11-25,2,-10,CHICAGO BULLS,AWAY,OKLAHOMA CITY THUNDER,LOSS,644,1,5,0,1,0,0,0,0,0,0,0,1,1,-2.5
True,2022-11-28,7,4,CHICAGO BULLS,AWAY,UTAH JAZZ,WIN,810,2,7,1,3,2,2,1,1,2,1,1,0,2,6.2
True,2022-11-30,5,-4,CHICAGO BULLS,AWAY,PHOENIX SUNS,LOSS,817,2,5,0,3,1,3,0,0,1,0,0,2,0,0.2
True,2022-12-02,14,5,CHICAGO BULLS,AWAY,GOLDEN STATE WARRIORS,LOSS,1398,6,11,2,2,0,0,1,3,5,0,0,0,4,12.2
True,2022-12-04,2,-12,CHICAGO BULLS,AWAY,SACRAMENTO KINGS,LOSS,465,1,2,0,1,0,0,0,1,2,0,0,2,1,0.3
True,2022-12-07,2,-9,CHICAGO BULLS,HOME,WASHINGTON WIZARDS,WIN,663,1,4,0,1,0,0,1,0,3,0,0,2,0,0.4
