active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,0,-2,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,134,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2022-11-16,3,-11,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,915,1,4,1,4,0,0,1,2,0,1,0,0,2,2.1
True,2022-11-21,0,-5,MILWAUKEE BUCKS,HOME,PORTLAND TRAIL BLAZERS,WIN,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-25,0,-7,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,183,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2022-11-27,0,-5,MILWAUKEE BUCKS,HOME,DALLAS MAVERICKS,WIN,118,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2022-11-30,0,0,MILWAUKEE BUCKS,AWAY,NEW YORK KNICKS,WIN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-03,8,14,MILWAUKEE BUCKS,AWAY,CHARLOTTE HORNETS,WIN,824,2,3,2,2,2,2,0,3,1,0,0,1,1,6.9
True,2022-12-05,12,-1,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,610,4,6,3,5,1,1,0,0,0,0,0,0,2,8.6
True,2022-12-07,0,-2,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,WIN,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-13,2,-2,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,173,1,2,0,1,0,0,0,0,1,0,0,0,1,1.3
True,2022-12-15,10,3,MILWAUKEE BUCKS,AWAY,MEMPHIS GRIZZLIES,LOSS,846,4,6,2,4,0,0,1,0,0,0,0,1,1,6.7
True,2022-12-17,3,3,MILWAUKEE BUCKS,HOME,UTAH JAZZ,WIN,238,1,2,1,2,0,0,0,0,1,0,0,0,2,1.9
True,2022-12-30,7,9,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1311,2,6,2,5,1,1,1,2,1,1,0,0,4,5.0
True,2023-01-01,10,-9,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,LOSS,1155,4,7,2,5,0,0,0,3,0,1,0,1,1,7.2
True,2023-01-03,0,-8,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,WIN,563,0,3,0,3,0,0,0,1,1,0,0,1,0,-2.1
True,2023-01-04,5,21,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,WIN,752,2,4,1,3,0,0,0,2,0,1,0,0,1,4.2
True,2023-01-06,13,6,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,LOSS,1066,5,8,3,6,0,0,0,3,2,0,0,0,1,11.3
