active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-20,0,-1,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,WIN,219,0,1,0,1,0,0,0,1,0,0,0,1,1,-1.8
True,2022-10-22,9,7,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,891,3,5,2,2,1,2,1,4,0,0,1,0,3,7.7
True,2022-10-28,2,2,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,WIN,329,1,2,0,0,0,0,1,1,0,0,1,1,2,0.9
True,2022-10-29,2,-6,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,WIN,639,1,2,0,1,0,0,1,1,0,0,0,0,1,1.6
True,2022-10-31,0,-3,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,571,0,1,0,0,0,0,0,0,0,0,0,2,1,-3.1
True,2022-11-02,3,-1,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,337,1,2,1,1,0,0,0,2,0,0,1,0,1,2.9
True,2022-11-05,8,1,MILWAUKEE BUCKS,HOME,OKLAHOMA CITY THUNDER,WIN,1445,2,5,0,2,4,4,1,5,2,0,2,2,2,7.5
True,2022-11-07,4,2,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,692,2,2,0,0,0,0,1,3,0,0,0,0,1,4.6
True,2022-11-09,4,-4,MILWAUKEE BUCKS,AWAY,OKLAHOMA CITY THUNDER,WIN,735,2,2,0,0,0,0,0,2,1,0,1,1,1,4.0
True,2022-11-11,11,-3,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,LOSS,1122,4,9,1,3,2,5,5,4,0,0,0,0,2,9.0
True,2022-11-14,5,-8,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,LOSS,798,2,3,1,2,0,0,0,3,0,0,0,0,2,3.8
True,2022-11-16,9,-6,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1053,4,6,1,2,0,0,2,2,1,0,0,1,1,7.7
True,2022-11-18,2,-4,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,LOSS,435,1,2,0,0,0,0,0,0,0,0,0,0,0,1.0
True,2022-11-21,1,0,MILWAUKEE BUCKS,HOME,PORTLAND TRAIL BLAZERS,WIN,251,0,2,0,0,1,2,0,0,0,0,0,0,2,-1.6
True,2022-12-17,2,7,MILWAUKEE BUCKS,HOME,UTAH JAZZ,WIN,667,1,3,0,1,0,0,1,1,0,0,0,0,0,1.3
True,2023-01-01,4,-8,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,LOSS,937,2,7,0,3,0,0,2,0,0,2,1,3,3,-0.2
