active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-20,17,0,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,WIN,1856,6,16,4,12,1,2,1,3,1,0,2,0,2,10.7
True,2022-10-22,9,4,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,1727,3,7,3,6,0,0,0,5,2,2,5,1,3,11.5
True,2022-10-26,7,21,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,WIN,1671,3,10,1,5,0,0,3,3,1,0,6,2,2,6.3
True,2022-10-28,14,1,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,WIN,2005,5,13,0,6,4,4,4,7,2,1,3,0,4,14.7
True,2022-10-29,21,16,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,WIN,2040,8,12,5,8,0,0,1,5,0,1,2,1,2,18.6
True,2022-10-31,24,12,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,2065,10,16,2,5,2,2,4,5,0,0,2,1,4,19.9
True,2022-11-02,11,29,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,1622,5,8,0,2,1,1,2,5,2,1,1,3,1,10.0
True,2022-11-04,7,-2,MILWAUKEE BUCKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1962,2,6,2,4,1,2,3,5,0,0,1,2,4,3.9
True,2022-11-05,25,13,MILWAUKEE BUCKS,HOME,OKLAHOMA CITY THUNDER,WIN,1422,10,16,4,9,1,1,2,1,1,1,1,3,3,17.7
True,2022-11-07,11,-18,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,1670,4,9,3,7,0,0,1,1,0,0,2,1,2,6.9
True,2022-11-09,24,10,MILWAUKEE BUCKS,AWAY,OKLAHOMA CITY THUNDER,WIN,2739,11,23,1,6,1,2,4,9,1,1,5,1,0,21.6
True,2022-11-11,19,-17,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,LOSS,1773,6,14,3,7,4,5,1,2,2,1,2,5,4,9.7
True,2022-11-14,12,-3,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,LOSS,1986,3,8,0,4,6,7,1,4,1,0,0,1,2,8.0
True,2022-11-16,29,22,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1820,10,13,7,9,2,2,1,4,1,1,3,1,2,27.8
True,2022-11-18,15,-5,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,LOSS,2063,5,12,2,5,3,4,1,3,2,1,4,0,2,14.2
True,2022-11-21,14,-2,MILWAUKEE BUCKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1822,6,12,2,5,0,0,2,2,2,1,5,1,1,14.5
True,2022-11-23,20,-6,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,LOSS,1919,8,16,3,7,1,3,1,6,0,1,1,0,0,15.4
True,2022-11-25,8,20,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1652,3,3,2,2,0,0,0,4,0,0,6,0,0,12.5
True,2022-11-27,13,-1,MILWAUKEE BUCKS,HOME,DALLAS MAVERICKS,WIN,1405,5,7,2,3,1,1,0,4,2,1,4,2,5,12.5
True,2022-11-30,9,1,MILWAUKEE BUCKS,AWAY,NEW YORK KNICKS,WIN,2057,2,8,1,5,4,4,0,6,1,0,2,0,1,7.7
True,2022-12-02,13,-6,MILWAUKEE BUCKS,HOME,LOS ANGELES LAKERS,LOSS,1902,4,7,3,5,2,2,2,5,1,0,3,1,1,14.0
True,2022-12-03,14,6,MILWAUKEE BUCKS,AWAY,CHARLOTTE HORNETS,WIN,1929,4,11,3,5,3,3,1,5,3,0,6,3,4,11.8
True,2022-12-07,17,16,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,WIN,2042,6,15,2,7,3,3,6,3,3,0,1,0,3,15.6
True,2022-12-09,4,-6,MILWAUKEE BUCKS,AWAY,DALLAS MAVERICKS,WIN,1744,1,4,0,1,2,2,0,6,0,0,3,1,2,3.7
True,2022-12-11,7,5,MILWAUKEE BUCKS,AWAY,HOUSTON ROCKETS,LOSS,1962,2,8,1,4,2,2,2,1,0,0,3,1,2,4.2
True,2022-12-13,7,19,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,1700,3,5,1,2,0,0,0,7,2,0,2,1,4,7.0
True,2022-12-15,4,-23,MILWAUKEE BUCKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1086,1,6,0,4,2,2,2,1,1,0,0,0,2,1.8
True,2022-12-17,18,11,MILWAUKEE BUCKS,HOME,UTAH JAZZ,WIN,1552,8,15,1,3,1,3,3,5,1,0,3,1,0,15.3
