active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-20,8,2,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,WIN,1223,3,6,2,4,0,0,3,2,2,0,1,0,1,9.4
True,2022-10-22,0,10,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,724,0,1,0,1,0,0,0,1,0,0,0,0,1,-0.8
True,2022-10-26,7,-3,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,WIN,1314,2,7,2,7,1,2,0,0,1,0,0,1,5,0.2
True,2022-10-28,2,-1,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,WIN,254,0,1,0,0,2,2,0,1,0,2,0,0,0,3.6
True,2022-10-29,5,14,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,WIN,1053,2,5,1,3,0,0,4,3,1,1,1,2,1,6.0
True,2022-10-31,3,-3,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,1257,1,3,1,3,0,0,1,2,0,0,0,0,3,1.4
True,2022-11-02,3,6,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,888,1,4,1,4,0,0,0,0,0,2,0,2,1,0.2
True,2022-11-04,3,-7,MILWAUKEE BUCKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,609,1,1,1,1,0,0,0,1,1,1,0,0,3,3.5
True,2022-11-05,0,2,MILWAUKEE BUCKS,HOME,OKLAHOMA CITY THUNDER,WIN,795,0,3,0,2,0,0,4,1,1,0,0,0,0,1.7
True,2022-11-07,6,-11,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,806,2,5,2,4,0,0,0,1,1,0,0,0,2,3.5
True,2022-11-09,5,-3,MILWAUKEE BUCKS,AWAY,OKLAHOMA CITY THUNDER,WIN,1747,2,4,1,1,0,0,1,3,0,0,0,1,3,2.4
True,2022-11-11,2,4,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,LOSS,1349,0,5,0,5,2,2,0,2,1,3,2,0,1,3.8
True,2022-11-14,0,-12,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,LOSS,727,0,3,0,2,0,0,0,0,0,0,0,0,1,-2.5
True,2022-11-23,6,-12,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,LOSS,1011,2,3,2,3,0,0,0,0,0,0,0,0,2,3.9
True,2022-11-25,5,25,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1036,2,4,1,3,0,0,1,0,1,0,0,0,2,3.6
True,2022-11-27,0,1,MILWAUKEE BUCKS,HOME,DALLAS MAVERICKS,WIN,533,0,1,0,1,0,0,1,0,0,0,0,0,2,-0.8
True,2022-11-30,2,-2,MILWAUKEE BUCKS,AWAY,NEW YORK KNICKS,WIN,777,0,1,0,1,2,2,0,1,0,0,0,0,0,1.6
True,2022-12-02,0,1,MILWAUKEE BUCKS,HOME,LOS ANGELES LAKERS,LOSS,611,0,2,0,2,0,0,0,1,1,0,0,0,2,-1.2
True,2022-12-13,5,3,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,827,2,2,1,1,0,0,0,1,1,1,0,1,0,5.4
True,2022-12-15,0,-5,MILWAUKEE BUCKS,AWAY,MEMPHIS GRIZZLIES,LOSS,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-17,6,1,MILWAUKEE BUCKS,HOME,UTAH JAZZ,WIN,811,2,4,2,4,0,0,1,0,0,1,0,0,1,5.3
True,2022-12-19,3,7,MILWAUKEE BUCKS,AWAY,NEW ORLEANS PELICANS,WIN,1004,1,1,1,1,0,0,0,0,1,0,0,0,4,1.8
True,2022-12-21,0,-9,MILWAUKEE BUCKS,AWAY,CLEVELAND CAVALIERS,LOSS,216,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2022-12-25,2,-8,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,LOSS,885,0,2,0,2,2,2,0,0,3,1,0,0,2,2.9
True,2022-12-28,3,1,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,LOSS,1851,1,5,1,4,0,0,3,3,1,1,2,1,2,4.2
True,2023-01-06,0,-4,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,LOSS,558,0,2,0,2,0,0,0,0,0,1,0,1,0,-1.4
True,2023-01-16,2,4,MILWAUKEE BUCKS,HOME,INDIANA PACERS,WIN,373,1,1,0,0,0,0,0,1,1,0,0,0,0,2.7
True,2023-01-23,6,-9,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,WIN,413,2,2,2,2,0,0,0,0,1,0,0,1,2,4.3
True,2023-01-25,3,6,MILWAUKEE BUCKS,HOME,DENVER NUGGETS,WIN,922,1,3,1,3,0,0,0,3,0,0,1,0,1,2.5
True,2023-01-27,3,2,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,WIN,1205,1,4,1,3,0,0,3,1,0,1,0,1,1,2.6
True,2023-01-29,8,31,MILWAUKEE BUCKS,HOME,NEW ORLEANS PELICANS,WIN,1184,3,6,2,4,0,0,1,8,0,0,0,0,0,8.1
True,2023-01-31,11,28,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,WIN,987,3,6,3,5,2,2,3,3,1,0,1,0,2,11.6
True,2023-02-02,3,8,MILWAUKEE BUCKS,HOME,LOS ANGELES CLIPPERS,WIN,1489,0,4,0,4,3,4,0,1,0,1,0,0,0,1.1
True,2023-02-04,1,-5,MILWAUKEE BUCKS,HOME,MIAMI HEAT,WIN,1147,0,2,0,1,1,2,0,4,0,0,0,2,1,-2.0
True,2023-02-06,6,5,MILWAUKEE BUCKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1337,2,5,2,4,0,0,1,3,0,0,1,0,1,5.2
True,2023-02-09,2,16,MILWAUKEE BUCKS,AWAY,LOS ANGELES LAKERS,WIN,1343,1,5,0,3,0,0,2,4,1,1,1,0,2,3.1
True,2023-02-10,0,-10,MILWAUKEE BUCKS,AWAY,LOS ANGELES CLIPPERS,WIN,1133,0,1,0,1,0,0,0,2,0,0,0,0,1,-0.5
True,2023-02-14,0,-7,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,WIN,593,0,1,0,1,0,0,1,1,0,0,0,0,1,-0.1
True,2023-02-16,5,-5,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,WIN,1189,1,3,1,3,2,2,0,3,0,0,0,1,4,1.6
True,2023-03-14,2,-4,MILWAUKEE BUCKS,AWAY,PHOENIX SUNS,WIN,636,1,2,0,1,0,0,0,1,0,0,0,0,1,0.9
True,2023-03-16,8,-18,MILWAUKEE BUCKS,HOME,INDIANA PACERS,LOSS,799,3,5,2,4,0,0,0,1,1,0,0,1,3,4.5
True,2023-03-22,3,8,MILWAUKEE BUCKS,HOME,SAN ANTONIO SPURS,WIN,720,1,2,1,2,0,0,1,3,2,0,0,0,2,4.2
True,2023-03-24,2,3,MILWAUKEE BUCKS,AWAY,UTAH JAZZ,WIN,1399,1,3,0,2,0,0,0,2,1,0,1,0,1,1.9
True,2023-03-25,2,-8,MILWAUKEE BUCKS,AWAY,DENVER NUGGETS,LOSS,674,0,1,0,1,2,2,0,0,1,0,0,0,0,2.0
True,2023-03-27,4,8,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,WIN,942,1,3,0,2,2,2,0,2,1,2,1,0,2,5.5
True,2023-03-29,7,14,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,WIN,1221,3,4,1,2,0,0,0,1,1,0,0,0,1,6.0
True,2023-03-30,4,-8,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,LOSS,943,2,5,0,3,0,0,1,1,3,0,0,1,2,2.6
True,2023-04-02,0,-6,MILWAUKEE BUCKS,HOME,PHILADELPHIA 76ERS,WIN,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2023-04-04,9,13,MILWAUKEE BUCKS,AWAY,WASHINGTON WIZARDS,WIN,1775,3,4,3,4,0,0,0,2,0,0,0,0,1,7.6
True,2023-04-05,7,5,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,WIN,1821,3,7,1,4,0,0,2,6,2,1,1,0,3,8.4
True,2023-04-07,2,-4,MILWAUKEE BUCKS,HOME,MEMPHIS GRIZZLIES,LOSS,373,1,1,0,0,0,0,0,1,1,0,0,1,0,1.7
True,2023-04-09,3,-11,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,LOSS,1346,0,5,0,4,3,4,0,1,1,0,0,0,0,0.1
