active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-12-02,17,3,MILWAUKEE BUCKS,HOME,LOS ANGELES LAKERS,LOSS,1594,6,11,3,4,2,2,0,2,7,0,0,0,3,16.0
True,2022-12-05,5,-14,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1551,1,11,0,7,3,4,0,1,5,1,0,2,3,-1.1
True,2022-12-07,14,4,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,WIN,1751,5,11,2,5,2,2,1,5,6,1,0,1,3,13.5
True,2022-12-09,19,6,MILWAUKEE BUCKS,AWAY,DALLAS MAVERICKS,WIN,1873,6,17,2,8,5,6,0,3,5,1,1,1,2,13.4
True,2022-12-11,0,3,MILWAUKEE BUCKS,AWAY,HOUSTON ROCKETS,LOSS,389,0,2,0,2,0,0,0,0,0,0,0,0,0,-1.4
True,2022-12-13,20,14,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,1731,6,13,3,7,5,5,0,4,3,0,0,3,2,12.8
True,2022-12-15,3,-28,MILWAUKEE BUCKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1343,1,12,1,8,0,0,0,2,5,1,0,4,5,-5.9
True,2023-01-23,8,-1,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,WIN,919,3,7,2,4,0,0,2,0,4,0,0,6,3,1.3
True,2023-01-25,10,8,MILWAUKEE BUCKS,HOME,DENVER NUGGETS,WIN,895,3,8,2,4,2,2,0,2,3,1,0,1,2,7.5
True,2023-01-27,17,21,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,WIN,881,7,13,0,4,3,3,0,4,4,2,0,2,0,14.7
True,2023-01-29,9,2,MILWAUKEE BUCKS,HOME,NEW ORLEANS PELICANS,WIN,1052,4,9,1,3,0,0,0,3,4,1,1,2,1,7.3
True,2023-01-31,18,13,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,WIN,1193,4,10,2,4,8,8,0,3,3,1,0,3,2,12.8
True,2023-02-02,16,1,MILWAUKEE BUCKS,HOME,LOS ANGELES CLIPPERS,WIN,1199,6,14,2,6,2,3,1,6,2,0,0,1,2,10.3
True,2023-02-04,24,3,MILWAUKEE BUCKS,HOME,MIAMI HEAT,WIN,1228,9,14,1,4,5,5,2,5,4,1,0,4,1,20.1
True,2023-02-06,13,12,MILWAUKEE BUCKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1292,5,11,1,3,2,2,0,3,5,1,0,2,2,9.9
True,2023-02-09,22,4,MILWAUKEE BUCKS,AWAY,LOS ANGELES LAKERS,WIN,1478,10,18,1,6,1,1,0,5,3,0,1,1,2,15.9
True,2023-02-14,16,19,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,WIN,1492,7,16,1,4,1,1,4,7,4,0,0,1,3,13.1
True,2023-02-24,12,17,MILWAUKEE BUCKS,HOME,MIAMI HEAT,WIN,1041,4,8,2,4,2,2,1,3,5,1,0,2,2,11.3
True,2023-02-26,11,7,MILWAUKEE BUCKS,HOME,PHOENIX SUNS,WIN,1529,4,13,0,3,3,4,3,7,6,0,0,4,3,6.3
True,2023-02-28,18,15,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,WIN,1356,7,13,3,7,1,2,0,4,6,2,0,3,1,15.3
True,2023-03-04,6,-2,MILWAUKEE BUCKS,HOME,PHILADELPHIA 76ERS,LOSS,1642,2,8,0,2,2,2,1,2,2,1,0,1,5,1.9
True,2023-03-07,24,-1,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1834,5,9,1,3,13,14,0,4,11,1,0,3,0,26.2
True,2023-03-09,11,2,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,WIN,1763,5,19,1,4,0,0,4,3,7,0,0,2,2,5.5
True,2023-03-11,19,-5,MILWAUKEE BUCKS,AWAY,GOLDEN STATE WARRIORS,LOSS,2028,7,14,3,4,2,4,2,1,5,4,0,4,5,14.4
True,2023-03-13,31,5,MILWAUKEE BUCKS,AWAY,SACRAMENTO KINGS,WIN,2028,9,15,5,8,8,8,0,3,9,0,0,0,2,30.5
True,2023-03-16,16,0,MILWAUKEE BUCKS,HOME,INDIANA PACERS,LOSS,1956,6,15,0,5,4,4,0,1,7,0,1,1,2,12.0
True,2023-03-19,20,2,MILWAUKEE BUCKS,HOME,TORONTO RAPTORS,WIN,1927,7,13,5,8,1,2,2,6,5,0,1,4,3,15.5
True,2023-03-22,19,26,MILWAUKEE BUCKS,HOME,SAN ANTONIO SPURS,WIN,1734,8,15,1,6,2,2,0,3,10,1,0,6,1,14.2
True,2023-03-25,13,-6,MILWAUKEE BUCKS,AWAY,DENVER NUGGETS,LOSS,1732,6,14,1,5,0,0,0,8,5,2,0,2,0,11.5
True,2023-03-27,34,11,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,WIN,2003,13,23,1,7,7,8,3,5,5,0,0,2,2,27.0
True,2023-03-30,13,-25,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,LOSS,1195,5,13,1,4,2,2,2,3,4,0,0,1,2,9.2
True,2023-04-02,19,7,MILWAUKEE BUCKS,HOME,PHILADELPHIA 76ERS,WIN,1912,6,14,3,8,4,4,0,3,9,0,0,1,2,17.0
True,2023-04-05,0,9,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,WIN,504,0,3,0,1,0,0,0,1,0,0,0,1,0,-2.8
