active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-20,11,-2,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,WIN,1362,5,10,1,4,0,0,1,9,0,0,0,1,1,8.0
True,2022-10-22,13,8,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,1350,6,10,1,1,0,0,3,5,1,1,1,2,2,11.6
True,2022-10-26,20,-4,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,WIN,1569,8,14,3,6,1,2,3,8,0,2,2,0,0,20.9
True,2022-10-28,12,-4,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,WIN,1515,4,13,0,2,4,4,8,4,1,0,0,0,4,10.4
True,2022-10-29,9,15,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,WIN,1454,4,12,1,5,0,0,1,9,4,0,0,0,1,8.0
True,2022-10-31,15,-1,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,1666,6,11,2,4,1,3,3,9,2,0,0,1,1,13.7
True,2022-11-02,10,6,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,1442,5,9,0,3,0,0,3,6,3,0,0,2,2,8.9
True,2022-11-04,18,8,MILWAUKEE BUCKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1826,7,14,2,6,2,2,0,8,5,0,0,1,1,15.5
True,2022-11-05,12,12,MILWAUKEE BUCKS,HOME,OKLAHOMA CITY THUNDER,WIN,1756,5,15,2,5,0,0,4,17,2,0,0,1,0,11.8
True,2022-11-07,11,-4,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,1382,4,8,2,5,1,2,1,9,2,0,0,1,0,10.4
True,2022-11-09,13,6,MILWAUKEE BUCKS,AWAY,OKLAHOMA CITY THUNDER,WIN,2055,4,12,1,1,4,4,1,8,2,1,0,2,2,8.9
True,2022-11-11,16,-7,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,LOSS,1860,6,15,1,4,3,3,5,7,2,1,0,2,0,13.9
True,2022-11-14,14,0,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,LOSS,1379,6,15,0,5,2,3,3,7,2,0,0,1,5,8.1
True,2022-11-16,10,18,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1783,4,8,0,1,2,2,0,11,2,1,0,1,1,10.3
True,2022-11-18,21,-12,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,LOSS,2033,9,13,3,6,0,0,4,7,3,1,0,0,4,21.9
True,2022-11-21,13,5,MILWAUKEE BUCKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1444,6,11,1,3,0,0,0,5,4,0,1,1,4,10.1
True,2022-11-23,9,-14,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,LOSS,1494,4,10,1,5,0,0,3,9,1,1,2,3,3,7.3
True,2022-11-25,14,4,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1526,6,10,2,3,0,0,1,7,4,0,1,3,1,12.3
True,2022-11-27,15,10,MILWAUKEE BUCKS,HOME,DALLAS MAVERICKS,WIN,1898,7,12,1,5,0,0,1,9,1,0,0,0,3,12.3
True,2022-11-30,10,9,MILWAUKEE BUCKS,AWAY,NEW YORK KNICKS,WIN,1522,4,10,1,2,1,2,5,7,3,0,0,0,0,11.9
True,2022-12-02,15,-1,MILWAUKEE BUCKS,HOME,LOS ANGELES LAKERS,LOSS,1291,7,13,1,4,0,0,4,6,2,0,0,0,2,13.9
True,2022-12-03,20,6,MILWAUKEE BUCKS,AWAY,CHARLOTTE HORNETS,WIN,1861,9,18,1,5,1,1,0,8,7,0,0,3,3,14.1
True,2022-12-05,18,5,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1641,8,12,1,2,1,2,2,8,1,0,1,2,4,14.0
True,2022-12-07,7,-2,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,WIN,1197,3,5,0,0,1,2,0,5,1,0,0,2,0,4.5
True,2022-12-09,10,1,MILWAUKEE BUCKS,AWAY,DALLAS MAVERICKS,WIN,987,5,11,0,2,0,0,2,6,0,0,0,1,3,5.3
True,2022-12-11,17,-5,MILWAUKEE BUCKS,AWAY,HOUSTON ROCKETS,LOSS,1699,7,15,1,5,2,2,6,9,2,0,0,0,1,17.2
True,2022-12-13,25,2,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,WIN,1922,11,15,1,4,2,2,4,7,0,0,1,1,1,23.1
True,2022-12-15,19,-30,MILWAUKEE BUCKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1338,8,14,2,4,1,2,3,4,0,0,0,1,4,12.7
True,2022-12-17,22,15,MILWAUKEE BUCKS,HOME,UTAH JAZZ,WIN,1809,9,16,2,5,2,2,1,13,1,0,0,3,2,15.9
True,2022-12-19,4,11,MILWAUKEE BUCKS,AWAY,NEW ORLEANS PELICANS,WIN,1348,2,5,0,1,0,0,1,3,1,0,0,1,1,2.2
True,2022-12-21,6,-18,MILWAUKEE BUCKS,AWAY,CLEVELAND CAVALIERS,LOSS,1140,3,7,0,2,0,0,2,4,1,1,0,0,0,6.6
True,2022-12-23,10,8,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,LOSS,1563,5,11,0,3,0,0,3,9,0,0,0,2,0,7.1
True,2022-12-25,4,-6,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,LOSS,1395,2,4,0,1,0,0,1,8,1,0,0,1,2,4.0
True,2022-12-28,20,10,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,LOSS,1701,7,18,3,7,3,4,5,6,1,0,0,0,1,15.4
True,2022-12-30,22,7,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1854,9,17,3,5,1,1,8,6,1,1,0,1,1,21.4
True,2023-01-01,19,-11,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,LOSS,1806,6,16,1,2,6,6,5,5,2,1,0,1,1,16.2
True,2023-01-03,17,9,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,WIN,1702,7,13,2,6,1,1,3,10,4,2,0,0,1,20.2
True,2023-01-04,14,-15,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,WIN,1978,7,16,0,4,0,0,2,10,0,1,1,4,2,6.9
True,2023-01-06,19,-16,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,LOSS,1367,7,10,3,4,2,2,3,9,3,1,0,0,3,21.5
True,2023-01-09,10,-2,MILWAUKEE BUCKS,AWAY,NEW YORK KNICKS,WIN,1158,5,6,0,0,0,0,0,3,0,0,0,2,1,6.3
True,2023-01-11,13,-2,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,1487,6,11,1,2,0,0,2,8,1,0,0,1,0,11.2
True,2023-01-12,12,3,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,LOSS,1902,5,12,0,3,2,4,2,5,1,3,1,2,5,8.1
True,2023-01-14,15,-23,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,LOSS,1644,4,10,1,2,6,6,2,5,2,3,0,2,0,14.9
True,2023-01-16,21,16,MILWAUKEE BUCKS,HOME,INDIANA PACERS,WIN,2029,7,16,3,6,4,4,2,9,4,0,0,3,2,15.7
True,2023-01-17,12,11,MILWAUKEE BUCKS,HOME,TORONTO RAPTORS,WIN,2076,5,12,0,4,2,2,2,10,1,0,0,3,2,6.9
True,2023-01-21,23,-15,MILWAUKEE BUCKS,AWAY,CLEVELAND CAVALIERS,LOSS,1857,9,16,5,8,0,0,2,9,1,0,0,1,2,18.4
True,2023-01-23,18,16,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,WIN,1385,8,12,2,3,0,0,3,7,3,1,0,0,2,19.3
True,2023-02-24,18,12,MILWAUKEE BUCKS,HOME,MIAMI HEAT,WIN,1308,7,11,1,3,3,3,2,9,1,0,0,0,0,17.9
True,2023-02-26,10,-1,MILWAUKEE BUCKS,HOME,PHOENIX SUNS,WIN,1285,3,7,0,1,4,4,3,3,0,0,1,2,2,7.2
True,2023-02-28,6,0,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,WIN,943,2,7,1,2,1,3,1,5,1,1,0,0,1,4.6
True,2023-03-01,0,-9,MILWAUKEE BUCKS,HOME,ORLANDO MAGIC,WIN,1030,0,5,0,1,0,0,1,3,1,1,0,0,2,-1.0
True,2023-03-04,7,-4,MILWAUKEE BUCKS,HOME,PHILADELPHIA 76ERS,LOSS,954,3,4,1,2,0,0,0,5,0,0,0,0,2,6.1
True,2023-03-05,5,8,MILWAUKEE BUCKS,AWAY,WASHINGTON WIZARDS,WIN,1157,2,6,1,4,0,0,0,7,2,0,0,2,1,2.7
True,2023-03-07,16,10,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1852,8,13,0,3,0,0,0,11,1,0,0,3,2,10.3
True,2023-03-09,28,5,MILWAUKEE BUCKS,HOME,BROOKLYN NETS,WIN,1824,11,15,3,4,3,4,3,10,2,0,0,3,3,23.8
True,2023-03-11,15,-14,MILWAUKEE BUCKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1900,5,11,2,2,3,3,2,11,2,0,0,1,0,14.4
True,2023-03-13,3,1,MILWAUKEE BUCKS,AWAY,SACRAMENTO KINGS,WIN,1132,1,1,0,0,1,2,1,2,0,0,0,1,1,2.2
True,2023-03-14,11,-16,MILWAUKEE BUCKS,AWAY,PHOENIX SUNS,WIN,1182,4,9,1,3,2,3,1,3,0,1,0,0,0,8.5
True,2023-03-16,16,5,MILWAUKEE BUCKS,HOME,INDIANA PACERS,LOSS,1985,6,11,0,3,4,4,2,7,0,0,2,1,2,13.8
True,2023-03-19,14,13,MILWAUKEE BUCKS,HOME,TORONTO RAPTORS,WIN,1451,6,13,2,6,0,0,1,8,1,0,0,1,0,10.1
True,2023-03-22,19,16,MILWAUKEE BUCKS,HOME,SAN ANTONIO SPURS,WIN,1524,7,14,3,6,2,8,0,10,0,1,0,0,0,13.6
True,2023-03-24,5,3,MILWAUKEE BUCKS,AWAY,UTAH JAZZ,WIN,1335,2,9,0,4,1,2,1,7,2,0,0,0,4,1.7
True,2023-03-25,11,-8,MILWAUKEE BUCKS,AWAY,DENVER NUGGETS,LOSS,1493,4,11,1,4,2,2,1,5,0,0,0,0,2,6.3
True,2023-03-27,21,-1,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,WIN,1875,7,14,3,7,4,4,3,11,2,0,1,0,1,21.1
True,2023-03-29,12,0,MILWAUKEE BUCKS,AWAY,INDIANA PACERS,WIN,1393,5,7,1,1,1,2,1,7,0,0,0,2,4,7.9
True,2023-03-30,12,-25,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,LOSS,1222,5,14,2,6,0,0,4,6,0,0,0,2,1,6.4
True,2023-04-02,18,6,MILWAUKEE BUCKS,HOME,PHILADELPHIA 76ERS,WIN,1650,8,11,2,3,0,0,0,5,0,1,1,1,3,14.5
True,2023-04-04,19,-8,MILWAUKEE BUCKS,AWAY,WASHINGTON WIZARDS,WIN,1866,5,15,5,9,4,8,5,15,4,0,0,1,1,18.3
True,2023-04-05,27,10,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,WIN,2217,9,18,6,9,3,3,2,11,1,1,0,0,1,24.0
True,2023-04-09,16,-14,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,LOSS,1077,7,14,2,4,0,0,0,4,0,1,0,2,1,8.8
