active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,13,16,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,1922,3,8,2,4,5,5,0,2,8,2,1,3,0,14.5
True,2022-10-21,12,13,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,WIN,2173,4,15,3,9,1,2,1,2,11,2,0,1,5,10.7
True,2022-10-23,7,-13,UTAH JAZZ,AWAY,NEW ORLEANS PELICANS,WIN,2178,3,12,1,6,0,0,0,2,8,0,1,1,1,5.3
True,2022-10-24,7,1,UTAH JAZZ,AWAY,HOUSTON ROCKETS,LOSS,1638,3,6,0,3,1,3,0,2,7,3,2,2,0,11.1
True,2022-10-26,13,6,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,1666,4,11,3,8,2,4,0,3,5,1,0,3,5,6.5
True,2022-10-28,14,-4,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1408,4,7,4,5,2,2,1,1,5,0,0,0,2,14.4
True,2022-10-31,15,15,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1816,5,9,5,7,0,0,0,2,5,1,0,0,2,15.0
True,2022-11-02,11,4,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,1967,3,8,1,4,4,4,0,1,8,1,0,3,1,10.1
True,2022-11-04,15,9,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,WIN,1880,6,11,2,5,1,1,2,0,10,1,0,2,0,17.1
True,2022-11-06,17,11,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,WIN,1979,7,13,2,6,1,1,1,6,4,2,0,1,0,17.0
True,2022-11-07,14,12,UTAH JAZZ,HOME,LOS ANGELES LAKERS,WIN,1426,5,7,3,4,1,2,0,1,12,0,0,0,2,18.6
True,2022-11-09,7,-11,UTAH JAZZ,AWAY,ATLANTA HAWKS,WIN,1723,2,6,0,2,3,4,0,1,13,0,0,1,2,10.8
True,2022-11-12,3,-21,UTAH JAZZ,AWAY,WASHINGTON WIZARDS,LOSS,1781,1,8,0,5,1,1,0,3,10,1,0,2,1,4.3
True,2022-11-13,3,-13,UTAH JAZZ,AWAY,PHILADELPHIA 76ERS,LOSS,1892,1,7,1,4,0,0,0,1,8,0,0,3,2,0.6
True,2022-11-15,10,4,UTAH JAZZ,HOME,NEW YORK KNICKS,LOSS,2033,3,10,1,6,3,3,1,3,7,4,0,1,5,11.7
True,2022-11-18,13,-2,UTAH JAZZ,HOME,PHOENIX SUNS,WIN,1816,4,9,4,5,1,2,1,3,10,1,1,2,5,14.2
True,2022-11-19,0,-12,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,WIN,545,0,1,0,0,0,0,0,1,3,1,0,0,2,1.9
True,2022-12-09,17,-12,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,LOSS,1472,6,11,3,7,2,2,0,1,6,0,0,2,2,13.4
True,2022-12-13,7,12,UTAH JAZZ,HOME,NEW ORLEANS PELICANS,WIN,1732,2,8,2,7,1,1,0,0,6,1,0,3,3,3.2
True,2022-12-15,4,5,UTAH JAZZ,HOME,NEW ORLEANS PELICANS,WIN,1935,1,8,0,4,2,6,0,2,6,0,0,2,3,-1.2
True,2022-12-17,4,-9,UTAH JAZZ,AWAY,MILWAUKEE BUCKS,LOSS,1522,2,6,0,3,0,0,0,1,4,1,0,0,2,3.9
True,2022-12-19,7,-10,UTAH JAZZ,AWAY,CLEVELAND CAVALIERS,LOSS,1703,3,8,1,3,0,0,1,1,9,2,0,3,2,8.1
True,2022-12-20,7,9,UTAH JAZZ,AWAY,DETROIT PISTONS,WIN,1574,3,7,1,5,0,1,1,2,7,1,0,0,2,9.3
True,2022-12-22,8,-8,UTAH JAZZ,HOME,WASHINGTON WIZARDS,WIN,1634,3,7,0,2,2,2,0,0,6,0,0,1,1,7.1
True,2022-12-26,17,0,UTAH JAZZ,AWAY,SAN ANTONIO SPURS,LOSS,1973,6,12,5,7,0,0,1,4,6,3,1,3,3,16.6
True,2022-12-28,5,0,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,LOSS,1939,2,11,1,8,0,0,0,2,10,1,0,3,5,1.7
True,2022-12-30,17,-1,UTAH JAZZ,AWAY,SACRAMENTO KINGS,LOSS,1789,4,11,4,8,5,6,1,1,8,1,0,3,5,13.1
True,2022-12-31,9,-7,UTAH JAZZ,HOME,MIAMI HEAT,LOSS,1857,2,7,1,4,4,4,0,4,8,0,0,4,3,6.5
True,2023-01-03,18,11,UTAH JAZZ,HOME,SACRAMENTO KINGS,LOSS,1999,6,10,2,4,4,5,0,1,7,3,0,1,2,19.4
True,2023-01-05,9,18,UTAH JAZZ,AWAY,HOUSTON ROCKETS,WIN,1910,3,10,1,5,2,2,1,3,11,0,0,0,1,12.1
True,2023-01-07,9,-26,UTAH JAZZ,AWAY,CHICAGO BULLS,LOSS,1672,3,9,3,5,0,0,0,2,7,0,0,1,1,8.0
True,2023-01-08,7,-4,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,LOSS,1686,3,9,0,2,1,1,0,0,8,1,0,3,2,4.7
