active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-23,0,-12,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,WIN,149,0,0,0,0,0,0,0,2,0,0,0,0,1,0.2
True,2022-10-24,0,2,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,LOSS,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-05,3,-7,MINNESOTA TIMBERWOLVES,HOME,HOUSTON ROCKETS,WIN,119,1,1,0,0,1,1,0,0,0,0,0,1,0,1.7
True,2022-11-07,0,3,MINNESOTA TIMBERWOLVES,HOME,NEW YORK KNICKS,LOSS,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-11-09,0,-3,MINNESOTA TIMBERWOLVES,HOME,PHOENIX SUNS,LOSS,318,0,1,0,1,0,0,0,2,0,2,0,0,1,1.5
True,2022-11-16,0,-5,MINNESOTA TIMBERWOLVES,AWAY,ORLANDO MAGIC,WIN,106,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2022-11-23,0,-2,MINNESOTA TIMBERWOLVES,AWAY,INDIANA PACERS,WIN,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-27,0,-4,MINNESOTA TIMBERWOLVES,HOME,GOLDEN STATE WARRIORS,LOSS,205,0,1,0,0,0,2,0,0,0,1,0,0,0,-0.5
True,2022-11-28,2,10,MINNESOTA TIMBERWOLVES,AWAY,WASHINGTON WIZARDS,LOSS,270,0,0,0,0,2,2,0,1,0,0,0,0,0,2.3
True,2022-12-12,4,3,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,243,2,2,0,0,0,0,0,0,0,0,0,1,0,2.4
True,2022-12-14,4,5,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,LOSS,156,2,2,0,0,0,0,0,1,0,0,0,0,0,3.7
True,2022-12-16,10,-19,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,WIN,681,3,3,0,0,4,5,3,2,0,0,1,3,1,8.7
True,2022-12-18,16,8,MINNESOTA TIMBERWOLVES,HOME,CHICAGO BULLS,WIN,1570,6,8,1,2,3,3,1,1,3,0,0,1,3,13.7
True,2022-12-19,2,0,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,WIN,360,1,3,0,1,0,0,1,1,0,0,0,1,3,-0.9
True,2022-12-23,0,4,MINNESOTA TIMBERWOLVES,AWAY,BOSTON CELTICS,LOSS,72,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
True,2022-12-28,1,1,MINNESOTA TIMBERWOLVES,AWAY,NEW ORLEANS PELICANS,LOSS,196,0,0,0,0,1,2,0,0,1,0,0,0,2,0.5
True,2022-12-30,0,0,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,287,0,0,0,0,0,0,0,0,0,0,1,0,2,-0.1
True,2023-01-02,8,12,MINNESOTA TIMBERWOLVES,HOME,DENVER NUGGETS,WIN,1306,2,4,1,1,3,6,4,4,2,0,0,0,1,9.8
True,2023-01-06,0,-4,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,WIN,150,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2023-01-11,5,-7,MINNESOTA TIMBERWOLVES,AWAY,DETROIT PISTONS,LOSS,524,1,3,0,0,3,4,1,1,0,0,0,1,1,2.5
True,2023-01-16,7,4,MINNESOTA TIMBERWOLVES,HOME,UTAH JAZZ,LOSS,543,3,4,1,2,0,1,0,1,1,1,0,0,0,7.0
True,2023-01-18,2,-3,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,259,1,2,0,1,0,1,0,1,0,0,0,1,4,-1.7
True,2023-01-19,8,-7,MINNESOTA TIMBERWOLVES,HOME,TORONTO RAPTORS,WIN,517,3,5,0,0,2,2,2,2,0,0,0,0,1,7.3
True,2023-01-21,19,23,MINNESOTA TIMBERWOLVES,HOME,HOUSTON ROCKETS,WIN,1489,5,9,2,3,7,8,2,2,0,3,0,0,4,17.7
True,2023-01-23,4,4,MINNESOTA TIMBERWOLVES,AWAY,HOUSTON ROCKETS,LOSS,976,2,5,0,2,0,0,1,3,1,0,1,0,0,4.3
True,2023-01-25,2,-4,MINNESOTA TIMBERWOLVES,AWAY,NEW ORLEANS PELICANS,WIN,153,1,1,0,0,0,0,0,0,1,0,0,0,2,1.6
True,2023-01-27,10,5,MINNESOTA TIMBERWOLVES,HOME,MEMPHIS GRIZZLIES,WIN,1175,4,6,2,3,0,0,2,0,0,0,0,1,4,6.2
True,2023-01-28,1,-6,MINNESOTA TIMBERWOLVES,HOME,SACRAMENTO KINGS,WIN,463,0,1,0,1,1,2,0,0,0,0,0,1,0,-1.1
True,2023-02-03,2,-10,MINNESOTA TIMBERWOLVES,HOME,ORLANDO MAGIC,LOSS,663,0,2,0,1,2,2,1,1,0,0,1,0,2,1.5
True,2023-02-05,8,7,MINNESOTA TIMBERWOLVES,HOME,DENVER NUGGETS,WIN,925,2,5,0,0,4,6,2,1,0,1,0,3,2,3.4
True,2023-02-07,9,-12,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,1126,3,5,1,2,2,4,0,1,3,0,1,1,1,7.6
True,2023-02-08,0,6,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,WIN,702,0,1,0,1,0,0,0,2,1,0,0,0,0,0.6
True,2023-02-10,0,0,MINNESOTA TIMBERWOLVES,AWAY,MEMPHIS GRIZZLIES,LOSS,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-26,3,7,MINNESOTA TIMBERWOLVES,AWAY,GOLDEN STATE WARRIORS,LOSS,466,1,1,0,0,1,2,1,1,0,0,1,1,1,2.6
True,2023-03-13,0,-5,MINNESOTA TIMBERWOLVES,AWAY,ATLANTA HAWKS,WIN,329,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2023-03-18,4,4,MINNESOTA TIMBERWOLVES,AWAY,TORONTO RAPTORS,LOSS,181,1,3,0,1,2,2,0,1,0,0,0,0,0,2.6
True,2023-04-08,3,-6,MINNESOTA TIMBERWOLVES,AWAY,SAN ANTONIO SPURS,WIN,273,1,1,0,0,1,2,1,1,0,1,0,1,1,2.9
True,2023-04-09,2,-1,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,WIN,120,1,2,0,0,0,0,0,0,0,0,0,1,3,-1.2
