active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,19,14,MINNESOTA TIMBERWOLVES,HOME,OKLAHOMA CITY THUNDER,WIN,2135,5,10,0,3,9,10,4,2,3,3,2,1,1,22.1
True,2022-10-21,10,-19,MINNESOTA TIMBERWOLVES,HOME,UTAH JAZZ,LOSS,2325,4,7,0,1,2,2,1,3,0,0,1,0,3,7.8
True,2022-10-23,11,5,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,WIN,1638,5,9,0,2,1,2,1,0,0,4,1,1,3,9.5
True,2022-10-24,4,-9,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,LOSS,1439,1,4,0,1,2,2,2,1,1,0,0,1,3,1.8
True,2022-10-26,20,-2,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,WIN,2089,8,9,4,5,0,0,0,3,1,2,3,1,3,20.4
True,2022-10-28,6,17,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,WIN,1745,2,7,2,6,0,0,0,1,2,0,4,2,6,2.0
True,2022-10-30,7,-8,MINNESOTA TIMBERWOLVES,AWAY,SAN ANTONIO SPURS,LOSS,2124,3,7,0,2,1,2,1,2,1,3,1,2,3,5.4
True,2022-11-01,4,-18,MINNESOTA TIMBERWOLVES,AWAY,PHOENIX SUNS,LOSS,1022,2,5,0,1,0,0,1,2,0,1,0,3,5,-1.4
True,2022-11-04,9,-18,MINNESOTA TIMBERWOLVES,HOME,MILWAUKEE BUCKS,LOSS,1108,4,5,1,1,0,0,1,1,1,0,1,4,2,4.7
True,2022-11-05,13,9,MINNESOTA TIMBERWOLVES,HOME,HOUSTON ROCKETS,WIN,2072,6,9,1,2,0,0,1,4,3,0,1,2,4,10.2
True,2022-11-07,6,-1,MINNESOTA TIMBERWOLVES,HOME,NEW YORK KNICKS,LOSS,993,3,6,0,2,0,0,1,1,1,0,0,2,6,0.3
True,2022-11-09,24,8,MINNESOTA TIMBERWOLVES,HOME,PHOENIX SUNS,LOSS,2284,10,14,2,4,2,3,4,4,3,0,1,2,2,21.8
True,2022-11-11,15,-1,MINNESOTA TIMBERWOLVES,AWAY,MEMPHIS GRIZZLIES,LOSS,2010,4,8,2,4,5,6,1,3,0,3,2,0,6,14.2
True,2022-11-13,9,-13,MINNESOTA TIMBERWOLVES,AWAY,CLEVELAND CAVALIERS,WIN,1856,4,9,1,2,0,2,2,0,0,1,1,0,6,4.2
True,2022-11-16,10,19,MINNESOTA TIMBERWOLVES,AWAY,ORLANDO MAGIC,WIN,2102,4,12,1,5,1,2,4,4,2,1,1,1,4,7.3
True,2022-11-19,11,-4,MINNESOTA TIMBERWOLVES,AWAY,PHILADELPHIA 76ERS,WIN,1893,4,6,1,2,2,2,0,1,1,3,1,2,3,9.9
True,2022-11-21,18,18,MINNESOTA TIMBERWOLVES,HOME,MIAMI HEAT,WIN,1927,7,14,3,6,1,1,2,2,3,0,0,2,2,12.3
True,2022-11-23,18,21,MINNESOTA TIMBERWOLVES,AWAY,INDIANA PACERS,WIN,1843,8,11,2,4,0,0,0,3,3,0,4,1,4,16.7
True,2022-11-25,2,0,MINNESOTA TIMBERWOLVES,AWAY,CHARLOTTE HORNETS,LOSS,1456,1,7,0,3,0,0,1,3,1,0,2,2,4,-2.4
True,2022-12-03,8,-22,MINNESOTA TIMBERWOLVES,HOME,OKLAHOMA CITY THUNDER,LOSS,1093,3,4,2,3,0,0,1,0,0,1,1,2,5,4.8
True,2022-12-07,12,-5,MINNESOTA TIMBERWOLVES,HOME,INDIANA PACERS,WIN,2206,5,10,2,4,0,0,1,2,1,2,0,3,2,7.2
True,2022-12-09,11,0,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,WIN,1924,5,7,1,3,0,0,0,3,2,1,0,2,3,8.2
True,2022-12-10,9,12,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1748,3,6,2,4,1,1,0,0,2,0,1,0,3,6.9
True,2022-12-12,2,-15,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1701,1,4,0,2,0,0,1,0,1,1,1,0,1,2.3
True,2022-12-14,6,-11,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,LOSS,2146,3,11,0,3,0,0,0,4,2,3,0,0,4,3.5
True,2022-12-16,14,9,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,WIN,1794,5,11,2,6,2,4,2,3,1,2,1,3,5,8.2
True,2022-12-18,15,31,MINNESOTA TIMBERWOLVES,HOME,CHICAGO BULLS,WIN,2039,6,8,2,3,1,1,0,8,5,0,3,3,2,16.0
True,2022-12-19,13,13,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,WIN,2225,5,11,1,4,2,2,3,2,2,0,0,1,3,9.2
True,2022-12-21,10,1,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,LOSS,1944,4,8,2,4,0,0,0,3,2,0,0,1,4,5.7
