active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-21,0,-1,MINNESOTA TIMBERWOLVES,HOME,UTAH JAZZ,LOSS,559,0,3,0,1,0,0,1,1,1,1,2,1,2,0.2
True,2022-10-23,14,2,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,WIN,784,5,7,2,4,2,4,1,1,1,0,1,0,4,11.1
True,2022-10-24,6,-1,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,LOSS,763,3,7,0,1,0,0,1,2,0,0,1,0,0,4.3
True,2022-10-26,2,3,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,WIN,313,1,1,0,0,0,0,0,2,1,1,0,0,0,4.0
True,2022-10-30,11,12,MINNESOTA TIMBERWOLVES,AWAY,SAN ANTONIO SPURS,LOSS,513,5,7,1,2,0,0,1,1,0,1,0,0,0,10.1
True,2022-11-01,13,10,MINNESOTA TIMBERWOLVES,AWAY,PHOENIX SUNS,LOSS,946,5,6,1,2,2,2,0,3,0,1,0,0,0,12.7
True,2022-11-04,8,1,MINNESOTA TIMBERWOLVES,HOME,MILWAUKEE BUCKS,LOSS,1321,3,7,0,3,2,2,0,5,0,0,1,1,3,4.3
True,2022-11-05,11,8,MINNESOTA TIMBERWOLVES,HOME,HOUSTON ROCKETS,WIN,795,4,7,2,4,1,2,0,3,0,0,1,5,6,1.5
True,2022-11-07,11,-14,MINNESOTA TIMBERWOLVES,HOME,NEW YORK KNICKS,LOSS,1097,5,8,0,3,1,2,2,0,0,0,1,0,2,8.3
True,2022-11-16,0,-5,MINNESOTA TIMBERWOLVES,AWAY,ORLANDO MAGIC,WIN,106,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0
True,2022-11-19,9,3,MINNESOTA TIMBERWOLVES,AWAY,PHILADELPHIA 76ERS,WIN,623,3,4,1,1,2,2,1,3,1,0,0,0,5,7.7
True,2022-11-21,9,-25,MINNESOTA TIMBERWOLVES,HOME,MIAMI HEAT,WIN,971,3,9,0,2,3,4,0,4,2,0,1,1,3,4.6
True,2022-11-25,7,-3,MINNESOTA TIMBERWOLVES,AWAY,CHARLOTTE HORNETS,LOSS,807,3,5,1,2,0,0,0,0,0,0,0,1,3,2.5
True,2022-11-27,8,-4,MINNESOTA TIMBERWOLVES,HOME,GOLDEN STATE WARRIORS,LOSS,961,3,6,2,3,0,1,0,2,2,0,0,0,1,6.2
True,2022-11-28,6,-2,MINNESOTA TIMBERWOLVES,AWAY,WASHINGTON WIZARDS,LOSS,1063,2,6,1,3,1,2,0,3,0,0,0,1,5,0.1
True,2022-11-30,7,-5,MINNESOTA TIMBERWOLVES,HOME,MEMPHIS GRIZZLIES,WIN,1332,3,8,0,5,1,2,0,3,1,1,5,1,2,6.5
True,2022-12-03,13,0,MINNESOTA TIMBERWOLVES,HOME,OKLAHOMA CITY THUNDER,LOSS,1787,6,12,0,2,1,2,3,15,3,0,4,1,4,15.5
True,2022-12-07,6,4,MINNESOTA TIMBERWOLVES,HOME,INDIANA PACERS,WIN,695,3,5,0,1,0,0,4,3,0,1,0,3,3,4.2
True,2022-12-09,12,-5,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,WIN,1029,4,10,3,6,1,1,1,3,1,0,1,4,2,4.8
True,2022-12-10,15,-17,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,867,6,12,0,2,3,3,2,1,0,1,2,0,1,12.7
True,2022-12-12,10,-12,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1096,4,4,1,1,1,2,0,4,1,0,0,1,2,8.5
True,2022-12-14,9,-15,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,LOSS,1205,3,5,0,0,3,4,1,6,1,0,0,1,1,8.1
True,2022-12-16,28,21,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,WIN,2199,11,18,3,5,3,7,3,6,3,3,1,3,3,23.7
True,2022-12-18,10,14,MINNESOTA TIMBERWOLVES,HOME,CHICAGO BULLS,WIN,712,4,4,2,2,0,2,0,3,0,1,0,0,0,9.9
True,2022-12-19,27,17,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,WIN,2400,11,19,2,6,3,4,2,11,1,2,1,2,2,23.0
True,2022-12-21,6,-1,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,LOSS,754,2,3,2,2,0,0,0,3,4,0,0,1,5,5.4
True,2022-12-23,14,-1,MINNESOTA TIMBERWOLVES,AWAY,BOSTON CELTICS,LOSS,1505,6,10,2,4,0,0,1,4,2,0,2,4,4,8.5
True,2022-12-26,21,13,MINNESOTA TIMBERWOLVES,AWAY,MIAMI HEAT,LOSS,1755,8,15,1,4,4,5,2,9,2,0,1,3,1,16.1
True,2022-12-28,13,6,MINNESOTA TIMBERWOLVES,AWAY,NEW ORLEANS PELICANS,LOSS,1528,5,8,2,5,1,2,0,6,1,0,2,1,1,11.5
True,2022-12-30,16,-6,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,1788,7,18,2,8,0,0,1,6,1,1,1,0,5,9.1
True,2022-12-31,6,-8,MINNESOTA TIMBERWOLVES,HOME,DETROIT PISTONS,LOSS,1439,3,6,0,2,0,0,2,7,0,2,2,3,2,6.1
True,2023-01-06,10,-14,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,WIN,555,4,4,2,2,0,0,0,0,0,0,0,1,1,7.4
True,2023-01-08,6,-8,MINNESOTA TIMBERWOLVES,AWAY,HOUSTON ROCKETS,WIN,623,3,4,0,0,0,0,2,3,0,1,0,0,1,7.3
True,2023-01-11,8,-16,MINNESOTA TIMBERWOLVES,AWAY,DETROIT PISTONS,LOSS,809,4,7,0,0,0,0,6,2,0,0,0,2,2,6.7
True,2023-01-13,13,5,MINNESOTA TIMBERWOLVES,HOME,PHOENIX SUNS,WIN,929,5,8,1,3,2,2,2,4,3,2,0,2,1,13.7
True,2023-01-14,17,-5,MINNESOTA TIMBERWOLVES,HOME,CLEVELAND CAVALIERS,WIN,1689,8,16,1,7,0,0,2,5,0,0,1,1,4,10.0
True,2023-01-16,7,-6,MINNESOTA TIMBERWOLVES,HOME,UTAH JAZZ,LOSS,1306,3,8,1,4,0,0,4,3,0,0,2,1,5,4.7
True,2023-01-18,17,2,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,1557,4,9,0,5,9,10,1,2,2,0,3,3,5,11.7
True,2023-01-19,5,16,MINNESOTA TIMBERWOLVES,HOME,TORONTO RAPTORS,WIN,1325,2,6,1,1,0,0,0,7,2,2,1,4,3,2.6
True,2023-01-21,5,-9,MINNESOTA TIMBERWOLVES,HOME,HOUSTON ROCKETS,WIN,909,2,7,0,4,1,1,1,2,1,0,1,1,3,1.4
True,2023-01-23,2,-2,MINNESOTA TIMBERWOLVES,AWAY,HOUSTON ROCKETS,LOSS,548,1,2,0,1,0,0,1,0,0,1,1,1,0,2.4
True,2023-01-25,6,-4,MINNESOTA TIMBERWOLVES,AWAY,NEW ORLEANS PELICANS,WIN,810,1,1,1,1,3,4,1,6,0,2,2,1,2,9.4
True,2023-01-27,9,6,MINNESOTA TIMBERWOLVES,HOME,MEMPHIS GRIZZLIES,WIN,993,4,6,1,3,0,2,2,1,1,2,1,0,1,10.3
True,2023-01-28,14,-8,MINNESOTA TIMBERWOLVES,HOME,SACRAMENTO KINGS,WIN,799,6,9,1,4,1,1,0,2,0,0,0,1,4,8.1
True,2023-01-30,6,-8,MINNESOTA TIMBERWOLVES,HOME,SACRAMENTO KINGS,LOSS,938,3,9,0,4,0,0,2,1,1,1,0,1,2,2.5
True,2023-02-01,24,5,MINNESOTA TIMBERWOLVES,HOME,GOLDEN STATE WARRIORS,WIN,2120,10,22,2,8,2,4,1,12,4,1,1,1,4,18.0
True,2023-02-03,10,-11,MINNESOTA TIMBERWOLVES,HOME,ORLANDO MAGIC,LOSS,1247,4,7,2,4,0,1,2,1,1,1,1,2,4,6.8
True,2023-02-05,7,7,MINNESOTA TIMBERWOLVES,HOME,DENVER NUGGETS,WIN,885,3,3,1,1,0,0,1,1,0,0,1,0,4,6.2
