active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-21,2,-3,NEW ORLEANS PELICANS,AWAY,CHARLOTTE HORNETS,WIN,353,1,3,0,0,0,0,2,3,0,0,0,0,1,2.2
True,2022-10-28,2,-2,NEW ORLEANS PELICANS,AWAY,PHOENIX SUNS,LOSS,485,0,2,0,1,2,2,2,2,1,0,0,1,1,1.9
True,2022-11-09,8,-14,NEW ORLEANS PELICANS,AWAY,CHICAGO BULLS,WIN,695,4,6,0,1,0,0,0,3,0,1,0,4,1,2.9
True,2022-11-16,0,-3,NEW ORLEANS PELICANS,HOME,CHICAGO BULLS,WIN,114,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-21,5,4,NEW ORLEANS PELICANS,HOME,GOLDEN STATE WARRIORS,WIN,442,2,3,0,1,1,2,1,1,0,0,0,1,0,3.3
True,2022-11-23,3,-4,NEW ORLEANS PELICANS,AWAY,SAN ANTONIO SPURS,WIN,321,1,2,0,0,1,2,1,0,0,0,0,0,1,1.9
True,2022-11-25,6,8,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,LOSS,720,2,4,0,0,2,2,3,2,0,1,0,0,1,7.3
True,2022-11-28,10,0,NEW ORLEANS PELICANS,HOME,OKLAHOMA CITY THUNDER,WIN,996,3,7,0,0,4,4,3,6,0,0,1,1,2,9.1
True,2022-11-30,4,-1,NEW ORLEANS PELICANS,HOME,TORONTO RAPTORS,WIN,634,2,4,0,0,0,0,0,3,1,0,0,2,0,1.6
True,2022-12-04,12,20,NEW ORLEANS PELICANS,HOME,DENVER NUGGETS,WIN,1187,2,3,0,0,8,10,3,5,3,1,1,2,3,14.1
True,2022-12-11,0,-3,NEW ORLEANS PELICANS,HOME,PHOENIX SUNS,WIN,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-13,9,2,NEW ORLEANS PELICANS,AWAY,UTAH JAZZ,LOSS,368,3,5,1,2,2,2,0,1,2,1,0,1,0,8.4
True,2022-12-19,5,-12,NEW ORLEANS PELICANS,HOME,MILWAUKEE BUCKS,LOSS,582,2,2,0,0,1,2,1,0,0,0,0,1,3,2.5
