active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-12-13,4,2,NEW ORLEANS PELICANS,AWAY,UTAH JAZZ,LOSS,368,1,4,0,1,2,2,0,1,0,0,0,0,1,1.5
True,2022-12-26,7,8,NEW ORLEANS PELICANS,HOME,INDIANA PACERS,WIN,994,3,7,1,2,0,0,0,1,1,1,0,0,3,4.1
True,2023-01-07,12,-7,NEW ORLEANS PELICANS,AWAY,DALLAS MAVERICKS,LOSS,753,4,6,0,1,4,4,1,2,0,0,0,2,1,8.3
True,2023-01-09,0,1,NEW ORLEANS PELICANS,AWAY,WASHINGTON WIZARDS,WIN,152,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.7
True,2023-01-11,2,8,NEW ORLEANS PELICANS,AWAY,BOSTON CELTICS,LOSS,163,0,0,0,0,2,2,0,0,0,0,0,0,0,2.0
True,2023-01-18,3,2,NEW ORLEANS PELICANS,HOME,MIAMI HEAT,LOSS,340,1,1,1,1,0,0,0,0,1,0,0,1,0,2.4
True,2023-01-29,15,0,NEW ORLEANS PELICANS,AWAY,MILWAUKEE BUCKS,LOSS,1649,7,11,1,3,0,0,0,6,3,0,1,0,2,13.9
True,2023-02-02,2,-7,NEW ORLEANS PELICANS,AWAY,DALLAS MAVERICKS,LOSS,688,1,6,0,2,0,0,0,2,0,1,0,1,4,-2.8
True,2023-02-04,2,1,NEW ORLEANS PELICANS,HOME,LOS ANGELES LAKERS,WIN,343,1,2,0,1,0,0,0,1,1,0,0,0,1,1.6
True,2023-02-05,11,16,NEW ORLEANS PELICANS,HOME,SACRAMENTO KINGS,WIN,1297,4,7,2,2,1,1,0,4,4,0,0,0,3,10.5
True,2023-02-07,2,5,NEW ORLEANS PELICANS,HOME,ATLANTA HAWKS,WIN,589,1,4,0,1,0,0,2,1,1,0,0,0,1,1.6
True,2023-02-10,8,12,NEW ORLEANS PELICANS,HOME,CLEVELAND CAVALIERS,LOSS,577,3,4,2,3,0,0,0,1,1,0,0,2,0,5.4
True,2023-02-13,7,7,NEW ORLEANS PELICANS,AWAY,OKLAHOMA CITY THUNDER,WIN,1138,2,5,1,3,2,2,0,2,2,2,0,1,0,7.3
True,2023-02-15,1,2,NEW ORLEANS PELICANS,AWAY,LOS ANGELES LAKERS,LOSS,231,0,2,0,0,1,2,1,2,1,0,0,0,0,1.2
True,2023-02-25,8,10,NEW ORLEANS PELICANS,AWAY,NEW YORK KNICKS,LOSS,247,2,2,2,2,2,2,0,1,0,1,0,0,0,8.7
True,2023-03-01,3,9,NEW ORLEANS PELICANS,AWAY,PORTLAND TRAIL BLAZERS,WIN,700,1,3,1,1,0,0,1,0,0,1,0,0,2,2.2
True,2023-03-03,9,3,NEW ORLEANS PELICANS,AWAY,GOLDEN STATE WARRIORS,LOSS,582,3,3,2,2,1,1,0,1,1,0,0,0,2,8.3
True,2023-03-06,3,3,NEW ORLEANS PELICANS,AWAY,SACRAMENTO KINGS,LOSS,1154,1,7,0,3,1,2,0,1,1,1,0,1,1,-1.3
True,2023-03-11,1,3,NEW ORLEANS PELICANS,HOME,OKLAHOMA CITY THUNDER,LOSS,438,0,3,0,1,1,2,0,0,1,0,0,0,0,-0.8
True,2023-03-12,4,-22,NEW ORLEANS PELICANS,HOME,PORTLAND TRAIL BLAZERS,WIN,631,2,6,0,1,0,0,0,0,0,2,1,1,3,1.1
True,2023-03-14,0,4,NEW ORLEANS PELICANS,HOME,LOS ANGELES LAKERS,LOSS,94,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2023-03-21,2,-1,NEW ORLEANS PELICANS,HOME,SAN ANTONIO SPURS,WIN,229,1,1,0,0,0,0,0,0,1,0,0,0,0,2.4
True,2023-03-23,0,-3,NEW ORLEANS PELICANS,HOME,CHARLOTTE HORNETS,WIN,132,0,2,0,2,0,0,0,0,1,0,0,0,0,-0.7
True,2023-03-27,6,3,NEW ORLEANS PELICANS,AWAY,PORTLAND TRAIL BLAZERS,WIN,417,2,2,2,2,0,0,0,0,3,1,0,0,0,8.5
True,2023-04-04,2,3,NEW ORLEANS PELICANS,HOME,SACRAMENTO KINGS,LOSS,181,0,0,0,0,2,2,0,0,0,0,0,0,0,2.0
