active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,4,-7,NEW ORLEANS PELICANS,AWAY,BROOKLYN NETS,WIN,842,2,4,0,0,0,0,1,3,2,0,0,0,1,4.6
True,2022-10-21,0,4,NEW ORLEANS PELICANS,AWAY,CHARLOTTE HORNETS,WIN,715,0,1,0,0,0,0,1,0,1,0,1,1,1,0.0
True,2022-10-23,7,-7,NEW ORLEANS PELICANS,HOME,UTAH JAZZ,LOSS,810,2,6,0,2,3,4,0,1,0,2,1,0,1,5.8
True,2022-10-25,15,14,NEW ORLEANS PELICANS,HOME,DALLAS MAVERICKS,WIN,2003,6,9,0,2,3,4,2,1,1,0,0,3,3,8.9
True,2022-10-28,21,2,NEW ORLEANS PELICANS,AWAY,PHOENIX SUNS,LOSS,2100,7,13,3,7,4,5,4,2,5,1,0,2,2,19.4
True,2022-10-30,17,17,NEW ORLEANS PELICANS,AWAY,LOS ANGELES CLIPPERS,WIN,2324,7,13,3,5,0,0,1,5,4,2,0,2,3,14.5
True,2022-11-02,9,-10,NEW ORLEANS PELICANS,AWAY,LOS ANGELES LAKERS,LOSS,2312,3,8,1,3,2,2,0,5,3,3,1,2,1,9.5
True,2022-11-04,0,1,NEW ORLEANS PELICANS,HOME,GOLDEN STATE WARRIORS,WIN,545,0,2,0,2,0,0,0,0,0,0,0,0,1,-1.8
True,2022-11-05,0,5,NEW ORLEANS PELICANS,AWAY,ATLANTA HAWKS,LOSS,747,0,3,0,0,0,0,1,1,0,0,0,0,2,-1.9
True,2022-11-07,2,-3,NEW ORLEANS PELICANS,AWAY,INDIANA PACERS,LOSS,363,1,4,0,2,0,0,1,1,0,0,0,0,1,0.2
True,2022-11-09,9,6,NEW ORLEANS PELICANS,AWAY,CHICAGO BULLS,WIN,1328,4,8,1,1,0,2,1,4,0,0,0,2,2,3.3
True,2022-11-10,3,6,NEW ORLEANS PELICANS,HOME,PORTLAND TRAIL BLAZERS,LOSS,372,1,3,1,2,0,0,0,1,0,0,0,0,0,1.6
True,2022-11-12,3,-19,NEW ORLEANS PELICANS,HOME,HOUSTON ROCKETS,WIN,903,1,3,1,1,0,0,1,0,2,1,0,0,0,4.4
True,2022-11-15,4,8,NEW ORLEANS PELICANS,HOME,MEMPHIS GRIZZLIES,WIN,1527,1,5,0,2,2,2,0,8,4,0,0,2,2,3.3
True,2022-11-16,3,-6,NEW ORLEANS PELICANS,HOME,CHICAGO BULLS,WIN,1087,1,6,1,4,0,0,0,1,0,0,0,1,0,-1.5
True,2022-11-18,9,-5,NEW ORLEANS PELICANS,HOME,BOSTON CELTICS,LOSS,1291,3,5,1,3,2,2,0,1,3,1,0,0,1,9.7
True,2022-11-21,6,19,NEW ORLEANS PELICANS,HOME,GOLDEN STATE WARRIORS,WIN,1406,3,7,0,2,0,0,0,4,7,1,0,1,0,8.4
True,2022-11-23,5,4,NEW ORLEANS PELICANS,AWAY,SAN ANTONIO SPURS,WIN,1444,1,4,0,1,3,4,0,1,5,0,0,2,1,3.6
