active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,16,4,NEW ORLEANS PELICANS,AWAY,BROOKLYN NETS,WIN,1437,5,7,4,6,2,3,4,5,2,0,1,1,4,16.5
True,2022-10-21,8,-11,NEW ORLEANS PELICANS,AWAY,CHARLOTTE HORNETS,WIN,1189,3,9,2,5,0,0,1,2,0,3,0,0,2,6.4
True,2022-10-23,16,14,NEW ORLEANS PELICANS,HOME,UTAH JAZZ,LOSS,2382,6,11,3,4,1,1,1,8,1,0,0,2,4,10.9
True,2022-10-25,22,1,NEW ORLEANS PELICANS,HOME,DALLAS MAVERICKS,WIN,2189,8,8,4,4,2,2,1,4,1,1,0,2,3,20.0
True,2022-10-28,13,3,NEW ORLEANS PELICANS,AWAY,PHOENIX SUNS,LOSS,1956,4,9,3,7,2,2,0,5,1,2,0,1,3,10.3
True,2022-10-30,15,21,NEW ORLEANS PELICANS,AWAY,LOS ANGELES CLIPPERS,WIN,2237,6,16,3,9,0,0,4,1,1,1,0,1,0,10.0
True,2022-11-02,12,0,NEW ORLEANS PELICANS,AWAY,LOS ANGELES LAKERS,LOSS,2383,4,9,0,5,4,4,2,3,3,1,0,0,2,11.9
True,2022-11-04,10,18,NEW ORLEANS PELICANS,HOME,GOLDEN STATE WARRIORS,WIN,1653,3,7,3,6,1,1,1,3,4,2,0,0,3,11.5
True,2022-11-05,2,3,NEW ORLEANS PELICANS,AWAY,ATLANTA HAWKS,LOSS,1036,0,3,0,3,2,2,0,0,2,0,0,1,0,0.3
True,2022-11-07,11,8,NEW ORLEANS PELICANS,AWAY,INDIANA PACERS,LOSS,1691,4,7,3,6,0,0,1,5,1,2,0,1,1,11.2
True,2022-11-09,2,-5,NEW ORLEANS PELICANS,AWAY,CHICAGO BULLS,WIN,1219,0,3,0,3,2,2,1,2,1,0,1,0,1,2.2
True,2022-11-10,16,-7,NEW ORLEANS PELICANS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1856,5,11,3,8,3,3,1,2,1,0,3,0,0,14.4
True,2022-11-12,6,-14,NEW ORLEANS PELICANS,HOME,HOUSTON ROCKETS,WIN,1060,2,7,0,5,2,2,0,1,0,0,0,1,1,0.8
True,2022-11-15,13,-5,NEW ORLEANS PELICANS,HOME,MEMPHIS GRIZZLIES,WIN,1508,5,11,3,6,0,0,0,2,1,1,1,0,1,9.9
True,2022-11-16,19,17,NEW ORLEANS PELICANS,HOME,CHICAGO BULLS,WIN,1480,7,9,5,6,0,0,1,9,1,3,1,1,0,22.3
True,2022-11-18,0,-10,NEW ORLEANS PELICANS,HOME,BOSTON CELTICS,LOSS,720,0,1,0,1,0,0,0,1,1,0,0,0,0,0.3
True,2022-11-25,21,-17,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,LOSS,1566,7,14,1,6,6,7,2,1,1,1,0,0,4,15.4
True,2022-11-28,20,9,NEW ORLEANS PELICANS,HOME,OKLAHOMA CITY THUNDER,WIN,2215,7,13,2,7,4,4,3,3,0,2,1,2,1,17.0
True,2022-11-30,26,21,NEW ORLEANS PELICANS,HOME,TORONTO RAPTORS,WIN,2231,8,17,6,12,4,4,1,4,1,1,1,2,3,18.4
True,2022-12-02,17,8,NEW ORLEANS PELICANS,AWAY,SAN ANTONIO SPURS,WIN,1980,6,15,5,12,0,0,0,3,2,2,1,2,2,11.1
True,2022-12-04,12,-4,NEW ORLEANS PELICANS,HOME,DENVER NUGGETS,WIN,1760,4,8,1,3,3,3,0,3,2,3,0,0,4,11.7
