active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-28,6,-17,NEW ORLEANS PELICANS,AWAY,PHOENIX SUNS,LOSS,1024,2,3,2,3,0,0,0,1,1,1,0,0,1,6.3
True,2022-10-30,0,-3,NEW ORLEANS PELICANS,AWAY,LOS ANGELES CLIPPERS,WIN,214,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2022-11-21,2,4,NEW ORLEANS PELICANS,HOME,GOLDEN STATE WARRIORS,WIN,442,1,4,0,2,0,0,0,0,1,1,0,0,0,1.3
True,2022-11-23,3,-4,NEW ORLEANS PELICANS,AWAY,SAN ANTONIO SPURS,WIN,321,1,2,1,2,0,0,0,1,1,1,0,1,1,2.6
True,2022-11-25,6,8,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,LOSS,720,2,4,1,2,1,2,0,0,0,2,1,0,2,5.5
True,2022-11-28,4,-5,NEW ORLEANS PELICANS,HOME,OKLAHOMA CITY THUNDER,WIN,665,1,3,0,1,2,2,0,3,0,0,0,1,1,1.8
True,2022-11-30,5,-3,NEW ORLEANS PELICANS,HOME,TORONTO RAPTORS,WIN,649,2,3,1,1,0,0,1,0,0,1,0,1,0,4.4
True,2022-12-02,0,-4,NEW ORLEANS PELICANS,AWAY,SAN ANTONIO SPURS,WIN,127,0,2,0,1,0,0,0,0,0,0,0,0,0,-1.4
True,2022-12-04,0,-1,NEW ORLEANS PELICANS,HOME,DENVER NUGGETS,WIN,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-13,3,2,NEW ORLEANS PELICANS,AWAY,UTAH JAZZ,LOSS,368,1,1,1,1,0,0,1,1,1,0,0,0,0,4.4
True,2022-12-22,0,-6,NEW ORLEANS PELICANS,HOME,SAN ANTONIO SPURS,WIN,119,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2022-12-26,0,-2,NEW ORLEANS PELICANS,HOME,INDIANA PACERS,WIN,1135,0,2,0,2,0,0,0,1,1,2,0,0,3,0.4
True,2023-01-07,5,-1,NEW ORLEANS PELICANS,AWAY,DALLAS MAVERICKS,LOSS,538,2,3,1,2,0,0,0,1,2,1,0,0,2,5.6
True,2023-01-09,3,1,NEW ORLEANS PELICANS,AWAY,WASHINGTON WIZARDS,WIN,152,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
True,2023-01-18,0,2,NEW ORLEANS PELICANS,HOME,MIAMI HEAT,LOSS,340,0,1,0,0,0,0,0,1,0,0,0,0,1,-0.8
True,2023-01-24,2,6,NEW ORLEANS PELICANS,HOME,DENVER NUGGETS,LOSS,401,1,3,0,1,0,0,0,0,2,0,0,0,2,0.9
True,2023-02-05,3,2,NEW ORLEANS PELICANS,HOME,SACRAMENTO KINGS,WIN,281,1,1,1,1,0,0,0,0,1,0,0,0,0,3.4
True,2023-02-10,0,8,NEW ORLEANS PELICANS,HOME,CLEVELAND CAVALIERS,LOSS,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-25,0,10,NEW ORLEANS PELICANS,AWAY,NEW YORK KNICKS,LOSS,247,0,2,0,0,0,0,0,1,0,0,0,0,0,-1.1
True,2023-03-12,0,-22,NEW ORLEANS PELICANS,HOME,PORTLAND TRAIL BLAZERS,WIN,524,0,4,0,2,0,0,2,0,1,0,0,0,0,-0.7
True,2023-03-21,0,3,NEW ORLEANS PELICANS,HOME,SAN ANTONIO SPURS,WIN,288,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.3
True,2023-03-23,3,-3,NEW ORLEANS PELICANS,HOME,CHARLOTTE HORNETS,WIN,132,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
True,2023-03-25,0,2,NEW ORLEANS PELICANS,AWAY,LOS ANGELES CLIPPERS,WIN,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-27,5,3,NEW ORLEANS PELICANS,AWAY,PORTLAND TRAIL BLAZERS,WIN,417,2,2,1,1,0,0,0,2,1,0,1,0,1,6.0
True,2023-04-04,0,3,NEW ORLEANS PELICANS,HOME,SACRAMENTO KINGS,LOSS,181,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0
