active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,15,28,NEW ORLEANS PELICANS,AWAY,BROOKLYN NETS,WIN,1597,6,13,1,1,2,2,6,7,2,0,1,1,1,15.3
True,2022-10-21,30,19,NEW ORLEANS PELICANS,AWAY,CHARLOTTE HORNETS,WIN,1767,8,11,1,3,13,14,4,13,4,1,1,1,1,34.9
True,2022-10-23,6,-7,NEW ORLEANS PELICANS,HOME,UTAH JAZZ,LOSS,1467,2,11,0,1,2,2,8,1,3,1,0,1,3,5.9
True,2022-10-25,13,2,NEW ORLEANS PELICANS,HOME,DALLAS MAVERICKS,WIN,1338,5,9,0,2,3,3,0,7,2,0,1,1,3,10.7
True,2022-10-28,25,0,NEW ORLEANS PELICANS,AWAY,PHOENIX SUNS,LOSS,1877,11,16,0,0,3,3,3,7,2,1,0,2,3,21.6
True,2022-10-30,11,1,NEW ORLEANS PELICANS,AWAY,LOS ANGELES CLIPPERS,WIN,1435,4,6,1,2,2,4,1,6,5,1,0,3,2,10.8
True,2022-11-02,9,-10,NEW ORLEANS PELICANS,AWAY,LOS ANGELES LAKERS,LOSS,1303,3,11,1,2,2,2,4,6,1,0,0,2,2,5.0
True,2022-11-04,8,-13,NEW ORLEANS PELICANS,HOME,GOLDEN STATE WARRIORS,WIN,1167,2,3,0,1,4,6,1,5,0,0,0,1,2,6.3
True,2022-11-05,13,-9,NEW ORLEANS PELICANS,AWAY,ATLANTA HAWKS,LOSS,1539,5,12,0,0,3,4,7,10,1,1,1,2,2,13.7
True,2022-11-07,14,-13,NEW ORLEANS PELICANS,AWAY,INDIANA PACERS,LOSS,1309,7,9,0,0,0,0,2,5,2,0,0,0,3,13.6
True,2022-11-09,21,8,NEW ORLEANS PELICANS,AWAY,CHICAGO BULLS,WIN,1778,8,13,0,2,5,6,3,10,3,1,0,2,0,20.9
