active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,25,13,NEW ORLEANS PELICANS,AWAY,BROOKLYN NETS,WIN,1803,11,22,0,0,3,4,3,6,3,4,0,2,3,20.4
True,2022-10-21,16,13,NEW ORLEANS PELICANS,AWAY,CHARLOTTE HORNETS,WIN,1843,7,19,0,0,2,4,2,3,3,1,0,3,0,7.1
True,2022-10-23,25,-7,NEW ORLEANS PELICANS,HOME,UTAH JAZZ,LOSS,1793,10,16,0,0,5,6,2,4,1,1,2,4,3,17.9
True,2022-10-30,21,19,NEW ORLEANS PELICANS,AWAY,LOS ANGELES CLIPPERS,WIN,1832,9,17,0,0,3,4,3,9,7,1,0,1,1,21.6
True,2022-11-02,27,-13,NEW ORLEANS PELICANS,AWAY,LOS ANGELES LAKERS,LOSS,2196,11,21,0,1,5,8,2,3,7,0,0,3,5,17.7
True,2022-11-04,16,9,NEW ORLEANS PELICANS,HOME,GOLDEN STATE WARRIORS,WIN,1675,7,11,0,0,2,4,0,3,1,1,0,2,2,10.1
True,2022-11-05,29,-4,NEW ORLEANS PELICANS,AWAY,ATLANTA HAWKS,LOSS,2236,11,20,0,1,7,10,2,6,4,0,0,7,2,16.4
True,2022-11-07,26,-9,NEW ORLEANS PELICANS,AWAY,INDIANA PACERS,LOSS,2039,10,15,2,3,4,6,3,4,7,2,1,1,4,27.0
True,2022-11-09,19,3,NEW ORLEANS PELICANS,AWAY,CHICAGO BULLS,WIN,1850,6,11,0,0,7,8,4,1,1,0,0,1,3,14.9
True,2022-11-10,29,-12,NEW ORLEANS PELICANS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1900,9,14,1,1,10,15,1,5,3,1,0,3,4,21.5
True,2022-11-12,26,21,NEW ORLEANS PELICANS,HOME,HOUSTON ROCKETS,WIN,2102,8,9,0,0,10,12,1,3,6,1,0,3,3,24.7
True,2022-11-21,9,28,NEW ORLEANS PELICANS,HOME,GOLDEN STATE WARRIORS,WIN,1386,3,7,0,0,3,4,0,2,4,0,0,2,1,5.9
True,2022-11-23,32,20,NEW ORLEANS PELICANS,AWAY,SAN ANTONIO SPURS,WIN,1599,14,18,0,2,4,8,4,7,1,2,1,1,1,30.3
True,2022-11-25,14,-32,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,LOSS,1800,6,12,0,0,2,2,1,4,4,1,0,1,3,11.5
True,2022-11-28,23,19,NEW ORLEANS PELICANS,HOME,OKLAHOMA CITY THUNDER,WIN,2119,11,18,0,1,1,1,2,6,8,1,3,4,3,21.5
True,2022-11-30,33,19,NEW ORLEANS PELICANS,HOME,TORONTO RAPTORS,WIN,2246,12,15,0,0,9,12,3,7,5,4,2,4,2,34.4
True,2022-12-02,30,28,NEW ORLEANS PELICANS,AWAY,SAN ANTONIO SPURS,WIN,2013,9,14,0,2,12,13,4,11,8,2,1,3,1,34.4
True,2022-12-04,25,11,NEW ORLEANS PELICANS,HOME,DENVER NUGGETS,WIN,2155,9,17,0,0,7,11,1,5,4,1,1,4,0,17.8
True,2022-12-07,29,1,NEW ORLEANS PELICANS,HOME,DETROIT PISTONS,WIN,1978,11,16,0,0,7,11,2,8,5,1,1,4,1,25.2
True,2022-12-09,35,30,NEW ORLEANS PELICANS,HOME,PHOENIX SUNS,WIN,2204,13,17,0,0,9,12,1,6,4,1,0,2,0,31.4
True,2022-12-11,35,16,NEW ORLEANS PELICANS,HOME,PHOENIX SUNS,WIN,2531,14,21,2,3,5,7,1,7,3,1,0,5,3,24.8
True,2022-12-13,26,-15,NEW ORLEANS PELICANS,AWAY,UTAH JAZZ,LOSS,1541,10,16,0,2,6,10,3,6,5,2,0,4,3,21.4
True,2022-12-15,31,2,NEW ORLEANS PELICANS,AWAY,UTAH JAZZ,LOSS,2493,12,24,1,1,6,8,5,3,8,0,2,3,2,25.8
True,2022-12-17,30,2,NEW ORLEANS PELICANS,AWAY,PHOENIX SUNS,LOSS,2344,12,15,0,1,6,7,0,3,9,0,1,6,4,24.2
True,2022-12-19,18,-2,NEW ORLEANS PELICANS,HOME,MILWAUKEE BUCKS,LOSS,2408,7,16,0,0,4,8,3,4,7,3,0,5,1,13.8
True,2022-12-28,43,3,NEW ORLEANS PELICANS,HOME,MINNESOTA TIMBERWOLVES,WIN,2037,14,21,1,1,14,19,0,3,5,1,1,4,3,32.8
True,2022-12-30,36,-4,NEW ORLEANS PELICANS,HOME,PHILADELPHIA 76ERS,WIN,1858,13,19,0,0,10,16,2,3,2,0,0,3,3,25.0
True,2022-12-31,20,-16,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,LOSS,1697,6,16,0,0,8,10,3,6,1,0,0,9,3,4.8
True,2023-01-02,26,6,NEW ORLEANS PELICANS,AWAY,PHILADELPHIA 76ERS,LOSS,1690,10,12,0,0,6,8,0,6,7,0,0,5,1,22.1
