active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,11,0,NEW YORK KNICKS,AWAY,MEMPHIS GRIZZLIES,LOSS,2256,3,18,0,6,5,6,2,6,3,0,0,2,2,1.7
True,2022-10-21,18,12,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1656,8,15,0,3,2,2,0,3,4,0,1,1,2,13.3
True,2022-10-24,20,22,NEW YORK KNICKS,HOME,ORLANDO MAGIC,WIN,2268,7,19,3,7,3,4,1,5,1,0,0,3,2,8.2
True,2022-10-26,22,8,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,2311,9,21,0,5,4,4,4,4,1,0,1,4,1,11.9
True,2022-10-28,20,-8,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,2187,7,17,1,7,5,8,0,5,2,0,0,1,2,10.8
True,2022-10-30,15,-9,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,LOSS,1951,6,10,3,4,0,0,1,4,2,0,0,1,3,11.5
True,2022-11-02,19,-13,NEW YORK KNICKS,HOME,ATLANTA HAWKS,LOSS,1981,8,18,2,6,1,1,1,4,5,1,0,2,2,13.2
True,2022-11-04,22,1,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,2231,8,16,2,8,4,6,0,9,2,1,0,2,2,15.5
True,2022-11-05,27,-14,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,2192,9,15,3,5,6,6,0,4,4,1,0,6,2,18.3
True,2022-11-07,22,4,NEW YORK KNICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2208,7,18,3,7,5,6,0,5,5,2,0,1,0,17.8
True,2022-11-09,16,-22,NEW YORK KNICKS,AWAY,BROOKLYN NETS,LOSS,1814,5,14,2,4,4,8,2,4,3,1,0,3,3,8.1
