active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,14,-1,NEW YORK KNICKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1979,4,11,3,6,3,3,1,3,3,2,0,0,2,12.8
True,2022-10-21,8,-1,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1197,3,8,2,5,0,0,0,1,2,1,1,1,4,4.4
True,2022-10-24,8,8,NEW YORK KNICKS,HOME,ORLANDO MAGIC,WIN,1610,2,8,2,8,2,2,0,2,2,0,0,0,2,4.4
True,2022-10-26,14,4,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,1445,6,11,2,6,0,0,0,3,2,1,0,2,6,7.6
True,2022-10-28,11,-22,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,1205,4,12,3,7,0,0,0,4,0,0,0,2,1,3.0
True,2022-10-30,16,-3,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,LOSS,1682,6,9,3,5,1,2,0,3,1,1,0,0,2,13.5
True,2022-11-02,3,-20,NEW YORK KNICKS,HOME,ATLANTA HAWKS,LOSS,1120,1,6,1,4,0,0,0,2,1,0,0,2,3,-2.7
True,2022-11-04,2,-1,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,863,1,4,0,2,0,0,0,2,2,0,1,1,1,0.9
True,2022-11-05,3,-19,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,654,1,1,1,1,0,0,0,1,1,1,0,2,2,1.9
True,2022-11-07,2,15,NEW YORK KNICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,725,1,3,0,2,0,0,0,1,3,2,0,2,1,2.3
True,2022-11-09,6,-6,NEW YORK KNICKS,AWAY,BROOKLYN NETS,LOSS,1200,2,7,2,5,0,0,0,2,2,0,1,1,3,2.4
True,2022-11-11,3,-2,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,708,0,5,0,3,3,4,1,1,1,0,0,1,0,-0.2
True,2022-11-13,0,0,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1195,0,5,0,3,0,0,0,0,2,1,0,0,1,-1.5
True,2022-12-29,11,-9,NEW YORK KNICKS,AWAY,SAN ANTONIO SPURS,LOSS,1018,4,6,1,3,2,2,0,2,0,2,0,1,0,10.0
True,2022-12-31,8,12,NEW YORK KNICKS,AWAY,HOUSTON ROCKETS,WIN,1182,2,8,2,6,2,2,0,1,1,0,0,1,0,3.2
True,2023-01-02,5,11,NEW YORK KNICKS,HOME,PHOENIX SUNS,WIN,867,2,6,1,4,0,0,0,5,1,0,0,1,1,2.4
True,2023-01-04,6,-5,NEW YORK KNICKS,HOME,SAN ANTONIO SPURS,WIN,661,1,5,1,4,3,4,0,0,0,0,0,0,1,2.1
True,2023-01-06,4,23,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,WIN,726,2,4,0,2,0,0,0,3,2,1,0,0,3,4.1
True,2023-01-09,3,1,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,877,1,4,1,4,0,0,0,1,2,0,0,0,2,1.5
True,2023-01-22,8,-7,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,LOSS,1274,3,9,2,7,0,0,2,1,2,0,0,2,0,4.0
True,2023-02-02,5,-3,NEW YORK KNICKS,HOME,MIAMI HEAT,WIN,1091,1,7,1,6,2,2,0,2,4,1,0,0,2,4.1
True,2023-02-05,17,28,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,WIN,1438,6,11,5,8,0,0,0,1,1,1,0,0,6,11.3
True,2023-02-13,0,-5,NEW YORK KNICKS,HOME,BROOKLYN NETS,WIN,112,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-04-02,0,-7,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,WIN,402,0,1,0,1,0,0,0,2,0,0,0,2,1,-2.5
True,2023-04-05,0,-22,NEW YORK KNICKS,AWAY,INDIANA PACERS,WIN,658,0,3,0,3,0,0,0,0,1,1,0,0,1,-0.8
True,2023-04-07,8,-7,NEW YORK KNICKS,AWAY,NEW ORLEANS PELICANS,LOSS,927,3,7,2,5,0,0,0,1,0,1,0,0,0,5.6
True,2023-04-09,0,-16,NEW YORK KNICKS,HOME,INDIANA PACERS,LOSS,703,0,4,0,3,0,0,0,1,0,0,0,1,1,-3.9
