active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-02,0,6,NEW YORK KNICKS,HOME,ATLANTA HAWKS,LOSS,278,0,1,0,1,0,0,0,0,1,0,0,0,1,-0.4
True,2022-11-04,2,-20,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,901,0,1,0,1,2,2,0,1,1,0,1,0,2,2.2
True,2022-11-09,3,5,NEW YORK KNICKS,AWAY,BROOKLYN NETS,LOSS,276,1,1,1,1,0,0,0,0,0,0,0,1,0,1.7
True,2022-11-11,5,0,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,463,2,4,1,3,0,0,1,1,0,0,0,1,3,1.8
True,2022-11-13,0,-6,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,477,0,2,0,2,0,0,0,0,0,0,0,0,0,-1.4
True,2022-11-18,3,5,NEW YORK KNICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,127,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
True,2022-11-20,10,-12,NEW YORK KNICKS,AWAY,PHOENIX SUNS,LOSS,1931,4,10,1,5,1,2,0,5,8,0,1,1,2,10.2
True,2022-11-21,8,9,NEW YORK KNICKS,AWAY,OKLAHOMA CITY THUNDER,WIN,2004,4,10,0,4,0,0,1,4,1,2,0,1,5,4.2
True,2022-11-25,7,-4,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1798,3,6,1,4,0,0,2,3,5,0,1,2,5,6.5
True,2022-11-27,5,-9,NEW YORK KNICKS,HOME,MEMPHIS GRIZZLIES,LOSS,1582,2,7,1,4,0,0,0,2,4,1,0,1,4,2.7
True,2022-11-29,16,37,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,1662,6,7,3,4,1,1,2,4,2,2,0,0,3,18.3
True,2022-11-30,7,-5,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,2014,3,7,1,4,0,0,1,4,0,0,0,0,4,3.6
True,2022-12-03,9,-13,NEW YORK KNICKS,HOME,DALLAS MAVERICKS,LOSS,1768,4,7,1,3,0,0,0,2,1,2,0,2,2,6.2
True,2022-12-04,4,2,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,WIN,2428,2,8,0,4,0,0,3,3,1,2,1,4,3,0.4
True,2022-12-07,23,21,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,1870,8,11,5,7,2,2,0,4,2,0,2,3,5,17.5
True,2022-12-09,11,12,NEW YORK KNICKS,AWAY,CHARLOTTE HORNETS,WIN,1690,4,8,1,4,2,2,1,5,0,0,1,0,3,8.7
True,2022-12-11,7,9,NEW YORK KNICKS,HOME,SACRAMENTO KINGS,WIN,2544,2,8,1,4,2,2,3,3,3,1,0,0,2,7.5
True,2022-12-14,14,14,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,2219,5,8,4,7,0,1,1,4,2,1,1,2,4,11.4
True,2022-12-16,22,21,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,1733,6,10,5,9,5,6,0,2,2,1,0,0,2,19.2
True,2022-12-18,6,0,NEW YORK KNICKS,AWAY,INDIANA PACERS,WIN,1893,1,3,1,3,3,4,0,6,2,2,2,2,2,7.7
True,2022-12-20,19,33,NEW YORK KNICKS,HOME,GOLDEN STATE WARRIORS,WIN,1900,5,9,4,8,5,6,0,1,4,0,0,1,5,14.4
True,2022-12-23,8,-12,NEW YORK KNICKS,HOME,CHICAGO BULLS,LOSS,2130,3,11,2,8,0,2,1,2,1,0,1,2,4,-0.2
True,2022-12-25,10,-5,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,LOSS,2323,4,9,2,7,0,0,2,1,6,1,1,1,4,10.3
True,2022-12-27,33,-7,NEW YORK KNICKS,AWAY,DALLAS MAVERICKS,LOSS,2900,12,25,7,16,2,3,4,2,4,0,0,3,5,21.1
True,2022-12-29,9,8,NEW YORK KNICKS,AWAY,SAN ANTONIO SPURS,LOSS,2196,1,10,1,6,6,6,0,4,0,2,0,2,4,2.0
True,2022-12-31,19,10,NEW YORK KNICKS,AWAY,HOUSTON ROCKETS,WIN,2172,8,15,3,8,0,0,0,2,2,2,1,2,3,13.2
True,2023-01-02,12,10,NEW YORK KNICKS,HOME,PHOENIX SUNS,WIN,2153,5,9,2,6,0,0,0,3,5,0,1,1,0,11.8
True,2023-01-04,14,9,NEW YORK KNICKS,HOME,SAN ANTONIO SPURS,WIN,2221,5,8,3,5,1,2,0,2,1,2,0,0,2,12.5
True,2023-01-06,16,-19,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,WIN,2154,6,13,4,10,0,0,0,0,2,0,0,2,3,7.5
True,2023-01-09,4,-5,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,2011,1,7,0,3,2,2,2,6,1,2,0,0,0,5.4
True,2023-01-11,18,14,NEW YORK KNICKS,HOME,INDIANA PACERS,WIN,1825,6,11,4,8,2,2,0,5,2,2,0,2,3,14.4
True,2023-01-13,8,12,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,WIN,1957,2,10,1,7,3,3,2,2,2,1,0,1,2,4.4
True,2023-01-15,11,8,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,2247,3,9,2,6,3,4,0,4,3,0,0,2,2,6.0
True,2023-01-16,10,3,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,2375,3,5,2,4,2,2,3,4,2,1,1,0,3,12.9
True,2023-01-18,14,-12,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,LOSS,1878,5,10,3,7,1,2,1,1,1,1,0,1,0,10.3
