active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-21,0,-2,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,205,0,0,0,0,0,2,0,0,0,0,0,0,1,-1.2
True,2022-10-28,0,0,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-07,0,-3,NEW YORK KNICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-09,0,3,NEW YORK KNICKS,AWAY,BROOKLYN NETS,LOSS,366,0,2,0,2,0,0,0,0,2,0,0,0,0,0.0
True,2022-11-18,2,5,NEW YORK KNICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,151,1,3,0,1,0,0,0,1,1,0,0,0,0,1.3
True,2022-11-20,9,-10,NEW YORK KNICKS,AWAY,PHOENIX SUNS,LOSS,834,4,6,1,2,0,0,0,0,0,1,0,0,2,6.6
True,2022-11-21,3,3,NEW YORK KNICKS,AWAY,OKLAHOMA CITY THUNDER,WIN,877,1,6,0,3,1,2,0,1,2,2,0,1,2,0.7
True,2022-11-25,4,3,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,LOSS,702,2,3,0,1,0,0,0,0,2,0,0,0,1,3.7
True,2022-11-27,0,0,NEW YORK KNICKS,HOME,MEMPHIS GRIZZLIES,LOSS,43,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-11-29,2,-2,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,314,1,2,0,1,0,0,0,0,3,1,0,0,0,4.1
True,2022-12-03,1,9,NEW YORK KNICKS,HOME,DALLAS MAVERICKS,LOSS,435,0,2,0,1,1,2,0,1,3,1,0,1,0,1.6
True,2022-12-04,0,8,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,WIN,944,0,4,0,4,0,0,0,0,2,0,0,1,2,-3.2
True,2022-12-07,3,19,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,1622,1,4,1,2,0,0,1,1,6,1,0,1,1,5.4
True,2022-12-09,10,3,NEW YORK KNICKS,AWAY,CHARLOTTE HORNETS,WIN,1410,3,7,2,4,2,2,0,1,1,2,0,1,3,7.1
True,2022-12-11,5,-4,NEW YORK KNICKS,HOME,SACRAMENTO KINGS,WIN,1257,2,6,1,5,0,0,2,1,2,0,0,1,1,3.3
True,2022-12-14,6,7,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,837,2,2,2,2,0,0,0,1,1,1,0,1,2,5.6
True,2022-12-16,5,11,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,818,2,3,0,1,1,1,1,3,1,2,0,0,0,8.0
True,2022-12-18,3,0,NEW YORK KNICKS,AWAY,INDIANA PACERS,WIN,788,1,4,1,4,0,0,1,0,0,1,0,0,0,2.3
True,2022-12-20,10,18,NEW YORK KNICKS,HOME,GOLDEN STATE WARRIORS,WIN,1162,4,7,2,5,0,0,0,1,1,1,0,0,0,8.7
True,2022-12-21,5,-14,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,840,2,4,1,3,0,0,0,1,1,1,0,1,0,4.0
True,2022-12-23,2,6,NEW YORK KNICKS,HOME,CHICAGO BULLS,LOSS,592,1,3,0,2,0,0,0,0,2,0,0,0,0,1.7
True,2022-12-25,0,-6,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,LOSS,335,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2022-12-27,14,-1,NEW YORK KNICKS,AWAY,DALLAS MAVERICKS,LOSS,2766,4,14,1,9,5,6,0,1,1,2,0,0,1,8.0
True,2022-12-29,9,2,NEW YORK KNICKS,AWAY,SAN ANTONIO SPURS,LOSS,1862,3,8,2,4,1,2,0,1,2,0,0,2,4,2.3
True,2022-12-31,5,17,NEW YORK KNICKS,AWAY,HOUSTON ROCKETS,WIN,2081,1,10,1,8,2,2,1,1,1,1,0,3,2,-2.7
True,2023-01-02,3,7,NEW YORK KNICKS,HOME,PHOENIX SUNS,WIN,1075,1,2,1,2,0,0,0,0,0,0,0,1,0,1.0
True,2023-01-04,3,-10,NEW YORK KNICKS,HOME,SAN ANTONIO SPURS,WIN,604,1,2,1,1,0,0,0,0,0,0,0,0,1,1.6
True,2023-01-06,9,14,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,WIN,1275,3,6,3,5,0,0,0,1,0,0,1,0,1,6.6
True,2023-01-09,3,-11,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,864,1,3,1,3,0,0,0,0,1,1,0,0,0,3.0
True,2023-01-11,0,-1,NEW YORK KNICKS,HOME,INDIANA PACERS,WIN,382,0,2,0,1,0,0,0,0,0,1,0,0,1,-0.8
True,2023-01-13,0,-15,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,WIN,457,0,1,0,1,0,0,0,0,0,1,0,0,2,-0.5
True,2023-01-15,0,-4,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,273,0,2,0,1,0,0,0,0,0,0,0,0,1,-1.8
True,2023-01-16,0,-8,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,367,0,2,0,1,0,0,2,0,0,0,0,0,2,-0.8
True,2023-01-18,0,1,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,LOSS,633,0,2,0,1,0,0,1,1,1,1,0,0,0,1.3
True,2023-01-20,8,-1,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,LOSS,959,3,5,2,3,0,0,0,1,4,0,0,0,2,8.0
True,2023-01-22,0,-3,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,LOSS,619,0,3,0,2,0,0,1,1,2,0,0,2,1,-2.1
True,2023-01-24,3,13,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,WIN,727,1,2,0,1,1,3,0,1,3,0,0,0,3,2.4
True,2023-01-26,2,11,NEW YORK KNICKS,AWAY,BOSTON CELTICS,WIN,758,0,3,0,3,2,2,0,2,2,3,0,2,1,2.5
True,2023-01-28,2,-15,NEW YORK KNICKS,AWAY,BROOKLYN NETS,LOSS,647,1,5,0,1,0,0,0,1,0,0,0,0,1,-1.2
True,2023-01-31,0,1,NEW YORK KNICKS,HOME,LOS ANGELES LAKERS,LOSS,553,0,1,0,1,0,0,0,0,1,1,1,0,0,1.7
True,2023-02-02,8,2,NEW YORK KNICKS,HOME,MIAMI HEAT,WIN,644,3,3,2,2,0,0,0,0,2,0,0,1,0,7.5
True,2023-02-04,8,5,NEW YORK KNICKS,HOME,LOS ANGELES CLIPPERS,LOSS,664,3,6,2,3,0,0,0,3,1,1,0,0,1,7.2
True,2023-02-05,14,34,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,WIN,1357,3,8,3,6,5,6,0,3,2,0,0,1,3,9.3
True,2023-02-07,0,-7,NEW YORK KNICKS,AWAY,ORLANDO MAGIC,WIN,519,0,2,0,1,0,0,0,0,0,0,0,0,0,-1.4
True,2023-02-10,0,-8,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,LOSS,543,0,2,0,1,0,0,0,1,1,0,0,0,1,-0.8
True,2023-02-13,1,-1,NEW YORK KNICKS,HOME,BROOKLYN NETS,WIN,231,0,0,0,0,1,2,0,0,0,0,0,1,1,-0.8
True,2023-02-15,0,3,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,WIN,75,0,0,0,0,0,0,0,0,2,0,0,0,0,1.4
True,2023-02-25,0,-10,NEW YORK KNICKS,HOME,NEW ORLEANS PELICANS,WIN,242,0,1,0,1,0,0,0,2,0,0,0,0,1,-0.5
True,2023-02-27,0,0,NEW YORK KNICKS,HOME,BOSTON CELTICS,WIN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-01,0,-5,NEW YORK KNICKS,HOME,BROOKLYN NETS,WIN,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-05,0,-2,NEW YORK KNICKS,AWAY,BOSTON CELTICS,WIN,501,0,3,0,2,0,0,0,0,0,0,0,0,2,-2.9
True,2023-03-07,7,8,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,LOSS,769,3,5,1,2,0,0,0,0,0,2,2,0,0,8.1
True,2023-03-09,0,8,NEW YORK KNICKS,AWAY,SACRAMENTO KINGS,LOSS,408,0,1,0,1,0,0,1,1,3,0,0,0,1,2.0
True,2023-03-11,2,-2,NEW YORK KNICKS,AWAY,LOS ANGELES CLIPPERS,LOSS,352,0,0,0,0,2,2,0,0,0,1,1,0,1,3.3
True,2023-03-12,8,15,NEW YORK KNICKS,AWAY,LOS ANGELES LAKERS,WIN,992,3,5,2,4,0,0,2,0,1,3,0,0,1,10.4
True,2023-03-14,18,17,NEW YORK KNICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1471,6,8,4,5,2,4,0,1,3,1,2,0,1,18.4
True,2023-03-22,0,-2,NEW YORK KNICKS,AWAY,MIAMI HEAT,LOSS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-23,3,-12,NEW YORK KNICKS,AWAY,ORLANDO MAGIC,LOSS,373,1,3,1,3,0,0,0,0,1,1,0,1,0,2.0
True,2023-03-27,3,4,NEW YORK KNICKS,HOME,HOUSTON ROCKETS,WIN,1063,1,4,0,2,1,2,0,2,4,2,1,2,3,3.1
True,2023-03-31,2,11,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,623,1,1,0,0,0,0,0,0,1,0,0,0,0,2.4
True,2023-04-02,2,-13,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,WIN,537,1,4,0,2,0,0,0,0,0,0,0,0,0,-0.4
True,2023-04-05,3,-23,NEW YORK KNICKS,AWAY,INDIANA PACERS,WIN,761,1,6,0,3,1,2,0,0,3,0,0,1,3,-1.3
True,2023-04-07,7,-8,NEW YORK KNICKS,AWAY,NEW ORLEANS PELICANS,LOSS,1050,3,7,1,3,0,0,0,1,0,1,0,0,0,4.6
True,2023-04-09,5,-12,NEW YORK KNICKS,HOME,INDIANA PACERS,LOSS,736,2,4,1,2,0,0,0,0,0,0,0,0,2,2.2
