active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-21,3,0,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,109,1,1,1,1,0,0,0,2,0,0,0,0,0,3.3
True,2022-11-07,0,-3,NEW YORK KNICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-09,6,5,NEW YORK KNICKS,AWAY,BROOKLYN NETS,LOSS,193,2,2,2,2,0,1,0,0,0,0,0,1,0,4.0
True,2022-11-18,0,5,NEW YORK KNICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-20,1,0,NEW YORK KNICKS,AWAY,PHOENIX SUNS,LOSS,306,0,0,0,0,1,2,0,1,0,0,0,0,0,0.9
True,2022-11-29,0,1,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,169,0,2,0,0,0,0,0,1,0,0,0,0,0,-1.1
True,2022-12-03,3,9,NEW YORK KNICKS,HOME,DALLAS MAVERICKS,LOSS,435,1,2,1,2,0,0,0,1,0,0,0,0,0,2.3
True,2022-12-07,3,-1,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,216,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
True,2022-12-09,0,1,NEW YORK KNICKS,AWAY,CHARLOTTE HORNETS,WIN,137,0,1,0,1,0,0,0,1,0,0,0,1,1,-1.8
True,2022-12-16,0,-4,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,178,0,1,0,1,0,0,0,1,0,1,0,0,0,0.6
True,2022-12-20,5,8,NEW YORK KNICKS,HOME,GOLDEN STATE WARRIORS,WIN,368,1,2,1,2,2,2,0,0,1,0,0,0,0,4.7
True,2023-01-02,0,0,NEW YORK KNICKS,HOME,PHOENIX SUNS,WIN,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-20,0,-1,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,LOSS,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-15,12,4,CHARLOTTE HORNETS,HOME,SAN ANTONIO SPURS,WIN,1492,5,12,2,6,0,1,1,1,0,0,0,1,1,4.8
True,2023-02-24,0,-1,CHARLOTTE HORNETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,395,0,1,0,0,0,0,0,0,1,0,0,1,1,-1.4
True,2023-03-03,3,10,CHARLOTTE HORNETS,HOME,ORLANDO MAGIC,LOSS,957,1,3,0,1,1,2,0,1,2,0,0,0,0,2.6
True,2023-03-05,3,11,CHARLOTTE HORNETS,AWAY,BROOKLYN NETS,LOSS,574,1,2,1,2,0,0,0,0,0,0,0,0,1,1.6
True,2023-03-09,4,10,CHARLOTTE HORNETS,AWAY,DETROIT PISTONS,WIN,465,1,2,1,1,1,2,1,2,1,0,0,0,0,4.6
True,2023-03-11,3,5,CHARLOTTE HORNETS,HOME,UTAH JAZZ,LOSS,530,1,2,1,1,0,0,0,1,1,1,0,0,1,3.6
True,2023-03-12,9,-25,CHARLOTTE HORNETS,HOME,CLEVELAND CAVALIERS,LOSS,1205,4,8,1,2,0,0,0,0,1,0,0,1,0,4.7
True,2023-03-14,3,-1,CHARLOTTE HORNETS,HOME,CLEVELAND CAVALIERS,LOSS,443,1,2,1,2,0,0,0,0,0,0,1,0,0,2.7
True,2023-03-17,4,-6,CHARLOTTE HORNETS,HOME,PHILADELPHIA 76ERS,LOSS,526,1,5,1,3,1,3,0,1,1,0,0,0,0,1.1
True,2023-03-20,7,-11,CHARLOTTE HORNETS,HOME,INDIANA PACERS,WIN,911,2,4,2,3,1,2,1,1,2,1,0,1,1,6.6
True,2023-03-23,15,-6,CHARLOTTE HORNETS,AWAY,NEW ORLEANS PELICANS,LOSS,1771,6,12,3,8,0,0,0,2,1,1,0,1,1,9.9
True,2023-03-24,13,10,CHARLOTTE HORNETS,AWAY,DALLAS MAVERICKS,WIN,2195,3,6,3,5,4,5,1,2,3,0,0,2,5,9.0
True,2023-03-26,7,16,CHARLOTTE HORNETS,HOME,DALLAS MAVERICKS,WIN,1993,1,7,1,4,4,4,1,2,3,2,0,0,0,7.9
True,2023-03-28,18,7,CHARLOTTE HORNETS,AWAY,OKLAHOMA CITY THUNDER,WIN,2196,6,13,2,5,4,6,2,3,8,3,2,0,2,22.0
True,2023-03-31,16,-27,CHARLOTTE HORNETS,HOME,CHICAGO BULLS,LOSS,2034,7,12,2,5,0,0,0,2,5,0,1,2,1,12.8
True,2023-04-02,26,-9,CHARLOTTE HORNETS,HOME,TORONTO RAPTORS,LOSS,2009,10,17,5,9,1,1,2,2,5,2,0,3,1,22.2
True,2023-04-04,17,10,CHARLOTTE HORNETS,HOME,TORONTO RAPTORS,LOSS,2011,7,14,3,8,0,0,0,5,7,1,0,2,2,14.6
True,2023-04-07,25,-2,CHARLOTTE HORNETS,HOME,HOUSTON ROCKETS,LOSS,1867,8,21,5,14,4,6,2,3,5,1,0,5,3,13.3
True,2023-04-09,16,3,CHARLOTTE HORNETS,AWAY,CLEVELAND CAVALIERS,WIN,2102,6,18,2,10,2,2,4,3,6,2,0,3,2,11.9
