active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,-6,NEW YORK KNICKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1015,0,6,0,3,0,0,0,3,0,0,0,0,0,-3.3
True,2022-10-21,20,27,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1626,8,14,3,8,1,1,1,6,7,0,0,3,2,17.0
True,2022-10-24,0,0,NEW YORK KNICKS,HOME,ORLANDO MAGIC,WIN,1393,0,5,0,4,0,0,1,5,8,1,0,2,2,2.5
True,2022-10-26,11,-5,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,1136,3,6,2,3,3,4,1,2,3,0,0,3,1,7.6
True,2022-10-28,14,11,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,1674,5,11,2,4,2,4,1,3,3,3,1,1,1,13.5
True,2022-10-30,7,-6,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,LOSS,1147,2,7,1,4,2,3,0,3,3,0,0,1,1,4.1
True,2022-11-02,11,7,NEW YORK KNICKS,HOME,ATLANTA HAWKS,LOSS,1760,3,7,1,3,4,4,2,14,4,0,0,2,2,12.9
True,2022-11-04,4,-5,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,1272,1,7,1,4,1,1,0,6,2,2,0,4,2,-0.1
True,2022-11-05,4,-16,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,796,2,6,0,2,0,0,0,2,1,1,0,0,0,2.9
True,2022-11-07,9,15,NEW YORK KNICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1001,3,6,1,2,2,2,1,3,1,2,0,1,2,8.5
True,2022-11-09,2,-17,NEW YORK KNICKS,AWAY,BROOKLYN NETS,LOSS,1184,1,8,0,6,0,0,0,4,4,1,0,1,3,-0.4
True,2022-11-11,8,2,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1275,3,6,2,3,0,0,1,4,1,2,0,0,4,8.0
True,2022-11-13,24,5,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1403,8,17,1,4,7,8,0,1,5,3,1,0,3,21.2
True,2022-11-15,13,18,NEW YORK KNICKS,AWAY,UTAH JAZZ,WIN,1531,5,10,3,6,0,0,0,3,2,4,0,0,5,12.3
True,2022-11-16,6,11,NEW YORK KNICKS,AWAY,DENVER NUGGETS,WIN,1669,2,5,0,2,2,3,0,5,6,1,0,1,1,8.2
True,2022-11-18,6,-8,NEW YORK KNICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1603,0,5,0,3,6,6,0,6,1,2,0,3,0,4.0
True,2022-11-20,6,-1,NEW YORK KNICKS,AWAY,PHOENIX SUNS,LOSS,1680,1,6,0,2,4,4,0,1,2,0,1,2,0,2.6
True,2022-11-21,18,11,NEW YORK KNICKS,AWAY,OKLAHOMA CITY THUNDER,WIN,1512,6,8,4,5,2,2,1,2,4,1,0,0,3,18.7
True,2022-11-25,18,7,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1945,6,17,4,10,2,2,1,3,5,1,0,1,4,12.0
True,2022-11-27,6,-1,NEW YORK KNICKS,HOME,MEMPHIS GRIZZLIES,LOSS,614,2,3,1,1,1,1,1,2,2,0,0,0,0,7.4
True,2022-11-29,15,-3,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,1340,7,12,0,2,1,1,0,1,4,0,0,3,3,8.3
True,2022-11-30,4,-3,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,1090,2,9,0,5,0,0,2,4,2,0,0,0,1,2.1
True,2022-12-03,23,-13,NEW YORK KNICKS,HOME,DALLAS MAVERICKS,LOSS,1786,7,11,2,5,7,10,2,4,0,0,0,4,1,15.1
True,2022-12-04,12,13,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,WIN,1451,6,8,0,0,0,0,1,4,2,0,0,3,2,8.3
True,2022-12-07,8,7,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,1521,2,8,1,2,3,3,0,3,3,0,0,1,4,3.6
True,2022-12-09,11,11,NEW YORK KNICKS,AWAY,CHARLOTTE HORNETS,WIN,1659,4,11,3,7,0,0,1,1,4,0,0,2,2,5.9
True,2022-12-11,12,9,NEW YORK KNICKS,HOME,SACRAMENTO KINGS,WIN,1506,4,11,1,5,3,4,0,4,2,1,0,0,2,8.3
True,2022-12-14,9,6,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,2081,4,10,1,4,0,0,0,3,4,4,0,1,3,9.1
True,2022-12-16,3,6,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,1572,1,12,0,7,1,1,0,1,2,1,0,0,2,-3.1
True,2022-12-18,5,-5,NEW YORK KNICKS,AWAY,INDIANA PACERS,WIN,1343,2,8,1,2,0,0,0,1,2,1,0,0,1,2.5
True,2022-12-20,22,15,NEW YORK KNICKS,HOME,GOLDEN STATE WARRIORS,WIN,1354,6,10,5,6,5,5,0,4,2,2,1,4,3,17.5
