active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,24,7,NEW YORK KNICKS,AWAY,MEMPHIS GRIZZLIES,LOSS,2095,9,16,2,6,4,5,2,9,6,2,0,3,6,20.9
True,2022-10-21,15,-1,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1527,5,12,2,3,3,4,1,5,0,0,0,0,2,9.6
True,2022-10-24,25,4,NEW YORK KNICKS,HOME,ORLANDO MAGIC,WIN,2047,10,19,2,9,3,5,4,8,4,1,0,2,5,19.9
True,2022-10-26,17,6,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,2390,7,19,0,2,3,4,2,4,2,2,1,1,5,9.8
True,2022-10-28,14,-14,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,1874,3,10,0,2,8,9,4,8,2,1,0,3,4,10.8
True,2022-10-30,15,-8,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,LOSS,1968,5,13,0,3,5,10,0,9,7,2,0,4,5,9.5
True,2022-11-02,14,-10,NEW YORK KNICKS,HOME,ATLANTA HAWKS,LOSS,1773,4,12,0,4,6,9,2,4,2,0,1,4,2,5.9
True,2022-11-04,17,7,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,2197,6,13,1,5,4,5,3,7,5,0,1,6,1,11.9
True,2022-11-05,29,-8,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,2406,10,19,3,7,6,6,5,4,2,0,0,3,3,21.6
True,2022-11-07,31,4,NEW YORK KNICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1951,9,16,8,13,5,6,2,6,3,0,0,5,5,21.3
True,2022-11-09,24,-29,NEW YORK KNICKS,AWAY,BROOKLYN NETS,LOSS,1876,7,15,4,8,6,9,1,10,3,0,0,4,1,16.5
True,2022-11-11,21,13,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1979,8,18,0,7,5,5,4,4,5,0,0,2,5,15.1
True,2022-11-13,25,-10,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1995,7,14,3,6,8,10,3,7,3,0,0,2,3,20.3
True,2022-11-15,15,-12,NEW YORK KNICKS,AWAY,UTAH JAZZ,WIN,1873,5,11,2,6,3,3,1,4,1,0,1,4,2,7.8
True,2022-11-16,34,7,NEW YORK KNICKS,AWAY,DENVER NUGGETS,WIN,1937,11,21,3,10,9,13,3,8,4,4,0,3,3,29.2
True,2022-11-18,20,-17,NEW YORK KNICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1815,7,15,3,7,3,4,4,3,2,0,0,4,3,11.8
True,2022-11-20,9,-6,NEW YORK KNICKS,AWAY,PHOENIX SUNS,LOSS,1593,4,11,1,4,0,0,1,5,2,1,0,3,1,4.1
True,2022-11-21,25,8,NEW YORK KNICKS,AWAY,OKLAHOMA CITY THUNDER,WIN,1994,9,16,2,6,5,6,1,10,1,0,0,2,5,17.4
True,2022-11-25,23,-17,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2311,8,19,3,8,4,4,0,6,3,3,0,2,4,16.2
True,2022-11-27,14,-2,NEW YORK KNICKS,HOME,MEMPHIS GRIZZLIES,LOSS,2076,4,9,1,5,5,6,2,8,9,0,0,1,4,16.4
True,2022-11-29,36,36,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,1857,14,24,6,13,2,4,1,6,5,1,0,3,3,26.8
True,2022-11-30,18,-7,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,2328,8,24,1,8,1,1,3,5,5,0,0,1,3,9.3
True,2022-12-03,24,-11,NEW YORK KNICKS,HOME,DALLAS MAVERICKS,LOSS,1817,8,15,3,8,5,5,1,4,3,0,0,3,2,16.9
True,2022-12-04,18,0,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,WIN,2108,7,19,1,7,3,3,1,8,4,0,0,1,0,12.4
True,2022-12-07,34,29,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,1994,10,19,6,12,8,8,1,16,5,1,0,0,3,33.5
True,2022-12-09,33,17,NEW YORK KNICKS,AWAY,CHARLOTTE HORNETS,WIN,2133,9,21,4,10,11,14,1,6,2,1,1,2,3,23.1
True,2022-12-11,27,12,NEW YORK KNICKS,HOME,SACRAMENTO KINGS,WIN,1629,9,20,3,11,6,6,1,7,3,0,0,2,3,18.3
True,2022-12-14,31,1,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,2782,8,19,3,7,12,15,1,12,7,0,0,6,2,22.1
True,2022-12-16,19,21,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,2162,6,16,2,8,5,7,2,10,4,3,1,2,1,17.9
True,2022-12-18,25,5,NEW YORK KNICKS,AWAY,INDIANA PACERS,WIN,2323,7,17,2,8,9,12,3,11,3,0,0,3,4,17.6
True,2022-12-20,15,17,NEW YORK KNICKS,HOME,GOLDEN STATE WARRIORS,WIN,1797,5,12,1,6,4,7,2,10,5,0,0,3,2,11.5
True,2022-12-21,30,7,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,2406,13,17,0,3,4,9,2,11,4,0,0,2,5,24.8
True,2022-12-23,29,-9,NEW YORK KNICKS,HOME,CHICAGO BULLS,LOSS,2301,11,22,5,10,2,5,2,10,3,1,2,1,2,23.9
True,2022-12-25,35,5,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,LOSS,2407,12,24,4,9,7,7,1,7,4,2,1,1,1,29.9
True,2022-12-27,29,2,NEW YORK KNICKS,AWAY,DALLAS MAVERICKS,LOSS,2689,11,23,5,11,2,4,2,16,4,0,0,2,5,21.5
True,2022-12-29,41,-2,NEW YORK KNICKS,AWAY,SAN ANTONIO SPURS,LOSS,2570,14,27,6,13,7,11,3,8,7,1,0,4,3,31.3
True,2022-12-31,35,25,NEW YORK KNICKS,AWAY,HOUSTON ROCKETS,WIN,2315,9,20,5,13,12,16,4,8,6,0,1,1,3,30.9
True,2023-01-02,28,12,NEW YORK KNICKS,HOME,PHOENIX SUNS,WIN,2394,7,18,4,12,10,12,0,16,6,1,0,1,3,25.2
True,2023-01-04,25,9,NEW YORK KNICKS,HOME,SAN ANTONIO SPURS,WIN,2463,9,26,1,8,6,11,2,11,3,3,4,5,4,14.4
True,2023-01-06,32,2,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,WIN,2384,10,22,6,11,6,9,1,10,3,0,0,3,3,21.0
True,2023-01-09,25,2,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,2386,9,29,1,12,6,7,7,9,5,2,0,3,3,16.8
True,2023-01-11,14,9,NEW YORK KNICKS,HOME,INDIANA PACERS,WIN,2313,5,12,2,7,2,4,3,13,4,0,1,6,2,9.5
True,2023-01-13,23,12,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,WIN,2148,8,19,2,6,5,8,3,13,1,0,1,3,2,15.3
True,2023-01-15,42,14,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,2408,15,24,4,7,8,8,3,12,4,0,1,1,4,37.8
