active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,4,-7,NEW YORK KNICKS,AWAY,MEMPHIS GRIZZLIES,LOSS,760,2,3,0,0,0,1,2,0,0,0,2,0,5,3.1
True,2022-10-21,8,5,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1405,3,3,0,0,2,4,4,1,1,0,2,2,2,8.7
True,2022-10-24,14,7,NEW YORK KNICKS,HOME,ORLANDO MAGIC,WIN,1781,6,7,0,0,2,5,5,1,0,1,3,0,3,16.0
True,2022-10-26,9,8,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,2221,4,4,0,0,1,2,2,6,1,0,6,0,2,14.7
True,2022-10-28,5,-7,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,1224,2,5,0,0,1,2,5,4,1,0,2,0,5,6.7
True,2022-10-30,4,-7,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,LOSS,1246,2,6,0,0,0,0,6,1,2,1,0,2,5,3.5
True,2022-11-02,8,-15,NEW YORK KNICKS,HOME,ATLANTA HAWKS,LOSS,1106,4,5,0,0,0,0,3,9,2,1,3,1,4,12.8
True,2022-11-04,0,-2,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,706,0,0,0,0,0,0,1,1,1,0,0,0,3,0.5
True,2022-11-20,2,0,NEW YORK KNICKS,AWAY,PHOENIX SUNS,LOSS,998,1,2,0,0,0,0,0,4,0,1,2,0,1,4.2
True,2022-11-21,3,5,NEW YORK KNICKS,AWAY,OKLAHOMA CITY THUNDER,WIN,790,1,1,0,0,1,2,0,2,1,1,0,0,2,3.8
True,2022-11-25,12,7,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1385,6,7,0,0,0,2,5,3,0,0,2,1,6,11.1
True,2022-11-27,16,2,NEW YORK KNICKS,HOME,MEMPHIS GRIZZLIES,LOSS,1894,6,7,0,0,4,7,4,3,0,0,5,0,4,17.9
True,2022-11-29,6,31,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,1574,3,6,0,0,0,0,5,8,2,2,1,2,1,10.6
True,2022-11-30,15,4,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,1985,7,9,0,0,1,2,11,9,1,0,1,0,2,22.1
True,2022-12-03,2,-15,NEW YORK KNICKS,HOME,DALLAS MAVERICKS,LOSS,1357,1,2,0,0,0,2,2,4,0,0,1,1,2,1.7
True,2022-12-04,5,-7,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,WIN,2013,2,2,0,0,1,2,3,8,0,3,1,1,3,10.0
True,2022-12-07,8,17,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,1553,4,4,0,0,0,0,9,1,2,0,0,0,0,14.8
True,2022-12-09,6,6,NEW YORK KNICKS,AWAY,CHARLOTTE HORNETS,WIN,1797,3,7,0,0,0,0,7,6,0,1,3,0,2,11.3
True,2022-12-11,12,-3,NEW YORK KNICKS,HOME,SACRAMENTO KINGS,WIN,1164,5,5,0,0,2,2,4,5,0,0,2,2,6,11.8
True,2022-12-14,8,7,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,2140,4,8,0,0,0,0,6,4,1,0,2,0,2,10.7
True,2022-12-16,6,25,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,1669,2,3,0,0,2,2,4,5,2,2,1,1,2,11.3
True,2022-12-18,10,5,NEW YORK KNICKS,AWAY,INDIANA PACERS,WIN,1910,4,5,0,0,2,4,5,8,1,1,4,1,3,15.5
True,2022-12-20,9,19,NEW YORK KNICKS,HOME,GOLDEN STATE WARRIORS,WIN,1739,3,3,0,0,3,4,5,6,1,3,0,1,1,15.3
True,2022-12-21,10,9,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,1509,4,4,0,0,2,2,2,1,1,0,3,0,2,12.5
True,2022-12-23,2,-9,NEW YORK KNICKS,HOME,CHICAGO BULLS,LOSS,1731,1,3,0,0,0,0,3,3,1,0,0,0,3,2.8
True,2022-12-25,10,7,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,LOSS,1850,4,5,0,0,2,2,7,9,4,1,3,1,3,19.4
True,2022-12-27,20,-3,NEW YORK KNICKS,AWAY,DALLAS MAVERICKS,LOSS,2167,8,9,0,0,4,8,7,9,1,2,0,0,3,24.4
True,2022-12-29,0,9,NEW YORK KNICKS,AWAY,SAN ANTONIO SPURS,LOSS,1673,0,2,0,0,0,0,3,3,2,0,1,0,3,2.5
True,2022-12-31,6,24,NEW YORK KNICKS,AWAY,HOUSTON ROCKETS,WIN,1990,2,4,0,0,2,4,6,6,1,3,3,0,5,13.0
True,2023-01-02,10,27,NEW YORK KNICKS,HOME,PHOENIX SUNS,WIN,2089,5,7,0,0,0,0,4,6,2,0,1,0,1,13.4
True,2023-01-04,4,-1,NEW YORK KNICKS,HOME,SAN ANTONIO SPURS,WIN,809,2,3,0,0,0,0,1,4,0,0,0,0,5,2.6
True,2023-01-06,10,-1,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,WIN,2088,4,8,0,0,2,4,8,10,0,0,2,0,6,12.8
True,2023-01-09,2,-1,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,2249,1,4,0,0,0,0,3,5,3,2,1,1,3,5.8
True,2023-01-11,10,3,NEW YORK KNICKS,HOME,INDIANA PACERS,WIN,2251,3,4,0,0,4,6,5,4,1,5,2,0,2,18.6
True,2023-01-13,4,-7,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,WIN,1704,2,4,0,0,0,2,5,5,0,0,3,0,6,5.9
True,2023-01-15,4,14,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,2047,2,6,0,0,0,0,6,6,0,2,3,0,1,10.3
True,2023-01-16,11,-7,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,2201,5,8,0,0,1,2,5,3,2,0,1,1,2,11.7
True,2023-01-18,0,-12,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,LOSS,544,0,0,0,0,0,4,2,0,0,2,2,0,0,3.2
True,2023-02-24,10,13,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,WIN,1674,5,6,0,0,0,0,4,8,0,1,1,0,4,13.1
True,2023-02-25,11,19,NEW YORK KNICKS,HOME,NEW ORLEANS PELICANS,WIN,1683,5,5,0,0,1,2,3,10,0,0,1,2,4,11.3
True,2023-02-27,10,7,NEW YORK KNICKS,HOME,BOSTON CELTICS,WIN,1901,5,5,0,0,0,4,2,11,0,2,2,1,1,13.6
True,2023-03-01,13,12,NEW YORK KNICKS,HOME,BROOKLYN NETS,WIN,1537,6,6,0,0,1,3,3,7,1,1,1,0,2,16.2
True,2023-03-03,2,-23,NEW YORK KNICKS,AWAY,MIAMI HEAT,WIN,1957,1,1,0,0,0,0,2,3,0,2,1,1,4,4.1
True,2023-03-05,13,-1,NEW YORK KNICKS,AWAY,BOSTON CELTICS,WIN,2637,5,8,0,0,3,6,7,7,0,1,0,3,3,12.0
True,2023-03-07,14,-8,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,LOSS,1901,7,8,0,0,0,0,3,5,0,1,1,2,3,13.3
True,2023-03-09,9,-11,NEW YORK KNICKS,AWAY,SACRAMENTO KINGS,LOSS,1173,4,6,0,0,1,2,6,2,1,0,0,0,4,9.9
True,2023-03-11,6,-10,NEW YORK KNICKS,AWAY,LOS ANGELES CLIPPERS,LOSS,1681,2,8,0,0,2,2,8,6,1,1,2,1,0,10.7
True,2023-03-12,4,-15,NEW YORK KNICKS,AWAY,LOS ANGELES LAKERS,WIN,1456,2,4,0,0,0,0,4,1,0,1,1,1,2,5.0
True,2023-03-14,2,-4,NEW YORK KNICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1287,1,2,0,0,0,2,2,2,0,1,1,0,0,3.9
True,2023-03-18,8,11,NEW YORK KNICKS,HOME,DENVER NUGGETS,WIN,1587,3,4,0,0,2,2,7,2,3,1,1,1,2,13.9
True,2023-03-20,0,0,NEW YORK KNICKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1671,0,1,0,0,0,0,3,6,0,2,2,2,1,4.2
True,2023-03-22,10,2,NEW YORK KNICKS,AWAY,MIAMI HEAT,LOSS,1491,4,4,0,0,2,4,4,4,1,0,3,0,5,12.8
True,2023-03-23,2,-3,NEW YORK KNICKS,AWAY,ORLANDO MAGIC,LOSS,1838,1,1,0,0,0,0,6,6,0,1,3,2,0,8.8
True,2023-03-27,3,1,NEW YORK KNICKS,HOME,HOUSTON ROCKETS,WIN,1182,1,1,0,0,1,2,1,5,0,0,3,0,3,5.4
True,2023-03-29,2,-3,NEW YORK KNICKS,HOME,MIAMI HEAT,WIN,1143,1,3,0,0,0,0,3,3,1,0,1,1,1,3.3
True,2023-03-31,10,-1,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1335,4,5,0,0,2,3,9,5,1,2,2,1,1,18.2
True,2023-04-02,8,16,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,WIN,1555,3,4,0,0,2,2,4,7,4,2,1,0,2,16.0
True,2023-04-05,14,27,NEW YORK KNICKS,AWAY,INDIANA PACERS,WIN,1827,6,13,0,0,2,7,7,9,1,2,7,2,5,16.5
True,2023-04-09,9,18,NEW YORK KNICKS,HOME,INDIANA PACERS,LOSS,1631,4,10,0,0,1,4,14,6,2,1,7,3,2,17.5
