active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-21,0,-2,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,205,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-10-28,0,1,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-04,0,-12,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,294,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7
True,2022-11-05,2,-7,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,152,1,1,0,0,0,0,0,0,0,0,1,0,1,2.0
True,2022-11-07,4,0,NEW YORK KNICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1012,2,2,0,0,0,0,1,3,0,0,1,1,5,2.7
True,2022-11-09,7,-7,NEW YORK KNICKS,AWAY,BROOKLYN NETS,LOSS,1597,3,3,0,0,1,2,3,3,0,1,3,0,3,10.6
True,2022-11-11,2,1,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,487,1,1,0,0,0,0,2,2,0,0,1,1,4,1.8
True,2022-11-13,8,9,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1507,4,4,0,0,0,0,3,5,1,0,0,0,2,10.3
True,2022-11-15,11,-3,NEW YORK KNICKS,AWAY,UTAH JAZZ,WIN,1474,5,7,0,0,1,1,8,5,2,1,0,0,5,15.6
True,2022-11-16,4,-2,NEW YORK KNICKS,AWAY,DENVER NUGGETS,WIN,1128,2,3,0,0,0,0,1,5,2,3,2,0,0,10.7
True,2022-11-18,10,3,NEW YORK KNICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1635,4,7,0,0,2,2,5,5,0,0,3,2,3,10.6
True,2022-11-20,5,-10,NEW YORK KNICKS,AWAY,PHOENIX SUNS,LOSS,960,1,2,0,0,3,4,3,2,1,0,1,1,3,5.5
True,2022-11-21,6,-1,NEW YORK KNICKS,AWAY,OKLAHOMA CITY THUNDER,WIN,912,3,5,0,0,0,0,3,4,0,0,1,1,3,5.5
True,2022-11-25,5,-7,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,LOSS,756,2,3,0,0,1,1,2,0,0,0,2,0,2,5.7
True,2022-11-29,6,1,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,375,3,3,0,0,0,0,2,4,1,0,0,1,0,7.4
True,2022-12-03,2,3,NEW YORK KNICKS,HOME,DALLAS MAVERICKS,LOSS,507,1,1,0,0,0,0,0,3,0,0,0,0,1,2.2
True,2022-12-07,4,1,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,300,2,2,0,0,0,0,0,2,0,0,0,1,1,2.6
True,2022-12-09,2,2,NEW YORK KNICKS,AWAY,CHARLOTTE HORNETS,WIN,747,1,2,0,0,0,0,1,1,1,0,0,0,1,2.3
True,2022-12-11,0,-1,NEW YORK KNICKS,HOME,SACRAMENTO KINGS,WIN,490,0,0,0,0,0,0,1,3,0,0,0,0,1,1.2
True,2022-12-14,2,7,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,491,1,1,0,0,0,0,0,0,0,0,1,0,1,2.0
True,2022-12-16,4,-3,NEW YORK KNICKS,AWAY,CHICAGO BULLS,WIN,932,2,2,0,0,0,0,2,1,0,0,0,0,1,4.7
True,2022-12-18,4,-2,NEW YORK KNICKS,AWAY,INDIANA PACERS,WIN,557,2,3,0,0,0,0,1,1,0,0,0,1,1,2.3
True,2022-12-20,8,19,NEW YORK KNICKS,HOME,GOLDEN STATE WARRIORS,WIN,1088,4,4,0,0,0,0,3,4,0,0,0,1,0,9.1
True,2022-12-21,0,-11,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,617,0,0,0,0,0,0,2,2,0,0,0,0,3,0.8
True,2022-12-23,0,8,NEW YORK KNICKS,HOME,CHICAGO BULLS,LOSS,579,0,0,0,0,0,0,2,3,0,1,0,0,0,3.3
True,2022-12-25,4,-15,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,LOSS,731,2,2,0,0,0,0,2,2,0,0,0,0,4,3.8
True,2022-12-27,2,-1,NEW YORK KNICKS,AWAY,DALLAS MAVERICKS,LOSS,807,1,2,0,0,0,0,3,5,0,0,0,1,3,2.4
True,2022-12-29,2,-4,NEW YORK KNICKS,AWAY,SAN ANTONIO SPURS,LOSS,632,1,1,0,0,0,0,1,1,1,0,1,0,0,4.1
True,2022-12-31,4,-5,NEW YORK KNICKS,AWAY,HOUSTON ROCKETS,WIN,565,2,2,0,0,0,0,2,5,0,0,0,0,0,6.3
True,2023-01-02,2,4,NEW YORK KNICKS,HOME,PHOENIX SUNS,WIN,520,1,1,0,0,0,0,0,1,1,0,0,0,0,2.7
True,2023-01-04,4,-4,NEW YORK KNICKS,HOME,SAN ANTONIO SPURS,WIN,1321,2,4,0,0,0,0,3,4,1,0,2,1,3,5.2
True,2023-01-06,0,2,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,WIN,251,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2023-01-18,2,4,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,LOSS,1255,1,2,0,0,0,0,2,2,2,0,2,0,6,3.4
True,2023-01-20,12,-3,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,LOSS,1699,6,6,0,0,0,0,3,5,0,2,0,1,0,14.8
True,2023-01-22,10,-6,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,LOSS,1995,5,5,0,0,0,0,2,5,3,0,1,1,2,12.4
True,2023-01-24,2,-9,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,WIN,1512,1,1,0,0,0,0,1,3,0,0,0,2,1,0.9
True,2023-01-26,2,-8,NEW YORK KNICKS,AWAY,BOSTON CELTICS,WIN,2151,1,1,0,0,0,0,4,10,0,0,1,1,3,6.0
True,2023-01-28,6,-3,NEW YORK KNICKS,AWAY,BROOKLYN NETS,LOSS,1630,3,3,0,0,0,0,5,5,0,1,1,1,1,10.4
