active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,2,-7,NEW YORK KNICKS,AWAY,MEMPHIS GRIZZLIES,LOSS,809,1,3,0,0,0,0,0,3,1,0,0,1,1,0.5
True,2022-10-21,16,25,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1244,7,12,2,5,0,0,1,3,3,0,1,0,1,14.4
True,2022-10-24,10,9,NEW YORK KNICKS,HOME,ORLANDO MAGIC,WIN,833,4,6,0,1,2,2,2,2,1,1,0,1,0,10.1
True,2022-10-26,9,-3,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,790,3,6,3,4,0,0,1,2,2,0,0,0,1,8.3
True,2022-10-28,11,3,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,1006,4,7,3,5,0,0,0,3,2,0,0,0,0,10.0
True,2022-10-30,9,-5,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,LOSS,912,4,7,1,3,0,0,0,4,0,0,0,3,2,3.1
True,2022-11-02,12,-3,NEW YORK KNICKS,HOME,ATLANTA HAWKS,LOSS,1107,5,13,2,6,0,0,2,1,0,0,0,0,0,6.6
True,2022-11-04,17,6,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,1214,6,10,3,6,2,2,0,3,0,0,0,3,2,9.5
True,2022-11-05,7,-22,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,895,3,9,1,5,0,0,2,4,0,1,1,0,1,5.8
True,2022-11-07,15,13,NEW YORK KNICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1546,4,10,3,8,4,4,1,6,3,4,0,2,1,15.8
True,2022-11-09,5,-19,NEW YORK KNICKS,AWAY,BROOKLYN NETS,LOSS,1246,2,7,0,2,1,1,1,3,1,1,0,0,0,4.2
True,2022-11-11,8,-5,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1343,3,9,2,7,0,0,1,4,1,1,1,1,2,5.4
True,2022-11-13,10,0,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,885,4,5,2,3,0,0,0,2,0,0,0,3,1,5.3
True,2022-11-15,9,23,NEW YORK KNICKS,AWAY,UTAH JAZZ,WIN,1083,3,4,3,4,0,0,1,5,4,0,0,0,1,12.0
True,2022-11-16,7,7,NEW YORK KNICKS,AWAY,DENVER NUGGETS,WIN,1388,3,8,1,5,0,0,0,3,0,0,0,1,0,2.5
True,2022-11-18,1,-2,NEW YORK KNICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1139,0,5,0,3,1,2,0,5,0,0,1,1,3,-2.9
True,2022-11-20,0,-15,NEW YORK KNICKS,AWAY,PHOENIX SUNS,LOSS,981,0,4,0,2,0,0,0,3,1,0,0,0,1,-1.6
True,2022-11-21,5,4,NEW YORK KNICKS,AWAY,OKLAHOMA CITY THUNDER,WIN,1059,2,11,1,5,0,0,1,2,1,1,0,0,4,-0.5
True,2022-11-25,3,14,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,LOSS,869,1,3,1,3,0,0,0,2,1,0,0,0,2,1.8
True,2022-11-27,9,-2,NEW YORK KNICKS,HOME,MEMPHIS GRIZZLIES,LOSS,876,4,8,1,4,0,0,1,2,0,0,1,1,1,5.6
True,2022-11-29,8,-8,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,1093,3,4,2,3,0,0,0,3,2,0,0,0,0,8.7
True,2022-11-30,7,-2,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,836,2,5,2,5,1,2,0,3,0,0,0,1,2,3.0
True,2022-12-03,4,-14,NEW YORK KNICKS,HOME,DALLAS MAVERICKS,LOSS,1317,1,5,0,2,2,2,0,7,1,1,0,1,1,3.3
True,2022-12-04,5,13,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,WIN,778,2,7,0,3,1,2,0,4,2,0,0,0,1,2.7
True,2022-12-07,3,-5,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,452,1,3,1,3,0,0,0,1,0,0,0,0,0,1.6
True,2023-01-09,3,-6,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,494,1,3,1,2,0,0,0,0,0,1,0,0,0,2.3
True,2023-01-11,5,-3,NEW YORK KNICKS,HOME,INDIANA PACERS,WIN,567,1,3,1,3,2,2,0,2,2,1,0,0,1,5.9
True,2023-01-13,0,-8,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,WIN,732,0,2,0,2,0,0,0,0,1,0,1,1,1,-1.4
True,2023-01-15,0,5,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,564,0,5,0,2,0,0,3,3,1,0,0,0,0,0.2
True,2023-01-16,5,-3,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,660,2,4,1,1,0,0,0,2,0,1,0,0,2,3.8
True,2023-01-18,0,0,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,LOSS,836,0,1,0,0,0,0,1,4,0,0,0,0,0,1.2
True,2023-01-20,7,-10,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,LOSS,984,3,7,1,4,0,0,0,3,2,0,0,0,0,5.6
True,2023-01-22,14,-5,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,LOSS,631,5,7,4,5,0,0,0,1,1,1,0,0,2,12.3
True,2023-01-24,11,12,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,WIN,622,4,6,2,3,1,2,0,3,0,0,0,0,0,8.9
True,2023-01-26,5,19,NEW YORK KNICKS,AWAY,BOSTON CELTICS,WIN,966,2,4,1,2,0,0,0,2,0,0,0,0,0,3.6
True,2023-01-28,4,-13,NEW YORK KNICKS,AWAY,BROOKLYN NETS,LOSS,586,1,2,0,0,2,2,0,0,0,0,0,0,1,2.6
True,2023-01-31,3,3,NEW YORK KNICKS,HOME,LOS ANGELES LAKERS,LOSS,599,1,2,1,2,0,0,0,5,0,0,0,1,2,1.7
True,2023-02-02,7,-12,NEW YORK KNICKS,HOME,MIAMI HEAT,WIN,820,3,6,1,4,0,0,0,2,0,0,0,0,1,4.2
True,2023-02-04,8,5,NEW YORK KNICKS,HOME,LOS ANGELES CLIPPERS,LOSS,736,3,4,2,3,0,0,0,1,1,0,0,0,1,7.0
True,2023-02-05,4,17,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,WIN,832,1,3,1,3,1,2,0,4,0,0,0,0,0,3.1
True,2023-02-07,3,-5,NEW YORK KNICKS,AWAY,ORLANDO MAGIC,WIN,834,0,6,0,4,3,4,3,3,1,0,0,0,2,1.3
True,2023-02-10,2,-5,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,LOSS,687,1,4,0,3,0,0,0,1,2,0,0,0,2,0.5
True,2023-02-11,2,2,NEW YORK KNICKS,HOME,UTAH JAZZ,WIN,542,1,4,0,3,0,2,0,0,0,0,0,0,0,-1.2
True,2023-02-13,2,4,NEW YORK KNICKS,HOME,BROOKLYN NETS,WIN,940,1,4,0,2,0,0,0,1,1,0,1,0,1,0.9
True,2023-02-15,11,1,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,WIN,790,4,7,3,6,0,0,0,1,0,0,0,0,1,7.6
True,2023-02-24,2,-2,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,WIN,709,1,4,0,1,0,0,0,2,0,1,0,1,1,-0.2
True,2023-02-25,3,-4,NEW YORK KNICKS,HOME,NEW ORLEANS PELICANS,WIN,924,1,5,1,5,0,0,0,2,0,0,1,2,2,-1.6
True,2023-02-27,9,7,NEW YORK KNICKS,HOME,BOSTON CELTICS,WIN,727,3,4,1,2,2,2,2,2,0,0,0,1,1,8.0
True,2023-03-01,2,-3,NEW YORK KNICKS,HOME,BROOKLYN NETS,WIN,776,1,4,0,2,0,0,0,1,1,1,0,2,1,-0.8
True,2023-03-03,2,1,NEW YORK KNICKS,AWAY,MIAMI HEAT,WIN,733,1,5,0,3,0,0,1,0,2,0,1,0,1,1.3
True,2023-03-05,6,10,NEW YORK KNICKS,AWAY,BOSTON CELTICS,WIN,689,2,3,0,1,2,2,0,1,1,0,0,1,1,4.3
