active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,-14,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,LOSS,545,0,3,0,2,0,0,0,1,0,0,0,0,0,-1.8
True,2022-10-22,0,1,OKLAHOMA CITY THUNDER,AWAY,DENVER NUGGETS,LOSS,423,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.4
True,2022-10-23,5,15,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,LOSS,1407,2,6,1,3,0,0,1,5,3,1,2,1,2,6.5
True,2022-10-25,2,-9,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,619,1,4,0,3,0,0,0,1,1,0,0,0,0,0.6
True,2022-10-27,2,-10,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,763,1,3,0,2,0,0,0,0,1,0,0,0,1,0.6
True,2022-11-01,8,12,OKLAHOMA CITY THUNDER,HOME,ORLANDO MAGIC,WIN,1034,3,4,2,3,0,0,0,4,2,0,0,1,1,7.6
True,2022-11-03,3,0,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,LOSS,724,1,3,0,2,1,2,1,2,1,0,0,1,1,1.5
True,2022-11-05,8,11,OKLAHOMA CITY THUNDER,AWAY,MILWAUKEE BUCKS,LOSS,1339,3,4,2,3,0,0,1,3,5,0,0,0,0,11.5
True,2022-11-07,2,8,OKLAHOMA CITY THUNDER,AWAY,DETROIT PISTONS,LOSS,1229,1,7,0,4,0,0,0,1,2,0,0,0,0,-0.8
True,2022-11-26,0,-6,OKLAHOMA CITY THUNDER,AWAY,HOUSTON ROCKETS,LOSS,1269,0,4,0,4,0,0,1,2,2,0,0,1,0,-1.1
True,2022-11-28,6,-1,OKLAHOMA CITY THUNDER,AWAY,NEW ORLEANS PELICANS,LOSS,683,2,4,2,3,0,0,0,3,0,1,2,1,2,5.5
True,2022-11-30,10,7,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,1359,5,6,0,1,0,2,0,7,1,0,0,0,2,9.0
True,2022-12-03,0,2,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,WIN,664,0,1,0,0,0,0,0,2,1,2,0,0,0,2.6
True,2022-12-05,15,-1,OKLAHOMA CITY THUNDER,AWAY,ATLANTA HAWKS,WIN,1115,6,8,3,4,0,0,2,3,1,1,0,2,3,12.6
True,2023-01-25,5,-23,OKLAHOMA CITY THUNDER,HOME,ATLANTA HAWKS,LOSS,639,2,3,1,2,0,0,1,1,1,0,0,0,1,5.0
True,2023-01-27,0,-11,OKLAHOMA CITY THUNDER,HOME,CLEVELAND CAVALIERS,WIN,605,0,0,0,0,0,0,1,0,1,0,0,2,3,-1.8
