active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,10,1,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1954,3,12,1,6,3,4,3,3,2,1,0,1,3,5.6
True,2022-10-22,13,-6,OKLAHOMA CITY THUNDER,AWAY,DENVER NUGGETS,LOSS,1801,3,13,1,7,6,8,3,4,4,3,0,2,5,9.4
True,2022-10-23,20,-29,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,LOSS,1794,6,15,2,7,6,6,1,2,2,2,0,2,1,14.2
True,2022-10-25,4,25,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,1555,1,11,0,6,2,2,0,2,0,0,0,0,2,-3.5
True,2022-10-27,21,18,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,2051,9,15,1,5,2,2,1,2,4,2,0,1,4,17.6
True,2022-10-29,16,23,OKLAHOMA CITY THUNDER,AWAY,DALLAS MAVERICKS,WIN,2417,6,12,1,4,3,6,1,5,2,2,0,1,5,11.4
True,2022-11-01,14,-3,OKLAHOMA CITY THUNDER,HOME,ORLANDO MAGIC,WIN,1897,5,16,3,8,1,2,0,0,2,1,1,0,4,5.9
True,2022-11-03,19,-4,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,LOSS,1836,8,15,1,6,2,3,0,3,1,1,1,0,2,13.8
True,2022-11-05,3,-16,OKLAHOMA CITY THUNDER,AWAY,MILWAUKEE BUCKS,LOSS,1468,1,5,0,2,1,2,0,4,7,1,0,2,2,3.8
True,2022-11-07,7,-18,OKLAHOMA CITY THUNDER,AWAY,DETROIT PISTONS,LOSS,1556,3,12,1,6,0,0,2,3,2,2,1,2,5,2.2
True,2022-11-09,12,1,OKLAHOMA CITY THUNDER,HOME,MILWAUKEE BUCKS,LOSS,2402,5,14,2,6,0,0,2,5,3,4,0,0,4,11.6
True,2022-11-11,13,16,OKLAHOMA CITY THUNDER,HOME,TORONTO RAPTORS,WIN,1378,4,7,3,4,2,3,5,2,2,0,0,0,3,13.6
True,2022-11-13,24,-7,OKLAHOMA CITY THUNDER,AWAY,NEW YORK KNICKS,WIN,1467,8,11,2,5,6,6,0,3,0,0,1,1,5,18.1
True,2022-11-14,21,5,OKLAHOMA CITY THUNDER,AWAY,BOSTON CELTICS,LOSS,2124,7,18,3,7,4,5,2,3,1,0,0,3,3,9.6
True,2022-11-16,16,-4,OKLAHOMA CITY THUNDER,AWAY,WASHINGTON WIZARDS,WIN,2015,6,12,3,6,1,3,1,1,3,1,1,2,2,11.2
True,2022-11-18,4,-11,OKLAHOMA CITY THUNDER,AWAY,MEMPHIS GRIZZLIES,LOSS,1604,2,8,0,2,0,0,3,4,1,1,0,0,5,2.2
True,2022-11-21,24,-7,OKLAHOMA CITY THUNDER,HOME,NEW YORK KNICKS,LOSS,1903,9,14,3,4,3,4,4,4,3,1,1,1,4,22.6
True,2022-11-23,18,1,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,LOSS,2219,7,16,3,7,1,2,1,6,1,0,0,1,3,10.2
True,2022-11-25,12,2,OKLAHOMA CITY THUNDER,HOME,CHICAGO BULLS,WIN,2053,2,8,1,4,7,8,1,4,0,2,0,3,5,5.7
True,2022-11-26,3,-2,OKLAHOMA CITY THUNDER,AWAY,HOUSTON ROCKETS,LOSS,831,1,4,1,4,0,0,1,2,2,1,0,0,1,3.9
True,2022-11-28,14,-4,OKLAHOMA CITY THUNDER,AWAY,NEW ORLEANS PELICANS,LOSS,1919,6,13,2,5,0,0,2,1,5,2,0,2,3,11.3
True,2022-11-30,23,11,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,2012,7,15,3,7,6,6,1,0,4,0,2,2,2,17.4
True,2022-12-03,18,-7,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,WIN,1899,6,12,3,4,3,5,2,2,3,1,0,6,3,9.1
True,2022-12-05,11,-2,OKLAHOMA CITY THUNDER,AWAY,ATLANTA HAWKS,WIN,1909,4,16,1,6,2,2,2,8,2,0,1,3,3,3.1
True,2022-12-10,7,-10,OKLAHOMA CITY THUNDER,AWAY,CLEVELAND CAVALIERS,LOSS,1295,3,10,1,6,0,0,1,0,1,0,0,1,3,0.4
True,2022-12-12,12,6,OKLAHOMA CITY THUNDER,AWAY,DALLAS MAVERICKS,LOSS,2055,3,11,1,6,5,6,4,3,3,0,0,4,5,4.9
True,2022-12-14,18,11,OKLAHOMA CITY THUNDER,HOME,MIAMI HEAT,LOSS,2014,6,12,4,7,2,4,1,2,4,1,0,1,2,14.5
True,2022-12-16,3,-15,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,LOSS,1409,1,7,1,5,0,0,1,0,4,0,1,2,2,-0.1
True,2022-12-17,24,-5,OKLAHOMA CITY THUNDER,HOME,MEMPHIS GRIZZLIES,WIN,1849,8,14,3,4,5,8,1,6,4,1,0,1,3,20.3
True,2022-12-19,13,-9,OKLAHOMA CITY THUNDER,HOME,PORTLAND TRAIL BLAZERS,WIN,1873,3,8,0,2,7,8,2,1,0,1,0,2,5,6.9
True,2022-12-21,14,5,OKLAHOMA CITY THUNDER,HOME,PORTLAND TRAIL BLAZERS,WIN,2308,5,11,2,6,2,2,0,3,3,1,1,3,2,9.2
True,2022-12-23,10,-5,OKLAHOMA CITY THUNDER,HOME,NEW ORLEANS PELICANS,LOSS,2390,3,10,0,4,4,7,0,2,2,0,0,2,2,2.2
True,2022-12-27,9,-2,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,1332,4,9,1,4,0,0,0,1,1,1,0,0,3,5.1
