active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,14,3,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2031,6,14,2,7,0,0,1,10,4,0,2,4,4,8.9
True,2022-10-22,19,-17,OKLAHOMA CITY THUNDER,AWAY,DENVER NUGGETS,LOSS,1964,8,17,2,4,1,2,4,8,6,1,1,1,2,19.2
True,2022-10-23,10,-15,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,LOSS,1302,5,11,0,2,0,0,0,2,5,0,0,4,2,3.6
True,2022-11-01,7,-1,OKLAHOMA CITY THUNDER,HOME,ORLANDO MAGIC,WIN,1503,3,12,0,3,1,1,0,1,10,1,1,2,2,6.0
True,2022-11-03,16,-10,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,LOSS,1914,7,14,2,4,0,0,0,1,5,1,0,4,3,8.6
True,2022-11-05,15,-12,OKLAHOMA CITY THUNDER,AWAY,MILWAUKEE BUCKS,LOSS,1562,6,14,2,3,1,1,1,5,2,0,0,4,1,6.8
True,2022-11-07,9,-12,OKLAHOMA CITY THUNDER,AWAY,DETROIT PISTONS,LOSS,1492,4,12,0,1,1,2,1,5,2,0,1,3,2,2.3
True,2022-11-09,18,-8,OKLAHOMA CITY THUNDER,HOME,MILWAUKEE BUCKS,LOSS,2650,9,19,0,4,0,2,5,10,6,0,0,1,1,16.8
True,2022-11-11,15,8,OKLAHOMA CITY THUNDER,HOME,TORONTO RAPTORS,WIN,1357,6,9,1,1,2,2,3,6,5,2,0,7,3,12.3
True,2022-11-13,24,15,OKLAHOMA CITY THUNDER,AWAY,NEW YORK KNICKS,WIN,2201,10,14,2,3,2,2,1,9,12,0,0,3,1,26.6
True,2022-11-14,16,6,OKLAHOMA CITY THUNDER,AWAY,BOSTON CELTICS,LOSS,2009,6,17,1,6,3,3,0,7,4,0,1,7,3,3.9
True,2022-11-16,11,-23,OKLAHOMA CITY THUNDER,AWAY,WASHINGTON WIZARDS,WIN,1228,5,11,1,3,0,0,0,6,2,0,0,2,4,4.9
True,2022-11-18,20,-13,OKLAHOMA CITY THUNDER,AWAY,MEMPHIS GRIZZLIES,LOSS,2210,10,20,0,4,0,1,1,5,11,0,1,3,4,15.6
True,2022-11-21,18,-2,OKLAHOMA CITY THUNDER,HOME,NEW YORK KNICKS,LOSS,2025,8,15,0,2,2,2,3,6,7,1,0,3,1,17.1
True,2022-11-23,12,-12,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,LOSS,1718,5,12,1,4,1,2,2,2,6,0,0,3,1,8.0
True,2022-11-25,10,-2,OKLAHOMA CITY THUNDER,HOME,CHICAGO BULLS,WIN,2250,5,13,0,1,0,0,2,11,9,0,1,5,0,9.6
True,2022-11-26,18,-26,OKLAHOMA CITY THUNDER,AWAY,HOUSTON ROCKETS,LOSS,1683,7,14,0,1,4,7,3,2,2,1,0,4,4,9.3
True,2022-11-28,7,-5,OKLAHOMA CITY THUNDER,AWAY,NEW ORLEANS PELICANS,LOSS,1687,3,9,0,1,1,1,1,4,1,1,0,3,4,0.9
True,2022-11-30,14,6,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,1954,7,18,0,1,0,0,5,9,5,2,0,0,1,15.5
True,2022-12-03,21,8,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,WIN,1984,8,16,3,7,2,3,1,11,7,2,2,4,4,19.3
True,2022-12-05,17,6,OKLAHOMA CITY THUNDER,AWAY,ATLANTA HAWKS,WIN,1674,5,12,2,4,5,5,0,5,4,1,1,1,1,15.2
True,2022-12-07,10,-23,OKLAHOMA CITY THUNDER,AWAY,MEMPHIS GRIZZLIES,LOSS,1610,4,13,2,3,0,0,3,7,4,1,0,3,0,7.5
True,2022-12-10,17,-6,OKLAHOMA CITY THUNDER,AWAY,CLEVELAND CAVALIERS,LOSS,2301,7,16,1,4,2,2,1,12,6,1,1,2,2,16.0
True,2022-12-12,14,-18,OKLAHOMA CITY THUNDER,AWAY,DALLAS MAVERICKS,LOSS,1857,6,13,2,2,0,0,2,3,4,1,0,4,1,9.0
True,2022-12-14,19,15,OKLAHOMA CITY THUNDER,HOME,MIAMI HEAT,LOSS,2186,9,15,1,3,0,0,2,9,7,0,0,3,0,18.1
True,2022-12-16,11,-4,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,LOSS,1782,5,10,1,4,0,0,1,12,6,0,0,4,1,10.1
True,2022-12-21,13,3,OKLAHOMA CITY THUNDER,HOME,PORTLAND TRAIL BLAZERS,WIN,1855,6,8,0,0,1,2,2,4,6,1,0,3,0,14.2
True,2022-12-23,20,10,OKLAHOMA CITY THUNDER,HOME,NEW ORLEANS PELICANS,LOSS,2043,9,15,2,3,0,0,4,6,6,1,1,5,5,16.6
True,2022-12-27,7,8,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,1383,3,11,1,1,0,0,2,5,8,1,1,2,0,8.7
True,2022-12-29,21,-5,OKLAHOMA CITY THUNDER,AWAY,CHARLOTTE HORNETS,LOSS,2007,7,15,0,3,7,7,3,7,3,1,0,3,2,16.8
True,2022-12-31,20,-23,OKLAHOMA CITY THUNDER,HOME,PHILADELPHIA 76ERS,LOSS,1918,9,15,1,3,1,1,5,4,2,1,1,1,2,19.1
True,2023-01-03,25,19,OKLAHOMA CITY THUNDER,HOME,BOSTON CELTICS,WIN,1464,10,15,3,5,2,2,0,5,5,2,0,0,2,24.7
True,2023-01-04,16,-18,OKLAHOMA CITY THUNDER,AWAY,ORLANDO MAGIC,LOSS,1877,7,17,2,7,0,0,1,4,4,0,0,3,2,7.8
