active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,-2,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,LOSS,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-23,2,10,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,LOSS,362,1,3,0,2,0,0,0,1,3,1,0,0,0,3.7
True,2022-10-25,0,0,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-27,0,-2,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,70,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-10-29,15,24,OKLAHOMA CITY THUNDER,AWAY,DALLAS MAVERICKS,WIN,544,4,4,3,3,4,4,0,2,1,0,0,0,1,14.7
True,2022-11-01,0,-7,OKLAHOMA CITY THUNDER,HOME,ORLANDO MAGIC,WIN,103,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-05,8,8,OKLAHOMA CITY THUNDER,AWAY,MILWAUKEE BUCKS,LOSS,881,3,6,2,4,0,0,0,1,0,0,0,0,0,5.3
True,2022-11-09,3,1,OKLAHOMA CITY THUNDER,HOME,MILWAUKEE BUCKS,LOSS,297,1,2,1,2,0,0,0,2,1,0,1,0,0,4.0
True,2022-11-11,2,-11,OKLAHOMA CITY THUNDER,HOME,TORONTO RAPTORS,WIN,326,1,2,0,1,0,0,0,0,0,0,0,0,2,0.2
True,2022-11-13,8,11,OKLAHOMA CITY THUNDER,AWAY,NEW YORK KNICKS,WIN,1013,3,6,2,5,0,0,0,3,1,2,0,3,3,4.4
True,2022-11-14,1,-2,OKLAHOMA CITY THUNDER,AWAY,BOSTON CELTICS,LOSS,438,0,1,0,1,1,3,0,3,0,0,0,1,1,-1.0
True,2022-11-21,0,4,OKLAHOMA CITY THUNDER,HOME,NEW YORK KNICKS,LOSS,203,0,0,0,0,0,0,0,1,2,0,0,0,0,1.7
True,2022-11-23,21,17,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,LOSS,1252,7,11,7,10,0,0,2,0,1,0,0,1,2,16.4
True,2022-11-25,8,6,OKLAHOMA CITY THUNDER,HOME,CHICAGO BULLS,WIN,924,2,6,2,6,2,2,0,2,0,0,0,0,1,4.8
