active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,11,5,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1488,3,10,2,5,3,4,3,4,3,0,1,2,1,8.5
True,2022-10-22,0,-12,OKLAHOMA CITY THUNDER,AWAY,DENVER NUGGETS,LOSS,726,0,1,0,0,0,0,0,1,0,2,1,0,1,1.9
True,2022-10-23,2,-22,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,LOSS,791,1,6,0,2,0,0,1,1,0,0,0,1,0,-1.8
True,2022-10-25,6,-7,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,997,2,7,0,3,2,6,0,4,2,1,0,0,2,3.1
True,2022-10-27,15,2,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,1584,6,11,3,5,0,0,4,2,3,0,1,4,3,10.7
True,2022-10-29,4,-21,OKLAHOMA CITY THUNDER,AWAY,DALLAS MAVERICKS,WIN,1454,2,6,0,2,0,0,0,4,3,0,2,2,4,1.7
True,2022-11-01,16,22,OKLAHOMA CITY THUNDER,HOME,ORLANDO MAGIC,WIN,1876,7,13,2,5,0,0,4,5,1,2,3,2,0,16.8
True,2022-11-03,6,-11,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,LOSS,1659,3,9,0,4,0,0,1,6,1,1,2,0,2,5.7
True,2022-11-09,17,-11,OKLAHOMA CITY THUNDER,HOME,MILWAUKEE BUCKS,LOSS,2345,6,11,4,7,1,2,4,6,2,2,2,2,1,18.3
True,2022-11-11,14,10,OKLAHOMA CITY THUNDER,HOME,TORONTO RAPTORS,WIN,1357,6,10,1,2,1,1,2,3,0,0,4,3,2,10.7
True,2022-11-13,12,11,OKLAHOMA CITY THUNDER,AWAY,NEW YORK KNICKS,WIN,1093,5,8,2,4,0,0,0,2,3,1,1,2,1,10.4
True,2022-11-14,16,5,OKLAHOMA CITY THUNDER,AWAY,BOSTON CELTICS,LOSS,2225,7,12,2,4,0,0,2,12,3,1,3,2,4,17.0
True,2022-11-16,8,-21,OKLAHOMA CITY THUNDER,AWAY,WASHINGTON WIZARDS,WIN,839,3,4,2,3,0,0,0,1,1,0,3,1,2,7.7
True,2022-11-18,10,-6,OKLAHOMA CITY THUNDER,AWAY,MEMPHIS GRIZZLIES,LOSS,851,4,4,2,2,0,0,0,1,1,0,3,0,1,11.5
True,2022-11-23,13,-4,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,LOSS,1747,5,8,2,4,1,2,0,1,3,1,3,1,4,11.9
True,2022-11-25,15,-13,OKLAHOMA CITY THUNDER,HOME,CHICAGO BULLS,WIN,1902,6,13,1,3,2,2,2,4,2,1,1,1,3,11.8
True,2022-11-26,0,-17,OKLAHOMA CITY THUNDER,AWAY,HOUSTON ROCKETS,LOSS,513,0,2,0,1,0,0,1,2,0,0,0,0,1,-0.5
True,2022-11-28,11,-6,OKLAHOMA CITY THUNDER,AWAY,NEW ORLEANS PELICANS,LOSS,1620,4,10,3,5,0,0,3,1,2,1,0,1,2,8.6
True,2022-11-30,5,-14,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,1064,2,9,0,2,1,2,5,2,1,0,1,2,0,2.6
True,2022-12-03,12,-4,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,WIN,1216,5,10,0,3,2,2,3,5,1,0,0,2,2,8.5
True,2022-12-05,2,-10,OKLAHOMA CITY THUNDER,AWAY,ATLANTA HAWKS,WIN,784,1,6,0,4,0,0,1,1,3,0,0,1,2,-0.5
True,2022-12-07,10,-12,OKLAHOMA CITY THUNDER,AWAY,MEMPHIS GRIZZLIES,LOSS,1280,4,7,2,4,0,0,0,2,4,0,1,2,2,8.0
True,2022-12-10,16,5,OKLAHOMA CITY THUNDER,AWAY,CLEVELAND CAVALIERS,LOSS,2069,6,14,3,3,1,2,2,12,5,0,3,2,2,16.0
True,2022-12-12,0,-9,OKLAHOMA CITY THUNDER,AWAY,DALLAS MAVERICKS,LOSS,1302,0,3,0,2,0,0,0,9,2,0,0,1,2,0.2
True,2022-12-14,0,-13,OKLAHOMA CITY THUNDER,HOME,MIAMI HEAT,LOSS,483,0,3,0,0,0,0,1,1,1,0,1,1,0,-0.7
True,2022-12-16,9,-15,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,LOSS,1444,3,8,1,5,2,2,1,3,3,1,2,2,1,8.3
True,2022-12-17,9,3,OKLAHOMA CITY THUNDER,HOME,MEMPHIS GRIZZLIES,WIN,1328,3,10,2,5,1,2,1,5,4,0,0,0,4,6.2
True,2022-12-19,8,-14,OKLAHOMA CITY THUNDER,HOME,PORTLAND TRAIL BLAZERS,WIN,1393,3,9,0,4,2,4,3,3,3,0,1,2,2,5.1
True,2022-12-21,6,-4,OKLAHOMA CITY THUNDER,HOME,PORTLAND TRAIL BLAZERS,WIN,1205,2,7,0,2,2,2,1,2,2,2,0,1,1,5.2
True,2022-12-23,17,-6,OKLAHOMA CITY THUNDER,HOME,NEW ORLEANS PELICANS,LOSS,1896,7,11,3,5,0,0,0,6,3,4,1,1,5,17.7
True,2022-12-27,3,2,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,116,1,1,1,1,0,0,0,1,0,0,1,0,0,3.7
True,2023-03-28,0,-5,OKLAHOMA CITY THUNDER,HOME,CHARLOTTE HORNETS,LOSS,598,0,2,0,1,0,0,0,0,1,0,2,1,0,-0.3
True,2023-03-29,1,1,OKLAHOMA CITY THUNDER,HOME,DETROIT PISTONS,WIN,221,0,1,0,0,1,2,0,1,0,0,0,0,1,-0.2
True,2023-03-31,2,0,OKLAHOMA CITY THUNDER,AWAY,INDIANA PACERS,LOSS,615,1,3,0,2,0,0,0,1,1,0,0,1,0,0.3
