active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,6,-9,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,LOSS,744,2,3,2,3,0,0,1,4,0,1,0,0,5,5.6
True,2022-10-22,10,-17,OKLAHOMA CITY THUNDER,AWAY,DENVER NUGGETS,LOSS,1101,4,6,2,4,0,0,0,2,0,1,0,2,0,7.0
True,2022-10-23,15,-9,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,LOSS,1534,5,6,3,4,2,2,0,2,3,1,0,0,2,15.7
True,2022-10-25,2,8,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,1366,0,7,0,3,2,2,3,6,0,3,1,0,1,4.3
True,2022-10-27,5,7,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,871,2,4,1,2,0,0,1,1,2,0,0,0,2,4.6
True,2022-10-29,0,-7,OKLAHOMA CITY THUNDER,AWAY,DALLAS MAVERICKS,WIN,301,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-01,11,22,OKLAHOMA CITY THUNDER,HOME,ORLANDO MAGIC,WIN,1310,5,8,0,2,1,1,0,5,2,3,1,0,3,12.8
True,2022-11-03,10,-22,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,LOSS,1367,4,10,2,5,0,2,1,6,1,2,0,0,1,8.6
True,2022-11-05,12,-15,OKLAHOMA CITY THUNDER,AWAY,MILWAUKEE BUCKS,LOSS,1053,5,7,2,4,0,0,2,1,1,0,1,1,1,10.8
True,2022-11-07,7,-15,OKLAHOMA CITY THUNDER,AWAY,DETROIT PISTONS,LOSS,928,2,7,1,4,2,4,2,2,0,0,1,0,1,4.4
True,2022-11-09,5,-8,OKLAHOMA CITY THUNDER,HOME,MILWAUKEE BUCKS,LOSS,752,2,6,1,3,0,0,0,1,0,0,0,2,2,-0.9
True,2022-11-13,17,11,OKLAHOMA CITY THUNDER,AWAY,NEW YORK KNICKS,WIN,1844,7,9,3,4,0,0,3,4,0,0,0,1,5,13.8
True,2022-11-14,4,-13,OKLAHOMA CITY THUNDER,AWAY,BOSTON CELTICS,LOSS,828,2,4,0,0,0,0,2,3,0,0,0,0,4,2.7
True,2022-11-16,8,0,OKLAHOMA CITY THUNDER,AWAY,WASHINGTON WIZARDS,WIN,805,2,3,1,2,3,4,1,3,1,0,0,1,0,7.6
True,2022-11-18,14,13,OKLAHOMA CITY THUNDER,AWAY,MEMPHIS GRIZZLIES,LOSS,1650,6,9,0,2,2,2,1,6,1,0,3,2,1,13.0
True,2022-11-21,8,-8,OKLAHOMA CITY THUNDER,HOME,NEW YORK KNICKS,LOSS,1302,3,5,2,3,0,0,1,1,2,0,0,1,2,6.3
True,2022-11-23,8,6,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,LOSS,2071,3,11,2,5,0,0,5,6,3,2,1,0,5,9.6
True,2022-11-25,10,16,OKLAHOMA CITY THUNDER,HOME,CHICAGO BULLS,WIN,1180,5,9,0,2,0,0,1,2,0,2,0,0,1,8.6
True,2022-11-26,9,13,OKLAHOMA CITY THUNDER,AWAY,HOUSTON ROCKETS,LOSS,1419,3,7,1,4,2,3,4,1,2,0,1,0,0,10.1
True,2022-11-28,10,-6,OKLAHOMA CITY THUNDER,AWAY,NEW ORLEANS PELICANS,LOSS,2018,4,11,2,5,0,0,5,8,1,2,1,1,1,11.8
True,2022-11-30,7,9,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,1532,2,5,1,3,2,2,1,4,1,0,0,0,2,6.1
True,2022-12-03,14,13,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,WIN,1731,5,11,0,3,4,4,5,2,2,2,0,1,3,13.6
True,2022-12-05,10,6,OKLAHOMA CITY THUNDER,AWAY,ATLANTA HAWKS,WIN,1720,4,6,2,2,0,0,4,2,0,0,0,2,2,8.0
True,2022-12-07,9,-11,OKLAHOMA CITY THUNDER,AWAY,MEMPHIS GRIZZLIES,LOSS,1611,4,11,1,4,0,0,5,4,0,0,0,1,1,6.2
True,2022-12-10,4,-13,OKLAHOMA CITY THUNDER,AWAY,CLEVELAND CAVALIERS,LOSS,994,2,5,0,1,0,0,1,2,2,0,1,1,2,2.9
True,2022-12-12,6,-8,OKLAHOMA CITY THUNDER,AWAY,DALLAS MAVERICKS,LOSS,856,2,3,0,1,2,2,2,0,1,0,0,0,2,6.0
True,2023-02-13,0,-11,OKLAHOMA CITY THUNDER,HOME,NEW ORLEANS PELICANS,LOSS,1090,0,5,0,4,0,0,1,2,0,2,0,0,2,-1.0
True,2023-02-15,9,24,OKLAHOMA CITY THUNDER,HOME,HOUSTON ROCKETS,WIN,1095,3,4,0,0,3,4,1,2,0,0,0,0,1,7.9
True,2023-02-23,2,5,OKLAHOMA CITY THUNDER,AWAY,UTAH JAZZ,LOSS,648,1,6,0,3,0,0,2,1,0,0,0,0,1,-0.5
True,2023-02-24,0,1,OKLAHOMA CITY THUNDER,AWAY,PHOENIX SUNS,LOSS,574,0,1,0,1,0,0,0,0,4,0,0,0,0,2.1
True,2023-02-26,7,6,OKLAHOMA CITY THUNDER,HOME,SACRAMENTO KINGS,LOSS,1168,2,6,1,4,2,2,0,3,1,0,0,0,1,4.8
True,2023-02-28,5,4,OKLAHOMA CITY THUNDER,HOME,SACRAMENTO KINGS,LOSS,1276,1,6,1,5,2,2,2,0,1,0,0,0,2,2.5
True,2023-03-01,0,-18,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES LAKERS,LOSS,931,0,2,0,1,0,0,3,1,1,0,0,1,1,0.3
True,2023-03-08,8,-7,OKLAHOMA CITY THUNDER,AWAY,PHOENIX SUNS,LOSS,1464,3,5,0,1,2,2,3,4,2,0,0,0,0,10.4
True,2023-03-16,0,0,OKLAHOMA CITY THUNDER,AWAY,TORONTO RAPTORS,LOSS,541,0,2,0,1,0,0,1,2,1,0,0,0,0,0.6
True,2023-03-19,0,5,OKLAHOMA CITY THUNDER,HOME,PHOENIX SUNS,WIN,309,0,0,0,0,0,0,0,2,3,0,0,1,2,0.9
True,2023-03-23,4,-2,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES CLIPPERS,LOSS,675,2,5,0,1,0,0,3,1,0,0,0,0,0,3.7
True,2023-03-24,14,8,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES LAKERS,LOSS,1039,5,6,2,3,2,2,1,2,0,0,0,0,0,13.1
True,2023-03-26,5,8,OKLAHOMA CITY THUNDER,AWAY,PORTLAND TRAIL BLAZERS,WIN,790,2,4,1,1,0,0,0,1,0,1,0,0,2,3.5
True,2023-03-28,7,-1,OKLAHOMA CITY THUNDER,HOME,CHARLOTTE HORNETS,LOSS,1598,3,8,1,3,0,0,2,3,2,2,0,1,4,5.7
True,2023-03-29,0,-6,OKLAHOMA CITY THUNDER,HOME,DETROIT PISTONS,WIN,255,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-04-06,0,-2,OKLAHOMA CITY THUNDER,AWAY,UTAH JAZZ,WIN,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-04-09,10,13,OKLAHOMA CITY THUNDER,HOME,MEMPHIS GRIZZLIES,WIN,2386,3,13,2,6,2,2,1,7,3,0,0,0,6,4.6
