active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,0,-1,OKLAHOMA CITY THUNDER,AWAY,DENVER NUGGETS,LOSS,139,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-10-23,3,3,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,LOSS,822,1,6,1,6,0,0,1,0,0,0,0,0,0,-0.1
True,2022-11-16,9,32,OKLAHOMA CITY THUNDER,AWAY,WASHINGTON WIZARDS,WIN,1603,3,7,3,7,0,0,1,3,2,2,0,0,2,9.5
True,2022-11-18,8,5,OKLAHOMA CITY THUNDER,AWAY,MEMPHIS GRIZZLIES,LOSS,1117,3,9,2,8,0,0,0,4,0,1,0,0,2,4.3
True,2022-11-21,3,-1,OKLAHOMA CITY THUNDER,HOME,NEW YORK KNICKS,LOSS,458,1,1,1,1,0,0,0,0,0,0,0,0,1,2.3
True,2022-12-16,3,6,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,LOSS,678,1,2,1,2,0,0,0,0,2,1,0,0,2,3.6
True,2022-12-17,6,9,OKLAHOMA CITY THUNDER,HOME,MEMPHIS GRIZZLIES,WIN,1054,2,3,2,2,0,0,0,2,0,0,0,2,2,2.5
True,2022-12-19,1,14,OKLAHOMA CITY THUNDER,HOME,PORTLAND TRAIL BLAZERS,WIN,652,0,3,0,3,1,1,0,1,1,0,0,0,1,-0.5
True,2022-12-21,3,4,OKLAHOMA CITY THUNDER,HOME,PORTLAND TRAIL BLAZERS,WIN,406,1,1,1,1,0,0,1,0,1,0,0,0,0,4.1
True,2022-12-23,0,11,OKLAHOMA CITY THUNDER,HOME,NEW ORLEANS PELICANS,LOSS,541,0,1,0,1,0,0,0,1,1,0,0,1,0,-0.7
True,2022-12-31,4,5,OKLAHOMA CITY THUNDER,HOME,PHILADELPHIA 76ERS,LOSS,307,1,4,1,4,1,2,0,1,1,0,1,0,0,2.9
True,2023-01-04,6,10,OKLAHOMA CITY THUNDER,AWAY,ORLANDO MAGIC,LOSS,746,2,5,2,5,0,0,2,1,2,0,1,0,1,6.7
True,2023-01-06,3,1,OKLAHOMA CITY THUNDER,HOME,WASHINGTON WIZARDS,WIN,97,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
True,2023-01-08,8,15,OKLAHOMA CITY THUNDER,HOME,DALLAS MAVERICKS,WIN,1259,3,6,2,4,0,0,1,3,1,1,2,0,0,9.7
True,2023-01-10,9,-1,OKLAHOMA CITY THUNDER,AWAY,MIAMI HEAT,LOSS,755,2,6,2,6,3,4,0,5,0,0,0,1,2,4.9
True,2023-01-12,3,-1,OKLAHOMA CITY THUNDER,AWAY,PHILADELPHIA 76ERS,WIN,283,1,2,1,2,0,0,0,0,0,0,1,0,0,2.7
True,2023-01-13,6,-12,OKLAHOMA CITY THUNDER,AWAY,CHICAGO BULLS,WIN,886,2,4,2,4,0,0,1,1,3,1,0,1,3,5.9
True,2023-01-15,5,4,OKLAHOMA CITY THUNDER,AWAY,BROOKLYN NETS,WIN,577,2,5,1,4,0,0,0,1,1,0,1,0,1,3.6
True,2023-01-20,0,-8,OKLAHOMA CITY THUNDER,AWAY,SACRAMENTO KINGS,LOSS,443,0,1,0,1,0,0,0,0,0,0,0,0,2,-1.5
True,2023-02-06,8,-6,OKLAHOMA CITY THUNDER,AWAY,GOLDEN STATE WARRIORS,LOSS,923,3,5,2,4,0,0,0,2,1,0,0,0,2,6.2
True,2023-02-10,0,-3,OKLAHOMA CITY THUNDER,AWAY,PORTLAND TRAIL BLAZERS,WIN,201,0,2,0,2,0,0,0,0,0,0,0,0,0,-1.4
True,2023-02-13,3,-5,OKLAHOMA CITY THUNDER,HOME,NEW ORLEANS PELICANS,LOSS,341,1,2,1,2,0,0,0,0,0,0,0,1,0,1.0
True,2023-02-15,6,6,OKLAHOMA CITY THUNDER,HOME,HOUSTON ROCKETS,WIN,1101,2,7,2,7,0,0,0,2,0,1,0,0,0,3.5
True,2023-02-24,0,-6,OKLAHOMA CITY THUNDER,AWAY,PHOENIX SUNS,LOSS,325,0,2,0,2,0,0,0,0,0,0,0,0,0,-1.4
True,2023-02-26,12,4,OKLAHOMA CITY THUNDER,HOME,SACRAMENTO KINGS,LOSS,1016,4,6,3,5,1,1,0,7,1,2,0,0,1,13.8
True,2023-03-01,8,16,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES LAKERS,LOSS,1086,2,5,2,5,2,2,0,1,1,1,1,0,4,6.4
True,2023-03-05,0,4,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,WIN,54,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2023-03-07,7,2,OKLAHOMA CITY THUNDER,HOME,GOLDEN STATE WARRIORS,WIN,359,2,4,2,4,1,2,0,2,0,0,1,0,0,5.9
True,2023-03-08,23,-13,OKLAHOMA CITY THUNDER,AWAY,PHOENIX SUNS,LOSS,1842,7,14,6,12,3,3,0,4,2,0,0,0,1,18.2
True,2023-03-11,6,8,OKLAHOMA CITY THUNDER,AWAY,NEW ORLEANS PELICANS,WIN,1023,2,7,2,7,0,0,0,3,1,0,0,2,2,0.7
True,2023-03-12,8,11,OKLAHOMA CITY THUNDER,AWAY,SAN ANTONIO SPURS,WIN,1400,2,7,1,6,3,3,1,3,1,1,0,0,3,6.0
True,2023-03-14,0,5,OKLAHOMA CITY THUNDER,HOME,BROOKLYN NETS,WIN,1187,0,3,0,3,0,0,0,0,0,0,0,1,1,-3.5
True,2023-03-16,6,3,OKLAHOMA CITY THUNDER,AWAY,TORONTO RAPTORS,LOSS,291,2,3,2,3,0,0,0,0,0,0,0,0,0,4.7
True,2023-03-19,7,5,OKLAHOMA CITY THUNDER,HOME,PHOENIX SUNS,WIN,1352,3,7,1,4,0,0,2,1,1,1,1,0,0,7.4
True,2023-03-21,3,5,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES CLIPPERS,WIN,714,1,3,1,3,0,0,0,2,0,0,0,1,1,0.5
True,2023-03-23,6,-14,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES CLIPPERS,LOSS,1323,2,7,2,7,0,0,1,1,1,0,0,0,1,3.2
True,2023-03-24,6,1,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES LAKERS,LOSS,1107,2,4,2,4,0,0,0,0,1,0,0,0,2,3.9
True,2023-03-31,8,0,OKLAHOMA CITY THUNDER,AWAY,INDIANA PACERS,LOSS,1042,3,7,2,6,0,0,1,1,1,0,1,0,2,5.9
True,2023-04-02,1,3,OKLAHOMA CITY THUNDER,HOME,PHOENIX SUNS,LOSS,627,0,3,0,3,1,2,1,5,0,1,0,0,1,1.3
True,2023-04-06,10,16,OKLAHOMA CITY THUNDER,AWAY,UTAH JAZZ,WIN,954,4,7,2,5,0,0,3,0,0,1,0,0,1,9.4
True,2023-04-09,6,7,OKLAHOMA CITY THUNDER,HOME,MEMPHIS GRIZZLIES,WIN,749,2,6,2,6,0,0,0,1,1,0,1,0,1,3.9
