active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-23,4,13,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,LOSS,457,2,4,0,0,0,1,3,3,2,0,0,0,2,5.2
True,2022-11-05,2,5,OKLAHOMA CITY THUNDER,AWAY,MILWAUKEE BUCKS,LOSS,308,1,3,0,1,0,0,1,0,0,1,0,0,0,2.0
True,2022-11-14,2,0,OKLAHOMA CITY THUNDER,AWAY,BOSTON CELTICS,LOSS,491,1,2,0,1,0,0,1,2,0,0,0,0,1,1.9
True,2022-11-16,0,-2,OKLAHOMA CITY THUNDER,AWAY,WASHINGTON WIZARDS,WIN,360,0,1,0,0,0,0,0,0,1,0,0,1,1,-1.4
True,2022-11-18,6,-5,OKLAHOMA CITY THUNDER,AWAY,MEMPHIS GRIZZLIES,LOSS,480,1,1,0,0,4,5,0,0,0,0,0,1,2,3.5
True,2022-12-07,0,-2,OKLAHOMA CITY THUNDER,AWAY,MEMPHIS GRIZZLIES,LOSS,645,0,3,0,1,0,0,1,1,2,1,0,0,1,0.9
True,2022-12-17,7,6,OKLAHOMA CITY THUNDER,HOME,MEMPHIS GRIZZLIES,WIN,901,3,4,1,2,0,0,0,4,2,1,0,0,3,7.8
True,2022-12-29,0,-10,OKLAHOMA CITY THUNDER,AWAY,CHARLOTTE HORNETS,LOSS,1459,0,5,0,1,0,0,2,8,1,0,1,2,5,-2.3
True,2022-12-31,1,-6,OKLAHOMA CITY THUNDER,HOME,PHILADELPHIA 76ERS,LOSS,1068,0,2,0,2,1,2,0,4,1,0,0,1,3,-1.1
True,2023-01-03,8,12,OKLAHOMA CITY THUNDER,HOME,BOSTON CELTICS,WIN,966,3,6,2,3,0,0,1,6,3,2,0,1,4,9.0
True,2023-01-04,3,-3,OKLAHOMA CITY THUNDER,AWAY,ORLANDO MAGIC,LOSS,695,1,4,0,1,1,2,0,2,0,0,0,0,1,0.4
True,2023-01-12,11,-8,OKLAHOMA CITY THUNDER,AWAY,PHILADELPHIA 76ERS,WIN,1097,5,7,1,1,0,0,0,5,2,0,0,1,5,8.0
True,2023-01-15,6,-1,OKLAHOMA CITY THUNDER,AWAY,BROOKLYN NETS,WIN,691,3,7,0,1,0,0,2,5,1,0,0,1,2,4.1
True,2023-01-18,5,4,OKLAHOMA CITY THUNDER,HOME,INDIANA PACERS,WIN,990,2,2,1,1,0,0,0,0,1,0,0,5,3,-1.1
True,2023-01-20,4,-4,OKLAHOMA CITY THUNDER,AWAY,SACRAMENTO KINGS,LOSS,1489,2,6,0,1,0,1,0,6,2,0,0,1,1,2.0
True,2023-01-22,0,-2,OKLAHOMA CITY THUNDER,AWAY,DENVER NUGGETS,WIN,421,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6
True,2023-01-27,8,-1,OKLAHOMA CITY THUNDER,HOME,CLEVELAND CAVALIERS,WIN,1135,3,5,2,2,0,0,1,5,2,0,0,0,0,9.3
True,2023-01-30,12,1,OKLAHOMA CITY THUNDER,HOME,GOLDEN STATE WARRIORS,LOSS,1068,5,9,2,3,0,0,2,6,3,1,0,0,1,13.6
True,2023-02-01,7,-3,OKLAHOMA CITY THUNDER,AWAY,HOUSTON ROCKETS,LOSS,748,2,5,1,3,2,4,1,3,1,0,1,0,2,5.7
True,2023-02-04,8,10,OKLAHOMA CITY THUNDER,HOME,HOUSTON ROCKETS,WIN,1482,3,4,2,2,0,0,2,4,1,0,1,1,1,9.0
True,2023-02-06,5,-13,OKLAHOMA CITY THUNDER,AWAY,GOLDEN STATE WARRIORS,LOSS,1238,2,4,1,2,0,0,1,4,0,0,0,0,0,4.9
True,2023-02-07,14,2,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES LAKERS,WIN,1840,4,6,2,2,4,4,1,6,7,2,0,0,1,20.4
True,2023-02-10,11,3,OKLAHOMA CITY THUNDER,AWAY,PORTLAND TRAIL BLAZERS,WIN,1089,4,5,1,2,2,2,1,1,1,0,0,0,3,9.6
True,2023-02-13,0,-7,OKLAHOMA CITY THUNDER,HOME,NEW ORLEANS PELICANS,LOSS,956,0,3,0,3,0,0,0,1,2,0,1,0,2,-0.5
True,2023-02-15,8,15,OKLAHOMA CITY THUNDER,HOME,HOUSTON ROCKETS,WIN,1532,3,9,2,5,0,0,1,15,0,2,0,1,3,7.9
True,2023-02-23,11,-7,OKLAHOMA CITY THUNDER,AWAY,UTAH JAZZ,LOSS,1594,4,7,3,4,0,0,1,5,0,0,1,1,2,8.8
True,2023-02-24,10,2,OKLAHOMA CITY THUNDER,AWAY,PHOENIX SUNS,LOSS,1607,3,6,2,4,2,4,0,5,5,1,0,1,1,10.8
True,2023-02-26,5,-15,OKLAHOMA CITY THUNDER,HOME,SACRAMENTO KINGS,LOSS,803,1,3,1,2,2,2,1,2,2,0,0,1,3,3.8
True,2023-02-28,6,-9,OKLAHOMA CITY THUNDER,HOME,SACRAMENTO KINGS,LOSS,1039,3,8,0,3,0,0,0,3,0,0,0,0,2,1.7
True,2023-03-01,4,-5,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES LAKERS,LOSS,1524,1,7,0,3,2,2,3,9,2,1,1,2,2,4.6
True,2023-03-03,3,10,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,WIN,1880,1,6,1,4,0,0,1,8,1,0,2,1,5,1.4
True,2023-03-05,2,5,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,WIN,1173,1,4,0,3,0,0,0,2,1,0,0,1,5,-2.1
True,2023-03-07,15,-8,OKLAHOMA CITY THUNDER,HOME,GOLDEN STATE WARRIORS,WIN,1625,6,10,3,5,0,0,3,3,2,1,0,1,3,13.6
True,2023-03-08,2,-25,OKLAHOMA CITY THUNDER,AWAY,PHOENIX SUNS,LOSS,1060,0,2,0,2,2,2,0,3,3,0,0,1,2,1.8
True,2023-03-11,9,-2,OKLAHOMA CITY THUNDER,AWAY,NEW ORLEANS PELICANS,WIN,1166,3,5,2,3,1,2,0,3,0,0,1,1,3,5.7
True,2023-03-12,9,0,OKLAHOMA CITY THUNDER,AWAY,SAN ANTONIO SPURS,WIN,1541,3,6,1,2,2,2,0,5,2,4,1,0,4,12.0
True,2023-03-14,7,12,OKLAHOMA CITY THUNDER,HOME,BROOKLYN NETS,WIN,1096,2,5,1,2,2,2,2,5,2,2,0,1,5,7.6
True,2023-03-16,5,-6,OKLAHOMA CITY THUNDER,AWAY,TORONTO RAPTORS,LOSS,842,2,7,1,3,0,0,0,3,0,0,0,0,2,1.0
