active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,5,-13,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1321,2,7,1,3,0,0,2,4,1,0,0,0,3,3.0
True,2022-10-22,3,2,OKLAHOMA CITY THUNDER,AWAY,DENVER NUGGETS,LOSS,964,1,2,0,0,1,1,2,1,3,0,0,0,3,4.6
True,2022-10-23,6,-9,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,LOSS,1103,3,8,0,2,0,2,0,2,1,1,0,1,0,2.1
True,2022-10-25,10,-9,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,1525,5,8,0,2,0,0,4,3,2,0,1,0,2,11.4
True,2022-10-27,12,-9,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,1557,5,8,2,4,0,0,1,0,3,2,0,0,1,12.8
True,2022-10-29,3,-25,OKLAHOMA CITY THUNDER,AWAY,DALLAS MAVERICKS,WIN,1052,1,2,1,1,0,0,2,4,0,0,1,2,2,2.5
True,2022-11-03,5,-4,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,LOSS,1328,2,5,1,2,0,0,3,3,1,1,0,0,2,6.2
True,2022-11-05,3,4,OKLAHOMA CITY THUNDER,AWAY,MILWAUKEE BUCKS,LOSS,1013,1,3,0,2,1,2,1,2,1,1,0,0,3,2.7
True,2022-11-07,11,11,OKLAHOMA CITY THUNDER,AWAY,DETROIT PISTONS,LOSS,1585,5,8,1,3,0,2,6,2,4,1,0,0,3,14.0
True,2022-11-09,2,-12,OKLAHOMA CITY THUNDER,HOME,MILWAUKEE BUCKS,LOSS,1021,1,2,0,1,0,0,1,0,1,0,0,1,3,0.2
True,2022-11-11,6,10,OKLAHOMA CITY THUNDER,HOME,TORONTO RAPTORS,WIN,1162,3,6,0,1,0,0,2,4,0,0,0,0,1,5.2
True,2022-11-13,3,13,OKLAHOMA CITY THUNDER,AWAY,NEW YORK KNICKS,WIN,1217,1,3,0,0,1,2,0,3,3,2,0,0,1,5.5
True,2022-11-14,7,-7,OKLAHOMA CITY THUNDER,AWAY,BOSTON CELTICS,LOSS,1139,3,6,1,2,0,0,0,1,2,1,0,0,0,6.7
True,2022-11-16,9,16,OKLAHOMA CITY THUNDER,AWAY,WASHINGTON WIZARDS,WIN,1547,4,6,1,2,0,0,1,4,1,1,1,2,3,7.5
True,2022-11-18,5,-6,OKLAHOMA CITY THUNDER,AWAY,MEMPHIS GRIZZLIES,LOSS,672,2,5,1,1,0,0,0,1,0,0,0,0,1,2.2
True,2022-11-21,4,-4,OKLAHOMA CITY THUNDER,HOME,NEW YORK KNICKS,LOSS,1023,2,4,0,1,0,0,1,0,1,0,0,1,3,1.2
True,2022-11-25,8,12,OKLAHOMA CITY THUNDER,HOME,CHICAGO BULLS,WIN,1980,4,7,0,2,0,0,3,2,2,2,0,0,2,10.0
