active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-21,25,-1,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,1709,8,12,4,5,5,7,0,0,2,1,1,2,1,19.7
True,2022-10-22,14,0,ORLANDO MAGIC,HOME,BOSTON CELTICS,LOSS,1903,6,13,2,5,0,2,1,8,6,1,1,2,4,11.9
True,2022-10-24,14,-7,ORLANDO MAGIC,AWAY,NEW YORK KNICKS,LOSS,1768,6,18,0,5,2,2,2,2,4,1,0,1,4,7.0
True,2022-10-26,9,-18,ORLANDO MAGIC,AWAY,CLEVELAND CAVALIERS,LOSS,1923,2,10,1,5,4,4,0,6,5,0,1,3,5,3.8
True,2022-11-30,11,-15,ORLANDO MAGIC,HOME,ATLANTA HAWKS,LOSS,1437,3,7,0,1,5,5,0,4,2,1,0,2,6,6.5
True,2022-12-02,19,-5,ORLANDO MAGIC,AWAY,CLEVELAND CAVALIERS,LOSS,1724,7,11,3,4,2,2,0,6,3,3,1,1,4,19.1
True,2022-12-03,12,5,ORLANDO MAGIC,AWAY,TORONTO RAPTORS,LOSS,1424,4,10,1,3,3,3,0,3,5,1,0,0,2,11.2
True,2022-12-05,0,-15,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,LOSS,1281,0,9,0,4,0,0,1,3,1,2,0,0,1,-2.4
True,2022-12-07,13,21,ORLANDO MAGIC,HOME,LOS ANGELES CLIPPERS,WIN,1620,5,13,2,5,1,1,1,3,4,0,0,0,2,9.5
True,2022-12-09,18,-15,ORLANDO MAGIC,HOME,TORONTO RAPTORS,WIN,1409,7,10,3,5,1,2,0,3,5,1,0,4,4,13.2
True,2022-12-11,14,11,ORLANDO MAGIC,HOME,TORONTO RAPTORS,WIN,1762,5,9,1,3,3,3,1,5,6,1,0,1,4,14.5
True,2022-12-14,13,1,ORLANDO MAGIC,HOME,ATLANTA HAWKS,WIN,1220,3,7,0,3,7,7,0,5,6,0,0,3,4,10.4
True,2022-12-16,14,7,ORLANDO MAGIC,AWAY,BOSTON CELTICS,WIN,1769,7,13,0,5,0,0,0,5,3,0,0,2,2,8.5
True,2022-12-18,7,0,ORLANDO MAGIC,AWAY,BOSTON CELTICS,WIN,1304,3,7,1,1,0,0,0,3,3,0,0,4,3,1.1
True,2022-12-19,8,-9,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,1216,1,5,0,1,6,6,0,3,4,1,1,1,4,7.7
True,2022-12-21,15,15,ORLANDO MAGIC,AWAY,HOUSTON ROCKETS,WIN,1358,5,13,3,8,2,2,0,4,6,1,0,0,1,13.9
True,2022-12-23,23,22,ORLANDO MAGIC,HOME,SAN ANTONIO SPURS,WIN,1830,8,10,4,4,3,3,1,9,9,0,0,3,5,23.9
True,2022-12-27,8,-13,ORLANDO MAGIC,HOME,LOS ANGELES LAKERS,LOSS,1552,4,13,0,3,0,0,1,1,4,1,0,2,4,1.7
True,2022-12-28,8,-3,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,1703,2,6,0,2,4,4,1,4,6,1,2,2,3,9.9
True,2023-01-04,6,8,ORLANDO MAGIC,HOME,OKLAHOMA CITY THUNDER,WIN,1818,2,6,0,3,2,2,2,1,6,0,1,2,2,6.4
True,2023-01-05,4,-16,ORLANDO MAGIC,HOME,MEMPHIS GRIZZLIES,LOSS,1341,0,8,0,5,4,4,0,4,2,0,0,1,1,-0.4
True,2023-01-07,16,7,ORLANDO MAGIC,AWAY,GOLDEN STATE WARRIORS,WIN,1807,6,9,2,4,2,3,1,6,5,1,0,1,1,17.3
True,2023-01-09,8,-34,ORLANDO MAGIC,AWAY,SACRAMENTO KINGS,LOSS,1717,3,13,0,5,2,2,1,6,3,1,1,1,3,4.2
True,2023-01-10,6,-15,ORLANDO MAGIC,AWAY,PORTLAND TRAIL BLAZERS,WIN,1478,2,6,0,0,2,3,1,2,2,0,0,0,1,4.5
True,2023-01-13,5,0,ORLANDO MAGIC,AWAY,UTAH JAZZ,LOSS,1114,1,4,1,1,2,2,0,2,4,0,1,3,2,2.9
True,2023-01-15,7,3,ORLANDO MAGIC,AWAY,DENVER NUGGETS,LOSS,1433,1,7,0,1,5,6,1,4,6,0,1,0,4,7.3
True,2023-01-20,22,19,ORLANDO MAGIC,HOME,NEW ORLEANS PELICANS,WIN,1579,6,9,2,4,8,8,0,3,4,0,0,2,2,19.0
True,2023-01-21,6,-17,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,LOSS,1308,3,7,0,1,0,0,0,6,1,1,3,2,1,5.5
True,2023-01-23,18,0,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,1397,8,12,0,1,2,3,1,4,4,2,1,1,1,18.4
True,2023-01-25,8,-6,ORLANDO MAGIC,HOME,INDIANA PACERS,WIN,1479,4,9,0,2,0,0,1,1,5,0,1,0,1,8.1
True,2023-01-27,19,7,ORLANDO MAGIC,AWAY,MIAMI HEAT,LOSS,1664,5,9,4,7,5,6,0,7,1,0,0,3,1,13.7
True,2023-01-28,21,-6,ORLANDO MAGIC,HOME,CHICAGO BULLS,LOSS,1828,9,15,3,5,0,0,0,6,6,0,0,1,1,18.7
True,2023-01-30,5,-2,ORLANDO MAGIC,AWAY,PHILADELPHIA 76ERS,WIN,951,2,7,1,3,0,0,0,5,2,0,1,2,1,2.1
True,2023-02-01,11,-11,ORLANDO MAGIC,AWAY,PHILADELPHIA 76ERS,LOSS,1085,2,7,0,2,7,7,0,4,0,1,1,0,1,9.4
True,2023-02-03,20,10,ORLANDO MAGIC,AWAY,MINNESOTA TIMBERWOLVES,WIN,1593,6,8,2,2,6,8,4,4,6,1,1,2,5,21.9
True,2023-02-05,9,-2,ORLANDO MAGIC,AWAY,CHARLOTTE HORNETS,WIN,1226,4,8,0,1,1,1,1,1,5,0,1,2,2,7.4
True,2023-02-07,9,8,ORLANDO MAGIC,HOME,NEW YORK KNICKS,LOSS,1245,3,7,1,2,2,2,0,3,1,0,0,0,1,6.5
True,2023-02-09,17,19,ORLANDO MAGIC,HOME,DENVER NUGGETS,WIN,1442,8,14,0,3,1,2,0,7,7,0,3,2,1,16.7
True,2023-02-11,7,8,ORLANDO MAGIC,HOME,MIAMI HEAT,LOSS,1197,3,9,1,3,0,0,1,3,6,0,1,0,1,8.0
True,2023-02-23,15,-15,ORLANDO MAGIC,HOME,DETROIT PISTONS,WIN,1099,5,12,3,3,2,2,2,2,4,0,0,1,2,11.6
True,2023-02-25,8,-6,ORLANDO MAGIC,HOME,INDIANA PACERS,LOSS,999,2,7,0,2,4,4,0,4,5,0,2,2,3,6.8
True,2023-02-27,2,3,ORLANDO MAGIC,AWAY,NEW ORLEANS PELICANS,WIN,1599,1,6,0,3,0,0,0,3,2,1,0,2,4,-2.1
True,2023-03-01,28,-11,ORLANDO MAGIC,AWAY,MILWAUKEE BUCKS,LOSS,1978,10,16,3,7,5,7,2,5,4,0,0,1,4,23.1
True,2023-03-03,16,-6,ORLANDO MAGIC,AWAY,CHARLOTTE HORNETS,WIN,1710,6,10,1,2,3,3,1,2,4,1,0,2,3,13.3
True,2023-03-05,5,-1,ORLANDO MAGIC,HOME,PORTLAND TRAIL BLAZERS,LOSS,1434,2,9,1,5,0,0,0,3,6,0,0,1,3,2.4
True,2023-03-07,23,-2,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,LOSS,1980,9,17,1,3,4,5,1,4,3,2,0,0,2,19.5
True,2023-03-09,6,4,ORLANDO MAGIC,HOME,UTAH JAZZ,LOSS,1295,2,8,2,2,0,1,0,1,0,3,0,3,2,0.3
True,2023-03-11,16,12,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,1993,5,9,1,1,5,5,1,5,3,0,1,3,5,11.7
True,2023-03-14,14,-5,ORLANDO MAGIC,AWAY,SAN ANTONIO SPURS,LOSS,1756,5,13,2,5,2,2,2,3,4,0,0,0,4,10.4
True,2023-03-16,17,-1,ORLANDO MAGIC,AWAY,PHOENIX SUNS,LOSS,1617,5,9,2,4,5,5,2,3,3,0,0,1,1,15.7
True,2023-03-18,18,0,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,WIN,1739,7,14,1,4,3,3,2,6,2,1,0,1,3,14.4
