active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,-10,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,720,0,5,0,4,0,2,1,1,1,0,0,0,0,-2.6
True,2022-10-21,7,2,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,903,2,6,1,3,2,2,1,5,2,0,0,1,1,5.8
True,2022-10-22,3,2,ORLANDO MAGIC,HOME,BOSTON CELTICS,LOSS,702,1,3,1,3,0,0,0,0,1,0,0,0,2,1.2
True,2022-10-24,2,-18,ORLANDO MAGIC,AWAY,NEW YORK KNICKS,LOSS,840,1,3,0,2,0,0,0,3,0,1,0,2,4,-1.4
True,2022-10-26,2,-2,ORLANDO MAGIC,AWAY,CLEVELAND CAVALIERS,LOSS,421,1,1,0,0,0,0,0,1,0,0,0,0,1,1.6
True,2022-10-28,19,9,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,1013,8,12,2,5,1,1,1,5,1,0,3,1,5,15.8
True,2022-10-30,5,0,ORLANDO MAGIC,AWAY,DALLAS MAVERICKS,LOSS,1039,2,4,1,1,0,0,0,4,1,0,1,0,2,4.8
True,2022-11-01,2,-10,ORLANDO MAGIC,AWAY,OKLAHOMA CITY THUNDER,LOSS,775,1,4,0,1,0,0,2,3,0,0,1,2,1,0.2
True,2022-11-03,0,-4,ORLANDO MAGIC,HOME,GOLDEN STATE WARRIORS,WIN,338,0,0,0,0,0,0,0,2,0,0,0,1,1,-0.8
True,2022-11-07,14,0,ORLANDO MAGIC,HOME,HOUSTON ROCKETS,LOSS,1177,6,7,1,2,1,2,1,3,3,1,1,0,3,15.3
True,2022-11-09,12,-7,ORLANDO MAGIC,HOME,DALLAS MAVERICKS,WIN,1467,5,8,1,3,1,2,1,5,1,0,1,0,2,10.8
True,2022-11-11,9,7,ORLANDO MAGIC,HOME,PHOENIX SUNS,WIN,1110,3,6,1,3,2,3,1,4,2,0,1,1,1,8.2
True,2022-11-14,14,7,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,LOSS,1315,5,10,1,2,3,4,7,3,1,0,1,2,2,13.0
True,2022-11-16,8,0,ORLANDO MAGIC,HOME,MINNESOTA TIMBERWOLVES,LOSS,1760,4,11,0,5,0,0,3,7,2,0,1,1,5,5.2
True,2022-11-18,13,-3,ORLANDO MAGIC,AWAY,CHICAGO BULLS,WIN,1438,4,9,4,5,1,2,1,3,1,0,2,0,4,10.0
True,2022-11-19,21,18,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,1985,6,14,3,8,6,8,3,6,1,2,1,2,3,16.9
True,2022-11-21,15,-7,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,1975,5,6,2,3,3,3,0,4,1,0,0,2,2,11.9
True,2022-11-25,7,-10,ORLANDO MAGIC,HOME,PHILADELPHIA 76ERS,LOSS,1642,2,7,1,3,2,2,0,4,4,1,1,1,2,6.8
True,2022-11-27,3,-13,ORLANDO MAGIC,HOME,PHILADELPHIA 76ERS,LOSS,697,1,3,1,3,0,0,0,1,0,0,1,1,1,0.9
True,2022-12-07,8,17,ORLANDO MAGIC,HOME,LOS ANGELES CLIPPERS,WIN,1029,3,6,2,3,0,0,1,3,1,0,1,1,4,5.4
True,2022-12-09,2,-2,ORLANDO MAGIC,HOME,TORONTO RAPTORS,WIN,1038,1,4,0,2,0,0,1,12,1,0,1,0,3,4.1
True,2022-12-11,18,11,ORLANDO MAGIC,HOME,TORONTO RAPTORS,WIN,1407,6,6,2,2,4,5,1,8,1,0,2,0,4,19.4
True,2022-12-14,11,6,ORLANDO MAGIC,HOME,ATLANTA HAWKS,WIN,1054,4,6,2,4,1,3,0,7,0,0,2,0,3,9.9
True,2022-12-16,8,15,ORLANDO MAGIC,AWAY,BOSTON CELTICS,WIN,1483,3,7,1,2,1,2,5,7,1,1,0,0,3,10.0
True,2022-12-18,0,0,ORLANDO MAGIC,AWAY,BOSTON CELTICS,WIN,1120,0,2,0,2,0,0,0,6,1,1,3,0,1,3.8
True,2022-12-19,11,1,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,1110,4,6,2,4,1,2,1,3,2,1,0,1,2,10.2
True,2022-12-21,7,4,ORLANDO MAGIC,AWAY,HOUSTON ROCKETS,WIN,1211,3,6,0,3,1,1,3,2,0,0,3,0,3,7.6
True,2022-12-23,9,7,ORLANDO MAGIC,HOME,SAN ANTONIO SPURS,WIN,1125,3,5,3,4,0,0,3,2,0,0,1,0,2,9.3
True,2022-12-27,5,-9,ORLANDO MAGIC,HOME,LOS ANGELES LAKERS,LOSS,1193,2,5,1,4,0,0,0,5,1,0,2,0,0,5.9
True,2022-12-28,7,1,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,960,3,5,0,1,1,1,1,3,2,0,2,1,3,6.9
True,2023-01-04,10,7,ORLANDO MAGIC,HOME,OKLAHOMA CITY THUNDER,WIN,1074,4,6,1,1,1,2,1,1,2,1,0,0,2,9.6
True,2023-01-05,0,-15,ORLANDO MAGIC,HOME,MEMPHIS GRIZZLIES,LOSS,463,0,2,0,1,0,0,1,1,1,0,1,0,2,0.2
True,2023-01-09,2,-2,ORLANDO MAGIC,AWAY,SACRAMENTO KINGS,LOSS,572,0,4,0,3,2,2,0,0,0,0,2,0,1,0.2
True,2023-01-13,5,1,ORLANDO MAGIC,AWAY,UTAH JAZZ,LOSS,720,2,3,1,1,0,0,2,2,0,1,0,1,1,5.3
True,2023-01-15,0,-2,ORLANDO MAGIC,AWAY,DENVER NUGGETS,LOSS,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-20,3,6,ORLANDO MAGIC,HOME,NEW ORLEANS PELICANS,WIN,420,1,2,1,2,0,0,0,0,1,0,1,0,2,2.6
True,2023-01-21,8,-11,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,LOSS,1174,3,6,2,4,0,0,2,6,2,0,0,0,3,8.4
True,2023-01-25,4,8,ORLANDO MAGIC,HOME,INDIANA PACERS,WIN,733,1,3,1,1,1,2,2,1,2,0,1,0,1,5.3
True,2023-01-30,5,11,ORLANDO MAGIC,AWAY,PHILADELPHIA 76ERS,WIN,337,2,2,1,1,0,0,0,1,0,1,0,0,1,5.3
True,2023-02-03,11,2,ORLANDO MAGIC,AWAY,MINNESOTA TIMBERWOLVES,WIN,1248,4,9,3,7,0,0,1,3,2,1,1,1,3,8.8
True,2023-02-15,4,-6,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,947,2,7,0,5,0,2,1,5,1,0,3,1,6,0.7
True,2023-02-23,10,8,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,1349,2,5,2,4,4,6,0,13,1,0,0,2,4,7.5
True,2023-02-26,0,-10,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,WIN,348,0,1,0,0,0,0,1,2,0,0,0,0,1,0.2
True,2023-02-28,0,-1,LOS ANGELES LAKERS,AWAY,MEMPHIS GRIZZLIES,LOSS,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-01,12,1,LOS ANGELES LAKERS,AWAY,OKLAHOMA CITY THUNDER,WIN,1313,4,5,3,4,1,2,3,4,2,1,1,4,4,10.5
True,2023-03-03,5,1,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,689,2,4,0,1,1,1,2,4,0,0,0,1,1,4.2
True,2023-03-05,0,0,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,123,0,2,0,1,0,0,2,0,0,0,0,0,1,-0.4
True,2023-04-07,2,-2,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,385,1,3,0,1,0,0,2,1,0,0,1,0,2,1.9
True,2023-04-09,0,0,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
