active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,6,INDIANA PACERS,HOME,WASHINGTON WIZARDS,LOSS,606,0,1,0,0,0,0,1,1,2,1,1,2,3,0.2
True,2022-10-21,8,-7,INDIANA PACERS,HOME,SAN ANTONIO SPURS,LOSS,1086,4,7,0,2,0,0,1,0,0,0,0,1,4,2.8
True,2022-10-22,14,8,INDIANA PACERS,HOME,DETROIT PISTONS,WIN,1524,6,8,1,3,1,4,8,7,4,1,1,1,3,19.6
True,2022-10-24,3,-8,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,1244,0,2,0,1,3,4,0,3,1,0,2,0,3,3.0
True,2022-10-28,2,-1,INDIANA PACERS,AWAY,WASHINGTON WIZARDS,WIN,146,0,0,0,0,2,2,0,0,1,0,0,0,1,2.3
True,2022-10-29,5,-10,INDIANA PACERS,AWAY,BROOKLYN NETS,WIN,805,2,2,0,0,1,4,1,1,1,1,0,0,1,5.5
True,2022-10-31,2,10,INDIANA PACERS,AWAY,BROOKLYN NETS,LOSS,469,1,3,0,0,0,0,1,2,2,1,0,0,1,3.6
True,2022-11-09,2,-4,INDIANA PACERS,HOME,DENVER NUGGETS,LOSS,399,1,4,0,1,0,0,1,0,1,0,0,2,2,-1.8
True,2022-11-18,0,-1,INDIANA PACERS,AWAY,HOUSTON ROCKETS,WIN,128,0,0,0,0,0,0,0,0,0,0,1,1,1,-0.7
True,2022-11-21,0,-2,INDIANA PACERS,HOME,ORLANDO MAGIC,WIN,274,0,1,0,1,0,0,0,1,0,0,0,1,2,-2.2
True,2022-11-23,4,1,INDIANA PACERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,927,2,5,0,1,0,0,1,2,1,2,3,0,1,7.0
True,2022-11-27,5,1,INDIANA PACERS,AWAY,LOS ANGELES CLIPPERS,LOSS,472,2,2,0,0,1,2,1,0,0,0,0,1,4,2.1
True,2022-11-28,0,-3,INDIANA PACERS,AWAY,LOS ANGELES LAKERS,WIN,209,0,0,0,0,0,0,0,0,1,0,0,1,1,-0.7
True,2022-11-30,8,4,INDIANA PACERS,AWAY,SACRAMENTO KINGS,LOSS,241,3,4,1,1,1,2,1,1,0,0,0,0,0,7.0
True,2022-12-07,0,-4,INDIANA PACERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,133,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2022-12-09,5,-2,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,837,2,3,1,2,0,0,0,3,1,0,1,0,1,5.6
True,2022-12-26,4,8,INDIANA PACERS,AWAY,NEW ORLEANS PELICANS,LOSS,656,2,2,0,0,0,0,1,0,0,0,0,0,2,3.3
True,2023-01-06,0,6,INDIANA PACERS,HOME,PORTLAND TRAIL BLAZERS,WIN,283,0,2,0,0,0,0,1,1,1,1,0,0,2,0.5
True,2023-01-11,5,10,INDIANA PACERS,AWAY,NEW YORK KNICKS,LOSS,901,2,3,1,2,0,0,2,1,1,1,1,0,2,7.0
True,2023-01-18,2,3,INDIANA PACERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,376,0,3,0,0,2,4,3,0,0,1,0,1,0,1.2
True,2023-01-20,0,0,INDIANA PACERS,AWAY,DENVER NUGGETS,LOSS,415,0,0,0,0,0,2,2,1,0,0,0,1,0,-0.1
True,2023-02-25,6,7,ORLANDO MAGIC,HOME,INDIANA PACERS,LOSS,564,2,3,1,1,1,1,1,5,1,0,0,0,1,7.2
True,2023-03-01,3,1,ORLANDO MAGIC,AWAY,MILWAUKEE BUCKS,LOSS,273,1,2,0,1,1,1,1,1,0,0,0,0,0,3.0
True,2023-03-05,4,3,ORLANDO MAGIC,HOME,PORTLAND TRAIL BLAZERS,LOSS,372,2,2,0,0,0,0,0,2,0,0,0,0,0,4.0
True,2023-03-07,12,6,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,LOSS,1216,6,9,0,1,0,0,5,3,2,1,0,0,3,13.7
True,2023-03-09,3,2,ORLANDO MAGIC,HOME,UTAH JAZZ,LOSS,1245,1,3,0,0,1,4,3,2,2,0,2,1,1,4.2
True,2023-03-16,2,9,ORLANDO MAGIC,AWAY,PHOENIX SUNS,LOSS,494,1,3,0,1,0,0,2,3,1,0,2,1,2,2.9
True,2023-03-18,0,-8,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,WIN,905,0,2,0,1,0,0,1,2,2,1,0,0,3,1.1
True,2023-03-19,3,-17,ORLANDO MAGIC,AWAY,LOS ANGELES LAKERS,LOSS,880,1,3,0,0,1,2,2,2,1,1,2,0,1,5.6
True,2023-03-23,2,14,ORLANDO MAGIC,HOME,NEW YORK KNICKS,WIN,831,1,1,0,0,0,0,1,4,1,0,0,0,2,3.5
True,2023-03-26,2,-6,ORLANDO MAGIC,HOME,BROOKLYN NETS,WIN,368,1,1,0,0,0,0,0,0,0,0,0,2,1,-0.7
True,2023-03-28,13,10,ORLANDO MAGIC,AWAY,MEMPHIS GRIZZLIES,LOSS,796,5,7,1,2,2,2,2,4,1,1,3,0,1,16.1
True,2023-03-31,2,0,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1300,1,4,0,1,0,0,1,2,3,1,2,1,3,3.2
