active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,11,0,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,1959,5,8,1,2,0,0,0,11,3,1,1,3,4,9.9
True,2022-10-21,14,-12,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,1977,4,13,0,7,6,7,1,7,2,0,0,2,4,6.7
True,2022-10-22,15,-4,ORLANDO MAGIC,HOME,BOSTON CELTICS,LOSS,2096,6,13,1,1,2,4,5,7,5,0,1,3,5,12.3
True,2022-10-24,17,-11,ORLANDO MAGIC,AWAY,NEW YORK KNICKS,LOSS,2016,5,10,2,5,5,6,4,7,1,1,0,1,3,16.0
True,2022-10-26,12,-13,ORLANDO MAGIC,AWAY,CLEVELAND CAVALIERS,LOSS,1968,4,9,0,3,4,4,3,5,1,0,0,3,6,6.2
True,2022-10-28,15,20,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,1536,6,13,0,3,3,4,0,5,4,2,0,1,1,12.8
True,2022-10-30,15,-6,ORLANDO MAGIC,AWAY,DALLAS MAVERICKS,LOSS,1955,5,10,1,3,4,6,3,6,4,0,0,2,1,13.5
True,2022-11-01,30,4,ORLANDO MAGIC,AWAY,OKLAHOMA CITY THUNDER,LOSS,2126,10,15,2,2,8,8,5,7,2,2,1,2,3,30.0
True,2022-11-03,14,-2,ORLANDO MAGIC,HOME,GOLDEN STATE WARRIORS,WIN,1999,4,9,2,4,4,6,2,7,2,1,1,2,3,11.9
True,2022-11-05,17,14,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,LOSS,2333,6,9,1,3,4,4,0,9,6,1,0,4,6,14.6
True,2022-11-07,15,-6,ORLANDO MAGIC,HOME,HOUSTON ROCKETS,LOSS,1643,6,12,1,2,2,2,3,4,2,0,0,2,5,9.7
True,2022-11-09,13,10,ORLANDO MAGIC,HOME,DALLAS MAVERICKS,WIN,2056,5,9,1,2,2,2,0,12,3,0,1,5,2,9.3
True,2022-11-11,20,10,ORLANDO MAGIC,HOME,PHOENIX SUNS,WIN,1944,7,15,2,5,4,4,3,7,5,0,1,3,0,17.7
True,2022-11-14,20,-12,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,LOSS,1911,5,8,3,4,7,10,3,2,4,0,2,1,1,20.7
True,2022-11-18,21,13,ORLANDO MAGIC,AWAY,CHICAGO BULLS,WIN,2036,9,16,1,6,2,2,0,8,5,0,0,5,4,12.7
True,2022-12-23,8,1,ORLANDO MAGIC,HOME,SAN ANTONIO SPURS,WIN,1129,4,9,0,5,0,1,0,4,2,1,0,2,0,4.5
True,2022-12-27,15,-10,ORLANDO MAGIC,HOME,LOS ANGELES LAKERS,LOSS,1167,6,8,2,2,1,2,1,2,4,0,0,1,2,13.7
True,2022-12-28,16,-7,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,1463,5,10,1,3,5,9,6,2,1,0,0,1,2,13.1
