active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-30,8,-7,ORLANDO MAGIC,HOME,ATLANTA HAWKS,LOSS,1006,3,8,0,1,2,2,1,0,4,2,1,1,2,8.0
True,2022-12-02,10,-6,ORLANDO MAGIC,AWAY,CLEVELAND CAVALIERS,LOSS,1776,5,9,0,1,0,0,3,3,6,0,0,4,0,8.9
True,2022-12-03,7,-21,ORLANDO MAGIC,AWAY,TORONTO RAPTORS,LOSS,1125,3,8,0,0,1,2,0,1,4,1,0,1,2,4.5
True,2022-12-05,20,8,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,LOSS,1929,8,18,2,4,2,2,1,4,2,2,0,2,2,13.1
True,2022-12-07,1,-17,ORLANDO MAGIC,HOME,LOS ANGELES CLIPPERS,WIN,1667,0,4,0,0,1,2,0,2,4,0,0,3,4,-3.4
True,2022-12-09,15,12,ORLANDO MAGIC,HOME,TORONTO RAPTORS,WIN,1518,6,9,3,3,0,0,0,3,5,0,0,3,3,11.3
True,2022-12-11,7,1,ORLANDO MAGIC,HOME,TORONTO RAPTORS,WIN,1399,2,5,0,2,3,4,0,1,4,0,0,5,5,0.0
True,2022-12-14,16,0,ORLANDO MAGIC,HOME,ATLANTA HAWKS,WIN,1897,8,14,0,0,0,0,3,4,9,4,1,1,3,21.5
True,2022-12-16,12,2,ORLANDO MAGIC,AWAY,BOSTON CELTICS,WIN,1691,5,10,0,1,2,2,3,1,4,2,1,5,6,7.5
True,2022-12-18,8,7,ORLANDO MAGIC,AWAY,BOSTON CELTICS,WIN,1818,3,10,0,0,2,2,2,3,5,3,0,2,0,9.0
True,2022-12-19,24,5,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,1982,11,19,2,3,0,0,1,5,9,1,0,2,1,22.2
True,2022-12-21,11,-11,ORLANDO MAGIC,AWAY,HOUSTON ROCKETS,WIN,1735,4,10,0,1,3,7,1,0,3,0,0,1,3,4.6
True,2022-12-23,8,2,ORLANDO MAGIC,HOME,SAN ANTONIO SPURS,WIN,1429,3,5,0,0,2,4,0,7,8,4,0,2,1,14.2
True,2022-12-27,16,-3,ORLANDO MAGIC,HOME,LOS ANGELES LAKERS,LOSS,1654,7,13,1,4,1,2,1,2,3,2,2,2,1,13.7
True,2022-12-28,6,-6,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,1671,2,12,0,0,2,2,1,6,9,1,0,1,3,6.0
True,2022-12-30,12,-33,ORLANDO MAGIC,HOME,WASHINGTON WIZARDS,LOSS,1567,5,12,1,5,1,2,4,3,6,3,0,0,0,16.1
True,2023-01-04,13,-3,ORLANDO MAGIC,HOME,OKLAHOMA CITY THUNDER,WIN,1516,5,8,0,0,3,4,3,3,4,1,1,4,3,11.3
True,2023-01-05,8,4,ORLANDO MAGIC,HOME,MEMPHIS GRIZZLIES,LOSS,1861,4,10,0,1,0,0,0,5,9,2,0,1,1,11.0
True,2023-01-07,16,7,ORLANDO MAGIC,AWAY,GOLDEN STATE WARRIORS,WIN,1856,8,16,0,2,0,1,1,4,7,6,0,2,0,18.4
True,2023-01-09,16,-16,ORLANDO MAGIC,AWAY,SACRAMENTO KINGS,LOSS,1686,8,10,0,0,0,0,1,1,5,0,1,2,1,15.0
True,2023-01-10,18,7,ORLANDO MAGIC,AWAY,PORTLAND TRAIL BLAZERS,WIN,2197,7,8,0,0,4,4,1,2,7,1,0,3,1,19.0
True,2023-01-13,8,-4,ORLANDO MAGIC,AWAY,UTAH JAZZ,LOSS,1766,4,9,0,2,0,0,0,1,6,2,0,4,3,4.6
True,2023-01-15,20,-8,ORLANDO MAGIC,AWAY,DENVER NUGGETS,LOSS,1645,8,10,1,1,3,6,1,6,6,2,0,5,2,17.9
True,2023-01-20,9,-12,ORLANDO MAGIC,HOME,NEW ORLEANS PELICANS,WIN,1423,3,8,0,0,3,4,0,2,3,0,1,2,0,5.6
True,2023-01-21,23,-2,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,LOSS,1758,8,14,3,4,4,4,1,4,8,1,0,1,3,22.7
True,2023-01-23,8,10,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,1919,3,9,0,0,2,2,1,3,5,0,1,2,0,6.7
True,2023-01-25,13,5,ORLANDO MAGIC,HOME,INDIANA PACERS,WIN,1885,5,8,0,1,3,4,0,1,8,1,1,3,3,12.4
True,2023-01-27,10,-18,ORLANDO MAGIC,AWAY,MIAMI HEAT,LOSS,1849,5,9,0,2,0,0,0,3,6,0,2,4,2,7.4
True,2023-01-28,7,-18,ORLANDO MAGIC,HOME,CHICAGO BULLS,LOSS,1292,3,7,0,0,1,2,0,1,3,0,0,2,3,2.1
True,2023-01-30,12,12,ORLANDO MAGIC,AWAY,PHILADELPHIA 76ERS,WIN,1929,4,14,0,0,4,5,1,1,10,4,0,0,1,15.0
True,2023-02-01,18,-8,ORLANDO MAGIC,AWAY,PHILADELPHIA 76ERS,LOSS,2006,7,11,0,1,4,4,1,2,2,0,0,3,2,12.0
True,2023-02-03,15,-5,ORLANDO MAGIC,AWAY,MINNESOTA TIMBERWOLVES,WIN,1794,6,10,0,1,3,4,3,1,3,2,0,1,0,15.5
True,2023-02-05,16,2,ORLANDO MAGIC,AWAY,CHARLOTTE HORNETS,WIN,2156,8,13,0,1,0,0,1,0,5,3,0,3,4,12.7
True,2023-02-07,21,-7,ORLANDO MAGIC,HOME,NEW YORK KNICKS,LOSS,1890,9,12,0,2,3,3,2,2,6,1,0,3,4,18.8
True,2023-02-09,8,-8,ORLANDO MAGIC,HOME,DENVER NUGGETS,WIN,1903,3,13,0,1,2,2,5,3,4,3,0,2,2,7.5
True,2023-02-11,17,-12,ORLANDO MAGIC,HOME,MIAMI HEAT,LOSS,1983,7,14,1,2,2,2,1,3,3,1,0,4,5,8.7
True,2023-02-13,18,12,ORLANDO MAGIC,AWAY,CHICAGO BULLS,WIN,2109,8,15,0,2,2,2,2,8,9,0,1,0,0,21.5
True,2023-02-14,19,-7,ORLANDO MAGIC,AWAY,TORONTO RAPTORS,LOSS,2171,7,15,1,2,4,4,2,4,5,1,2,3,3,15.6
True,2023-02-23,14,17,ORLANDO MAGIC,HOME,DETROIT PISTONS,WIN,1781,6,14,1,2,1,1,0,2,8,2,1,2,0,13.5
True,2023-02-25,18,-7,ORLANDO MAGIC,HOME,INDIANA PACERS,LOSS,1881,6,14,0,0,6,6,2,3,3,1,0,4,3,10.8
True,2023-02-27,14,19,ORLANDO MAGIC,AWAY,NEW ORLEANS PELICANS,WIN,1793,6,9,1,3,1,1,2,3,5,2,0,1,1,16.5
True,2023-03-01,21,-20,ORLANDO MAGIC,AWAY,MILWAUKEE BUCKS,LOSS,1902,9,14,1,2,2,3,1,6,5,0,0,2,3,17.2
True,2023-03-03,9,11,ORLANDO MAGIC,AWAY,CHARLOTTE HORNETS,WIN,2007,4,8,0,0,1,2,0,4,4,2,0,5,3,4.4
True,2023-03-05,15,-2,ORLANDO MAGIC,HOME,PORTLAND TRAIL BLAZERS,LOSS,2093,5,9,0,1,5,5,1,4,8,4,0,1,2,20.4
True,2023-03-07,16,-15,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,LOSS,1865,7,13,0,2,2,2,0,1,4,1,0,2,4,10.2
True,2023-03-09,25,-8,ORLANDO MAGIC,HOME,UTAH JAZZ,LOSS,1939,9,13,2,4,5,6,3,0,6,0,0,0,1,25.0
