active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-21,0,2,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-10-22,3,2,ORLANDO MAGIC,HOME,BOSTON CELTICS,LOSS,1125,1,4,0,1,1,2,0,3,1,1,0,1,2,1.0
True,2022-10-26,0,-4,ORLANDO MAGIC,AWAY,CLEVELAND CAVALIERS,LOSS,1334,0,3,0,1,0,0,0,3,0,1,0,2,3,-3.4
True,2022-10-28,2,-9,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,331,1,2,0,1,0,0,0,0,2,0,0,1,0,1.4
True,2022-10-30,12,-9,ORLANDO MAGIC,AWAY,DALLAS MAVERICKS,LOSS,1024,3,4,2,3,4,5,1,2,1,0,0,2,3,8.8
True,2022-11-01,0,-13,ORLANDO MAGIC,AWAY,OKLAHOMA CITY THUNDER,LOSS,374,0,2,0,0,0,0,0,1,0,0,0,0,1,-1.5
True,2022-11-03,12,12,ORLANDO MAGIC,HOME,GOLDEN STATE WARRIORS,WIN,1250,4,7,2,3,2,3,4,1,0,1,0,1,2,10.6
True,2022-11-05,4,-13,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,LOSS,964,1,4,0,2,2,2,1,2,0,0,0,0,1,2.5
True,2022-11-07,2,-6,ORLANDO MAGIC,HOME,HOUSTON ROCKETS,LOSS,908,0,5,0,0,2,2,2,0,1,1,0,1,4,-1.0
True,2022-11-14,3,3,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,LOSS,665,1,2,1,1,0,0,2,1,0,0,0,0,1,3.3
True,2022-11-16,9,0,ORLANDO MAGIC,HOME,MINNESOTA TIMBERWOLVES,LOSS,371,2,2,0,0,5,5,1,0,1,0,0,0,0,9.8
True,2022-11-19,0,4,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,224,0,1,0,0,0,0,0,2,0,0,0,0,0,-0.1
True,2022-11-21,2,-2,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,832,1,4,0,1,0,0,4,2,1,1,1,2,1,3.0
True,2022-11-28,4,-6,ORLANDO MAGIC,AWAY,BROOKLYN NETS,LOSS,932,1,5,0,2,2,3,1,1,0,1,0,2,2,-0.3
True,2022-11-30,9,-1,ORLANDO MAGIC,HOME,ATLANTA HAWKS,LOSS,793,4,4,0,0,1,1,1,0,0,1,0,2,2,6.7
True,2022-12-02,3,-6,ORLANDO MAGIC,AWAY,CLEVELAND CAVALIERS,LOSS,401,1,2,0,1,1,1,0,1,0,0,0,0,0,2.3
True,2022-12-03,5,5,ORLANDO MAGIC,AWAY,TORONTO RAPTORS,LOSS,1258,2,4,1,1,0,0,1,2,2,0,0,0,1,5.3
True,2022-12-07,2,1,ORLANDO MAGIC,HOME,LOS ANGELES CLIPPERS,WIN,577,0,1,0,0,2,2,1,0,1,1,0,0,1,3.3
True,2022-12-09,0,8,ORLANDO MAGIC,HOME,TORONTO RAPTORS,WIN,444,0,1,0,1,0,0,0,2,0,0,0,0,0,-0.1
True,2022-12-11,6,7,ORLANDO MAGIC,HOME,TORONTO RAPTORS,WIN,960,2,7,2,4,0,0,1,0,0,0,0,1,1,1.2
True,2022-12-14,0,4,ORLANDO MAGIC,HOME,ATLANTA HAWKS,WIN,232,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-12-16,5,-1,ORLANDO MAGIC,AWAY,BOSTON CELTICS,WIN,318,2,2,1,1,0,0,0,1,0,1,0,0,1,5.3
True,2022-12-18,0,12,ORLANDO MAGIC,AWAY,BOSTON CELTICS,WIN,1113,0,1,0,1,0,0,1,1,0,0,0,0,3,-0.9
True,2022-12-19,0,9,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,517,0,0,0,0,0,0,0,0,0,0,1,0,3,-0.5
True,2022-12-21,6,3,ORLANDO MAGIC,AWAY,HOUSTON ROCKETS,WIN,959,2,3,2,2,0,0,0,2,1,2,1,1,0,7.7
True,2022-12-30,8,9,ORLANDO MAGIC,HOME,WASHINGTON WIZARDS,LOSS,1753,4,6,0,2,0,1,1,2,1,1,0,0,2,7.2
True,2023-02-03,0,-1,ORLANDO MAGIC,AWAY,MINNESOTA TIMBERWOLVES,WIN,465,0,1,0,0,0,0,1,0,0,1,0,0,1,0.6
True,2023-03-14,0,-4,ORLANDO MAGIC,AWAY,SAN ANTONIO SPURS,LOSS,405,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3
True,2023-03-18,2,5,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,WIN,493,1,1,0,0,0,0,1,1,0,2,0,0,3,3.5
