active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,2,-7,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,1075,0,3,0,1,2,2,1,3,1,0,0,0,2,1.4
True,2022-10-21,3,0,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,862,1,2,1,2,0,0,0,1,0,0,0,0,0,2.3
True,2022-10-22,8,-1,ORLANDO MAGIC,HOME,BOSTON CELTICS,LOSS,968,3,3,2,2,0,0,2,2,2,0,0,0,3,9.3
True,2022-10-24,0,-4,ORLANDO MAGIC,AWAY,NEW YORK KNICKS,LOSS,743,0,5,0,5,0,0,1,1,2,0,0,1,2,-2.9
True,2022-10-26,0,4,ORLANDO MAGIC,AWAY,CLEVELAND CAVALIERS,LOSS,328,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0
True,2022-10-28,10,0,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,1737,3,7,2,5,2,2,1,5,2,1,0,0,4,9.3
True,2022-10-30,5,-14,ORLANDO MAGIC,AWAY,DALLAS MAVERICKS,LOSS,1497,2,5,1,4,0,0,2,6,3,0,0,0,2,6.8
True,2022-11-01,6,-12,ORLANDO MAGIC,AWAY,OKLAHOMA CITY THUNDER,LOSS,754,2,3,2,3,0,0,2,3,1,1,0,3,1,5.3
True,2022-11-03,16,13,ORLANDO MAGIC,HOME,GOLDEN STATE WARRIORS,WIN,1648,4,6,3,5,5,6,2,7,3,0,1,0,2,18.5
True,2022-11-05,4,-12,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,LOSS,1362,2,6,0,3,0,0,2,4,0,2,2,1,1,5.2
True,2022-11-07,2,-6,ORLANDO MAGIC,HOME,HOUSTON ROCKETS,LOSS,960,1,2,0,1,0,0,1,0,2,0,1,0,1,3.4
True,2022-11-09,8,4,ORLANDO MAGIC,HOME,DALLAS MAVERICKS,WIN,1894,2,5,1,2,3,6,1,6,2,0,1,3,4,4.1
True,2022-11-11,11,13,ORLANDO MAGIC,HOME,PHOENIX SUNS,WIN,1822,4,10,2,6,1,1,3,2,3,1,1,0,1,11.7
True,2022-11-14,10,-13,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,LOSS,1987,4,10,2,6,0,0,2,1,0,1,1,0,2,7.2
True,2022-11-16,5,-11,ORLANDO MAGIC,HOME,MINNESOTA TIMBERWOLVES,LOSS,1891,2,8,1,6,0,0,0,5,1,2,0,1,3,2.2
True,2022-11-18,4,-12,ORLANDO MAGIC,AWAY,CHICAGO BULLS,WIN,1767,1,5,0,2,2,2,0,7,2,1,2,0,4,5.2
True,2022-11-19,4,-7,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,1481,1,3,1,3,1,2,1,2,1,2,0,0,1,5.5
True,2022-11-21,0,-9,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,726,0,3,0,3,0,0,0,0,0,0,0,0,1,-2.5
True,2023-02-14,0,-5,ORLANDO MAGIC,AWAY,TORONTO RAPTORS,LOSS,752,0,1,0,1,0,0,0,2,0,0,0,1,0,-1.1
True,2023-03-01,3,1,ORLANDO MAGIC,AWAY,MILWAUKEE BUCKS,LOSS,273,1,3,1,2,0,0,0,0,0,1,0,0,0,2.3
True,2023-03-07,3,3,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,LOSS,74,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
True,2023-03-11,0,-3,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,162,0,1,0,1,0,0,0,0,0,0,0,1,1,-2.1
True,2023-03-26,0,0,ORLANDO MAGIC,HOME,BROOKLYN NETS,WIN,233,0,1,0,0,0,0,1,1,0,0,0,0,0,0.3
True,2023-04-02,3,-1,ORLANDO MAGIC,HOME,DETROIT PISTONS,WIN,686,1,2,1,2,0,0,0,1,0,0,0,0,0,2.3
True,2023-04-06,2,-10,ORLANDO MAGIC,HOME,CLEVELAND CAVALIERS,LOSS,1901,1,6,0,3,0,0,1,4,3,3,2,1,3,4.4
True,2023-04-07,5,-15,ORLANDO MAGIC,AWAY,BROOKLYN NETS,LOSS,1523,2,9,1,8,0,0,2,4,3,1,0,3,1,1.8
True,2023-04-09,14,-14,ORLANDO MAGIC,AWAY,MIAMI HEAT,LOSS,1974,5,11,4,8,0,0,1,3,5,3,0,2,1,14.0
