active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-28,5,-5,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,799,2,3,1,2,0,0,0,2,0,0,0,0,3,3.1
True,2022-10-30,0,-4,ORLANDO MAGIC,AWAY,DALLAS MAVERICKS,LOSS,245,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-11-05,0,-4,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,LOSS,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-09,0,2,ORLANDO MAGIC,HOME,DALLAS MAVERICKS,WIN,33,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2022-11-11,3,0,ORLANDO MAGIC,HOME,PHOENIX SUNS,WIN,653,1,3,1,3,0,0,0,2,0,0,0,0,0,1.9
True,2022-11-16,6,-9,ORLANDO MAGIC,HOME,MINNESOTA TIMBERWOLVES,LOSS,690,3,4,0,1,0,0,1,0,3,1,0,1,5,5.2
True,2022-11-18,0,-4,ORLANDO MAGIC,AWAY,CHICAGO BULLS,WIN,426,0,1,0,1,0,0,0,1,0,0,0,0,1,-0.8
True,2022-11-19,2,-20,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,790,1,5,0,2,0,0,1,1,1,0,0,0,2,-0.2
True,2022-11-21,10,-7,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,1277,4,11,2,7,0,0,3,0,1,0,0,0,4,5.1
True,2022-11-27,6,-13,ORLANDO MAGIC,HOME,PHILADELPHIA 76ERS,LOSS,1313,2,3,2,3,0,0,3,1,0,0,0,0,5,5.1
True,2022-11-28,3,2,ORLANDO MAGIC,AWAY,BROOKLYN NETS,LOSS,1045,1,2,1,1,0,0,1,2,0,0,1,1,0,3.0
True,2022-11-30,3,-1,ORLANDO MAGIC,HOME,ATLANTA HAWKS,LOSS,614,1,1,1,1,0,0,0,1,0,0,0,1,2,1.2
True,2022-12-03,13,13,ORLANDO MAGIC,AWAY,TORONTO RAPTORS,LOSS,1187,3,7,1,4,6,6,0,0,3,0,0,1,3,9.2
True,2022-12-05,8,-13,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,LOSS,856,3,6,2,4,0,0,0,0,1,1,1,0,2,6.6
True,2022-12-07,9,14,ORLANDO MAGIC,HOME,LOS ANGELES CLIPPERS,WIN,881,4,7,1,3,0,0,3,2,1,0,0,0,0,9.1
True,2022-12-09,0,-4,ORLANDO MAGIC,HOME,TORONTO RAPTORS,WIN,908,0,2,0,1,0,0,1,0,1,0,0,0,2,-0.8
True,2022-12-11,3,4,ORLANDO MAGIC,HOME,TORONTO RAPTORS,WIN,532,1,4,0,2,1,1,0,1,2,0,0,0,4,0.7
True,2022-12-14,2,-4,ORLANDO MAGIC,HOME,ATLANTA HAWKS,WIN,865,1,2,0,1,0,0,1,1,0,1,0,0,1,2.6
True,2022-12-16,3,9,ORLANDO MAGIC,AWAY,BOSTON CELTICS,WIN,660,1,2,1,2,0,0,0,1,1,0,0,0,4,1.4
True,2022-12-18,13,-2,ORLANDO MAGIC,AWAY,BOSTON CELTICS,WIN,1009,5,7,3,5,0,0,0,4,0,1,0,0,2,11.5
True,2022-12-19,9,0,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,787,3,5,2,4,1,1,1,6,0,0,1,0,1,9.5
True,2022-12-21,7,9,ORLANDO MAGIC,AWAY,HOUSTON ROCKETS,WIN,953,2,4,0,2,3,3,2,1,2,1,0,0,2,8.3
True,2022-12-28,3,-4,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,599,1,2,0,1,1,2,0,0,0,1,0,1,1,1.2
True,2022-12-30,7,-1,ORLANDO MAGIC,HOME,WASHINGTON WIZARDS,LOSS,1633,2,7,0,3,3,4,1,3,4,0,0,0,3,5.7
True,2023-01-05,8,-10,ORLANDO MAGIC,HOME,MEMPHIS GRIZZLIES,LOSS,1080,3,4,0,1,2,2,1,3,2,0,0,0,1,9.0
True,2023-01-21,0,-1,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,LOSS,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-28,0,0,ORLANDO MAGIC,HOME,CHICAGO BULLS,LOSS,889,0,0,0,0,0,0,0,0,1,0,0,1,2,-1.1
True,2023-02-25,0,4,ORLANDO MAGIC,HOME,INDIANA PACERS,LOSS,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-01,3,1,ORLANDO MAGIC,AWAY,MILWAUKEE BUCKS,LOSS,268,1,2,1,2,0,0,0,0,0,0,0,0,0,2.0
True,2023-03-03,0,4,ORLANDO MAGIC,AWAY,CHARLOTTE HORNETS,WIN,120,0,0,0,0,0,0,0,0,1,0,0,0,2,-0.1
True,2023-03-05,3,-3,ORLANDO MAGIC,HOME,PORTLAND TRAIL BLAZERS,LOSS,471,1,1,1,1,0,0,0,0,1,0,0,0,0,3.4
True,2023-03-26,0,-2,ORLANDO MAGIC,HOME,BROOKLYN NETS,WIN,160,0,0,0,0,0,0,0,0,0,0,1,1,1,-0.7
True,2023-03-28,6,12,ORLANDO MAGIC,AWAY,MEMPHIS GRIZZLIES,LOSS,973,2,6,2,5,0,0,1,3,0,0,0,0,1,3.8
True,2023-04-02,0,5,ORLANDO MAGIC,HOME,DETROIT PISTONS,WIN,195,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0
True,2023-04-06,7,-14,ORLANDO MAGIC,HOME,CLEVELAND CAVALIERS,LOSS,1112,2,6,1,2,2,2,1,2,1,1,1,3,1,3.9
True,2023-04-07,5,-16,ORLANDO MAGIC,AWAY,BROOKLYN NETS,LOSS,1088,2,4,1,3,0,0,2,0,0,0,0,3,4,-0.2
True,2023-04-09,8,-17,ORLANDO MAGIC,AWAY,MIAMI HEAT,LOSS,1473,3,10,0,6,2,2,0,1,4,1,0,3,0,3.3
